feature_name,feature_block,training_available,live_available,live_source,generation_time,time_safe,missing_rate_train,missing_rate_live,current_handling,action,reason
c1__場所__中山,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__京都,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__函館,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__小倉,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__新潟,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__札幌,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__東京,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__福島,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__場所__阪神,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__Ｒ,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__枠番,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__馬番,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__芝・ダ__芝,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__距離,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__コース区分__B,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__コース区分__C,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__コース区分__D,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__馬場状態__稍,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__馬場状態__良,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__馬場状態__重,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__天気__ 曇 ,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__天気__ 雨 ,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__天気__ 雪 ,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__天気__小雨,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__天気__小雪,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__クラス名_ord,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0418,ライブで同一定義を再現可能,採用,
c1__前走着差タイム,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2195,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率22.0%)
c1__前1角,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.5854,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率58.5%)
c1__前2角,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.5679,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率56.8%)
c1__前3角,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.223,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率22.3%)
c1__前4角,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2195,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率22.0%)
c1__前走上り3F,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2334,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率23.3%)
c1__前走上り3F順,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2787,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率27.9%)
c1__前走確定着順,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2195,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率22.0%)
c1__前芝・ダ__芝,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__前距離,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2125,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率21.3%)
c1__前走馬場状態__稍,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__前走馬場状態__良,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__前走馬場状態__重,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__前走斤量,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2125,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率21.3%)
c1__前走Ave-3F,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.2787,部分的に再現可能(行単位欠損あり),採用,前走が無い馬・新規状態解決に失敗した馬でNaN (欠損率27.9%)
c1__母父タイプ名__セントサイモン系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__母父タイプ名__トゥルビヨン系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__母父タイプ名__ナスルーラ系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__母父タイプ名__ニアークティック系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__母父タイプ名__ネイティヴダンサー系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__母父タイプ名__マンノウォー系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__母父タイプ名__ロイヤルチャージャー系,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__騎手コード,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0035,ライブで同一定義を再現可能,採用,
c1__調教師コード,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0279,ライブで同一定義を再現可能,採用,
c1__年齢限定__３上,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__年齢限定__３歳,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__年齢限定__４上,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__重量種別__別定,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
c1__重量種別__定量,C1,True,True,weekly_csv+frozen_encode,"週次バッチ(feature_snapshot.py, 発走より十分前)",True,,0.0,ライブで同一定義を再現可能,採用,
