date,race_id,umaban,horse_name,venue,race_no,pos_raw,pos,finish_status,miss_stage,month,weekday,血統登録番号
260307,2026030706020304,4,プラチナドリーム,中山,4,1,1.0,finished,weekly_join,3,土,
260307,2026030706020304,3,メイショウソムリエ,中山,4,2,2.0,finished,weekly_join,3,土,
260307,2026030706020304,1,コレクテイニア,中山,4,3,3.0,finished,weekly_join,3,土,
260307,2026030706020304,7,ホークフィールド,中山,4,4,4.0,finished,weekly_join,3,土,
260307,2026030706020304,9,ヴラディア,中山,4,5,5.0,finished,weekly_join,3,土,
260307,2026030706020304,5,キングサーガ,中山,4,6,6.0,finished,weekly_join,3,土,
260307,2026030706020304,6,インディゴブラック,中山,4,7,7.0,finished,weekly_join,3,土,
260307,2026030706020304,11,コンテナワールド,中山,4,8,8.0,finished,weekly_join,3,土,
260307,2026030706020304,2,アルカンサス,中山,4,9,9.0,finished,weekly_join,3,土,
260307,2026030706020304,14,ロードリベラシオン,中山,4,10,10.0,finished,weekly_join,3,土,
260307,2026030706020304,13,アメリカンピース,中山,4,11,11.0,finished,weekly_join,3,土,
260307,2026030706020304,12,クラウンセト,中山,4,12,12.0,finished,weekly_join,3,土,
260307,2026030706020304,8,マルベリーシチー,中山,4,13,13.0,finished,weekly_join,3,土,
260307,2026030706020304,10,アスクオンディープ,中山,4,14,14.0,finished,weekly_join,3,土,
260308,2026030806020404,4,バルサムノート,中山,4,1,1.0,finished,weekly_join,3,日,
260308,2026030806020404,1,シャンデルナゴル,中山,4,2,2.0,finished,weekly_join,3,日,
260308,2026030806020404,6,モンツァフレイバー,中山,4,3,3.0,finished,weekly_join,3,日,
260308,2026030806020404,9,ロードヴァレンチ,中山,4,4,4.0,finished,weekly_join,3,日,
260308,2026030806020404,10,ライラスター,中山,4,5,5.0,finished,weekly_join,3,日,
260308,2026030806020404,2,ダスク,中山,4,6,6.0,finished,weekly_join,3,日,
260308,2026030806020404,3,グラヴィテ,中山,4,7,7.0,finished,weekly_join,3,日,
260308,2026030806020404,8,ニシノルアノーヴァ,中山,4,8,8.0,finished,weekly_join,3,日,
