step,n,ai_win,fav_win,gap_pt,agree,ci_lo,ci_hi
O  offline 2024-25 (C1),6896,0.298868909512761,0.3391821345707657,-4.031322505800464,0.6109338747099768,-5.039929269610209,-3.0276259830135266
Ow offline を2026構成に重み付け,6896,0.30442194863028715,0.3429586043568238,-3.853665572653667,0.6182581987826536,-4.852568402590986,-2.7828186679990723
S  実際に配信された印,1351,0.22427831236121393,0.3471502590673575,-12.28719467061436,0.37083641746854185,-14.578781932813392,-9.76081288150129
P  旧モデル×今のコード,1351,0.25684678016284235,0.3471502590673575,-9.030347890451518,0.5470022205773502,-11.725271917658224,-6.236177397698698
R  C1×今のコード,1351,0.25832716506291636,0.3471502590673575,-8.882309400444116,0.5573649148778682,-11.251265481641507,-6.34625874238394
R 4-5月 (補正タイムあり),467,0.278372591006424,0.3361884368308351,-5.781584582441114,0.582441113490364,-10.250581389807568,-1.0912345146841114
R 6-9月 (補正タイム途切れ),884,0.24773755656108598,0.35294117647058826,-10.520361990950226,0.5441176470588235,-13.154960981047935,-7.457589949449897
S 4-5月 (補正タイムあり),467,0.20985010706638116,0.3361884368308351,-12.633832976445396,0.3640256959314775,-16.780045351473923,-8.298685410192956
S 6-9月 (補正タイム途切れ),884,0.2319004524886878,0.35294117647058826,-12.104072398190045,0.3744343891402715,-15.022935779816512,-9.04052648851556
O 2024,3447,0.3005512039454598,0.346968378299971,-4.641717435451117,0.61792863359443,-6.116936295177425,-3.1753370608616676
O 2025,3449,0.2971875906059728,0.3314004059147579,-3.4212815308785154,0.6039431719338939,-4.888794571065111,-1.9687009470181978
