iter	Logloss
0	0.6870800655
5	0.6618128025
10	0.6435644148
15	0.6300118487
20	0.6198545905
25	0.6121210019
30	0.6061171317
35	0.601267622
40	0.5972021143
45	0.5938455458
50	0.5909267407
55	0.5884534797
60	0.5862944337
65	0.58441115
70	0.5823116055
75	0.5808049049
80	0.5791366535
85	0.5776570623
90	0.5763037631
95	0.5740435688
100	0.5723242929
105	0.5712890172
110	0.5701855175
115	0.569201594
120	0.568252192
125	0.5671945572
130	0.5662260722
135	0.5651731057
140	0.5633842545
145	0.5621241592
150	0.5613571518
155	0.560087515
160	0.5589024415
165	0.5578701142
170	0.5572156395
175	0.5563831518
180	0.5556959574
185	0.5549110546
190	0.5541666929
195	0.5535358468
200	0.5527312466
205	0.5520586716
210	0.5510495634
215	0.5504622479
220	0.5496739051
225	0.5491740604
230	0.5484283883
235	0.5478124892
240	0.5471334849
245	0.5459443163
250	0.5453821036
255	0.5447422892
260	0.5441236054
265	0.5434577463
270	0.5421596488
275	0.5411278539
280	0.5404234192
285	0.5390658612
290	0.5385186364
295	0.5376927009
300	0.5368094753
305	0.5362002511
310	0.5357088422
315	0.5350634585
