iter	Passed	Remaining
0	733	1466662
1	1409	1407625
2	2082	1386530
3	2811	1402831
4	3502	1397553
5	4222	1403344
6	4921	1401243
7	5584	1390527
8	6312	1396357
9	6960	1385079
10	7691	1390764
11	8414	1394015
12	9128	1395330
13	9780	1387384
14	10438	1381399
15	11114	1378217
16	11771	1373158
17	12462	1372244
18	13193	1375552
19	13883	1374428
20	14571	1373173
21	15229	1369286
22	15982	1373800
23	16658	1371547
24	17329	1369036
25	18060	1371220
26	18795	1373449
27	19497	1373165
28	20163	1370405
29	20872	1370654
30	21586	1371098
31	22284	1370524
32	22926	1366573
33	23617	1365648
34	24318	1365315
35	25005	1364209
36	25740	1365663
37	26525	1369528
38	27444	1379973
39	28294	1386449
40	29084	1389647
41	29820	1390189
42	30723	1398296
43	31641	1406612
44	32536	1413528
45	33333	1415961
46	34179	1420266
47	34978	1422455
48	35769	1424190
49	36599	1427379
50	37398	1429216
51	38274	1433818
52	39149	1438176
53	40070	1444005
54	40949	1448119
55	41833	1452235
56	42741	1456969
57	43364	1451959
58	44295	1457239
59	45096	1458121
60	45939	1460262
61	46669	1458794
62	47333	1455329
63	48235	1459120
64	49056	1460366
65	49719	1456944
66	50428	1454912
67	51084	1451405
68	51708	1447101
69	52415	1445181
70	53285	1447717
71	54339	1455101
72	55329	1460542
73	56014	1457897
74	56683	1454880
75	57348	1451832
76	57976	1447911
77	59005	1453948
78	59675	1451105
79	60509	1452222
80	61212	1450218
81	61893	1447709
82	62540	1444450
83	63507	1448570
84	64177	1445872
85	64954	1445615
86	65611	1442709
87	66670	1448562
88	67469	1448694
89	68424	1452128
90	69248	1452694
91	69985	1451439
92	70712	1449977
93	71346	1446665
94	72238	1448576
95	73006	1447959
96	73842	1448691
97	74743	1450633
98	75439	1448594
99	76106	1446026
100	76799	1443980
101	77939	1450287
102	78704	1449544
103	79592	1451032
104	80299	1449208
105	80962	1446623
106	81927	1449429
107	82639	1447730
108	83465	1448015
109	84193	1446599
110	84872	1444361
111	85544	1442039
112	86205	1439549
113	86867	1437124
114	87606	1435991
115	88547	1438133
116	89315	1437448
117	90084	1436771
118	91115	1440235
119	91910	1439936
120	92680	1439225
121	93357	1437086
122	94002	1434488
123	94734	1433235
124	95416	1431244
125	96100	1429301
126	96799	1427606
127	97491	1425807
128	98128	1423247
129	98790	1421064
130	99491	1419462
131	100182	1417730
132	100897	1416357
133	102193	1423079
134	103129	1424721
135	103800	1422674
136	104487	1420874
137	105134	1418554
138	105829	1416891
139	106720	1417853
140	107482	1417087
141	108255	1416471
142	108981	1415233
143	109703	1413954
144	110476	1413340
145	111218	1412319
146	111902	1410579
147	112629	1409389
148	113358	1408237
149	114051	1406634
150	114701	1404527
151	115378	1402757
152	116054	1401000
153	116726	1399204
154	117690	1400901
155	118463	1400299
156	119380	1401392
157	120335	1402896
158	121058	1401687
159	121774	1400406
160	122457	1398749
161	123162	1397363
162	123863	1395938
163	124452	1393258
164	125099	1391257
165	125732	1389113
166	126381	1387171
167	127390	1389161
168	128031	1387133
169	128746	1385914
170	129415	1384221
171	130331	1385150
172	131138	1384914
173	131795	1383094
174	132505	1381844
175	133133	1379750
176	133746	1377514
177	134426	1375986
178	135120	1374603
179	135867	1373772
180	136530	1372089
181	137441	1372899
182	138101	1371203
183	139104	1372904
184	139863	1372177
185	140541	1370655
186	141459	1371474
187	142138	1369977
188	142778	1368108
189	143492	1366953
190	144247	1366194
191	145195	1367261
192	145922	1366227
193	146619	1364921
194	147256	1363063
195	147961	1361853
196	148614	1360159
197	149240	1358238
198	149900	1356641
199	150591	1355322
200	151440	1355430
201	152138	1354187
202	152847	1353042
203	153536	1351720
204	154187	1350084
205	154855	1348594
206	155755	1349124
207	156438	1347776
208	157130	1346507
209	157713	1344316
210	158666	1345285
211	159321	1343713
212	160206	1344080
213	160903	1342863
214	161562	1341346
215	162395	1341268
216	163063	1339828
217	163820	1339123
218	164462	1337477
219	165075	1335613
220	165770	1334416
221	166476	1333313
222	167195	1332311
223	167875	1331013
224	168480	1329123
225	169160	1327837
226	169783	1326105
227	170401	1324348
228	171079	1323067
229	171776	1321935
230	172440	1320551
231	173097	1319119
232	173999	1319556
233	174663	1318190
234	175540	1318423
235	176218	1317156
236	176909	1315997
237	177565	1314583
238	178244	1313337
239	178916	1312057
240	179841	1312620
241	180983	1314751
242	181814	1314601
243	182525	1313585
244	183213	1312403
245	184148	1312995
246	184813	1311651
247	185526	1310657
248	186209	1309448
249	186957	1308705
250	187598	1307212
251	188299	1306141
252	189019	1305203
253	189750	1304345
254	190521	1303762
255	191215	1302657
256	191860	1301220
257	192523	1299906
258	193269	1299158
259	193880	1297506
260	194558	1296308
261	195737	1298441
262	196730	1299321
263	197547	1299025
264	198440	1299225
265	199537	1300746
266	200174	1299257
267	201195	1300260
268	201885	1299124
269	202592	1298093
270	203392	1297660
271	204108	1296691
272	205355	1299083
273	206022	1297793
274	206730	1296761
275	207471	1295946
276	208203	1295069
277	209042	1294860
278	209970	1295194
279	210607	1293729
280	211325	1292770
281	212009	1291602
282	212630	1290058
283	213295	1288785
284	213983	1287655
285	214644	1286366
286	215631	1287029
287	216297	1285765
288	216997	1284716
289	217640	1283325
290	218322	1282174
291	219279	1282632
292	220000	1281708
293	221169	1283383
294	221896	1282488
295	222588	1281385
296	223268	1280222
297	224066	1279736
298	225104	1280612
299	225848	1279806
300	226608	1279097
301	227330	1278169
302	228041	1277182
303	228762	1276255
304	229450	1275143
305	230146	1274078
306	230774	1272643
307	231526	1271893
308	232191	1270665
309	232844	1269378
310	233585	1268574
311	234129	1266701
312	234880	1265955
313	235623	1265164
314	236217	1263573
315	237134	1263714
316	237819	1262617
317	238695	1262535
318	239340	1261228
319	240228	1261198
320	240961	1260357
321	241809	1260110
322	242982	1261552
323	243734	1260797
324	244437	1259791
325	245224	1259221
326	245968	1258427
327	246664	1257387
328	247732	1258237
329	248472	1257423
330	249192	1256501
331	249902	1255536
332	250562	1254316
333	251384	1253911
334	252106	1253008
335	252748	1251708
336	253416	1250540
337	254484	1251341
338	255197	1250392
339	256040	1250081
340	256678	1248766
341	257423	1247976
342	258088	1246800
343	258723	1245483
344	259935	1246935
345	260615	1245831
346	261343	1244958
347	262010	1243796
348	262690	1242697
349	263844	1243840
350	264565	1242927
351	265438	1242733
352	266109	1241593
353	266760	1240358
354	267460	1239359
355	268242	1238738
356	268907	1237578
357	269586	1236483
358	270300	1235553
359	271166	1235315
360	271891	1234430
361	272826	1234501
362	273563	1233671
363	274147	1232157
364	274775	1230845
365	275411	1229568
366	276177	1228877
367	276865	1227838
368	277505	1226590
369	278227	1225704
370	278921	1224698
371	279550	1223409
372	280171	1222087
373	280808	1220840
374	281479	1219746
375	282252	1219089
376	282872	1217777
377	283618	1217006
378	284274	1215856
379	285553	1217358
380	286305	1216612
381	287059	1215869
382	287752	1214872
383	288439	1213849
384	289113	1212773
385	289824	1211857
386	291120	1213376
387	292059	1213403
388	292909	1213052
389	294155	1214336
390	294763	1212977
391	295737	1213128
392	296466	1212269
393	297141	1211189
394	298045	1211046
395	298712	1209935
396	299279	1208427
397	300009	1207577
398	300808	1207004
399	301447	1205788
400	302274	1205327
401	302917	1204136
402	303647	1203287
403	304324	1202234
404	304992	1201144
405	305686	1200158
406	306492	1199613
407	307175	1198585
408	307804	1197353
409	309034	1198449
410	310143	1199071
411	310747	1197733
412	311397	1196581
413	311977	1195160
414	313093	1195792
415	313819	1194929
416	314525	1193990
417	315189	1192894
418	316399	1193862
419	317618	1194850
420	318776	1195602
421	319567	1194972
422	320669	1195499
423	321884	1196440
424	322527	1195248
425	323255	1194375
426	323955	1193400
427	325089	1194018
428	325743	1192872
429	326335	1191504
430	327108	1190795
431	327996	1190505
432	329142	1191147
433	329880	1190306
