レースID(新),馬番,前走補9,前走補正
202603150602061216,16, 84, 93
202603150602061211,11, 77, 86
202603150602061205,5, 67, 76
202603150602061204,4, 82, 91
202603150602061209,9, 85, 94
202603150602061203,3, 87, 96
202603150602061210,10, 86, 95
202603150602061206,6, 87, 96
202603150602061207,7, 86, 95
202603150602061202,2, 80, 89
202603150602061201,1, 79, 88
202603150602061212,12, 80, 89
202603150602061215,15, 79, 89
202603150602061214,14, 73, 82
202603150602061213,13,,
202603150602061208,8, 75, 84
202603150602061115,15, 83,101
202603150602061102,2,100, 93
202603150602061114,14, 94, 91
202603150602061116,16, 99, 93
202603150602061110,10, 91, 85
202603150602061104,4, 94,100
202603150602061112,12, 97,102
202603150602061108,8, 91, 97
202603150602061113,13, 88,105
202603150602061106,6, 90, 84
202603150602061103,3, 79, 85
202603150602061107,7, 93, 86
202603150602061109,9, 83,102
202603150602061111,11, 95, 90
202603150602061101,1,,
202603150602061105,5, 89, 95
202603150602061005,5, 97, 79
202603150602061006,6,110,102
202603150602061016,16,101, 89
202603150602061015,15,112,100
202603150602061007,7,102, 90
202603150602061002,2,110, 98
202603150602061013,13,107, 92
202603150602061003,3,110, 88
202603150602061009,9,105, 93
202603150602061014,14,105, 93
202603150602061011,11,110, 95
202603150602061010,10,108, 96
202603150602061001,1, 93, 83
202603150602061008,8,105, 97
202603150602061012,12, 88, 76
202603150602061004,4,105, 93
202603150602060911,11, 83, 83
202603150602060905,5, 96, 96
202603150602060908,8, 98, 98
202603150602060910,10, 95, 95
202603150602060901,1, 96,105
202603150602060906,6, 98, 98
202603150602060907,7, 95, 95
202603150602060909,9, 82, 82
202603150602060903,3, 80, 80
202603150602060904,4, 79, 79
202603150602060902,2,,
202603150602060801,1, 97,106
202603150602060807,7, 99, 99
202603150602060808,8, 93,101
202603150602060804,4, 97, 97
202603150602060806,6, 95, 95
202603150602060805,5, 94, 94
202603150602060810,10, 92, 92
202603150602060803,3,,
202603150602060802,2,,
202603150602060809,9, 74, 74
202603150602060704,4, 92, 97
202603150602060715,15, 86,100
202603150602060707,7, 89,104
202603150602060702,2, 87,101
202603150602060701,1, 89, 88
202603150602060714,14, 87,102
202603150602060706,6, 85, 90
202603150602060708,8, 88, 93
202603150602060703,3, 92,106
202603150602060710,10, 80, 74
202603150602060711,11, 89, 94
202603150602060709,9, 62, 67
202603150602060713,13, 82, 87
202603150602060712,12,,
202603150602060705,5,,
202603150602060605,5, 74, 83
202603150602060604,4, 82, 92
202603150602060607,7,,
202603150602060612,12, 90, 99
202603150602060603,3, 83, 92
202603150602060609,9, 78, 87
202603150602060610,10, 86, 96
202603150602060608,8, 89, 99
202603150602060601,1,,
202603150602060602,2, 46, 55
202603150602060616,16, 79, 88
202603150602060615,15, 61, 70
202603150602060606,6, 69, 79
202603150602060611,11,,
202603150602060614,14, 45, 54
202603150602060613,13,,
202603150602060518,18,,
202603150602060514,14, 79, 98
202603150602060510,10, 75, 92
202603150602060515,15, 76, 94
202603150602060503,3, 64, 83
202603150602060512,12, 79, 97
202603150602060517,17, 78, 95
202603150602060504,4, 62, 80
202603150602060511,11, 70, 88
202603150602060513,13, 70, 86
202603150602060507,7, 74, 92
202603150602060516,16,,
202603150602060502,2, 65, 84
202603150602060508,8, 63, 80
202603150602060509,9, 74, 93
