レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202606070503021210,10, 98, 95,1.1,1.4
202606070503021211,11, 75, 75,3.8,6.7
202606070503021213,13, 99, 99,1.7,2.8
202606070503021214,14, 67, 64,1.6,2.6
202606070503021201,1,100,106,2.3,3.8
202606070503021212,12, 95, 95,3.3,5.8
202606070503021216,16, 98, 98,1.4,2.0
202606070503021202,2, 85, 85,35.9,66.7
202606070503021206,6, 96, 96,5.9,10.6
202606070503021204,4, 94, 94,6.1,10.9
202606070503021209,9, 88, 88,71.7,133.4
202606070503021208,8, 99, 99,4.1,7.2
202606070503021207,7, 89, 89,12.8,23.6
202606070503021205,5, 89, 89,58.1,108.1
202606070503021215,15, 91, 91,19.1,35.3
202606070503021203,3, 87, 87,34.6,64.4
202606070503021104,4,112, 94,4.6,7.5
202606070503021111,11,113, 97,3.9,6.3
202606070503021114,14,,,1.3,1.5
202606070503021113,13,119, 93,2.6,4.1
202606070503021116,16,113, 97,2.5,3.9
202606070503021103,3,114, 96,5.6,9.3
202606070503021101,1,118, 92,2.6,4.1
202606070503021115,15,115, 97,6.0,10.0
202606070503021117,17,115, 99,1.5,2.0
202606070503021106,6,115, 99,2.2,3.5
202606070503021110,10,,,13.0,21.8
202606070503021108,8,112, 94,5.2,8.5
202606070503021109,9,111, 93,4.6,7.6
202606070503021112,12,108, 92,20.0,33.9
202606070503021105,5, 98, 78,20.6,34.9
202606070503021102,2,107, 89,51.7,87.8
202606070503021107,7,112, 97,7.2,12.0
202606070503021006,6, 97, 97,1.2,2.3
202606070503021013,13, 95, 95,2.4,7.2
202606070503021007,7, 75, 75,5.6,18.0
202606070503021010,10,100, 99,1.1,1.1
202606070503021016,16, 90, 90,2.3,6.6
202606070503021015,15, 95, 95,3.3,10.3
202606070503021003,3, 89, 99,2.2,6.5
202606070503021014,14, 92, 92,1.9,5.4
202606070503021002,2, 87, 87,7.7,25.6
202606070503021012,12, 90, 90,9.3,31.1
202606070503021004,4, 92, 92,11.9,40.0
202606070503021009,9, 91, 91,18.7,63.7
202606070503021011,11, 94, 94,6.1,20.0
202606070503021005,5, 87, 87,22.9,78.2
202606070503021001,1, 76, 76,24.1,82.0
202606070503021008,8, 90, 90,6.2,20.2
202606070503020906,6,100, 83,1.1,1.1
202606070503020901,1, 98, 98,1.4,5.3
202606070503020905,5, 92,101,3.1,13.5
202606070503020903,3, 97, 97,3.0,13.0
202606070503020902,2, 95, 95,4.5,20.7
202606070503020907,7, 98, 98,1.1,2.8
202606070503020908,8, 92,100,1.3,4.7
202606070503020904,4, 92,100,2.6,11.0
202606070503020816,16, 90, 98,2.1,3.5
202606070503020803,3, 88, 96,2.8,4.7
202606070503020808,8, 94, 99,1.3,1.8
202606070503020812,12, 94, 88,1.2,1.4
202606070503020801,1, 86,102,4.3,7.6
202606070503020814,14, 89, 94,4.5,8.0
202606070503020802,2, 86,102,3.4,5.9
202606070503020807,7, 80, 97,4.9,8.8
202606070503020811,11, 82, 90,8.2,14.9
202606070503020815,15, 87, 95,10.2,18.6
202606070503020806,6, 81, 90,12.5,23.0
202606070503020810,10, 89, 97,3.6,6.3
202606070503020809,9, 85, 90,11.8,21.6
202606070503020804,4, 84, 93,52.6,96.9
202606070503020805,5, 87, 95,16.1,29.7
202606070503020817,17, 88, 97,2.5,4.3
202606070503020813,13, 81, 87,3.8,6.6
202606070503020709,9, 85, 95,1.3,1.7
202606070503020714,14, 86,101,1.5,2.3
202606070503020704,4, 90, 95,1.3,1.7
202606070503020713,13, 77, 82,4.1,6.8
202606070503020716,16, 87, 96,2.2,3.5
202606070503020705,5, 70, 67,7.3,12.4
202606070503020712,12, 86, 95,2.9,4.7
202606070503020703,3, 64, 74,15.5,26.8
202606070503020715,15, 77, 86,11.0,18.9
202606070503020707,7, 90, 95,2.0,3.1
202606070503020706,6, 77, 86,34.6,60.2
202606070503020710,10, 76, 85,65.7,114.5
202606070503020701,1, 83, 88,5.2,8.8
202606070503020711,11, 72, 81,20.6,35.8
202606070503020702,2, 68, 62,5.2,8.7
202606070503020708,8, 87, 92,,
202606070503020610,10, 83, 98,1.8,3.8
202606070503020608,8, 84, 99,1.5,3.3
202606070503020604,4, 90,105,1.1,1.1
202606070503020609,9, 83, 98,1.3,2.3
202606070503020605,5, 78, 93,6.9,17.4
202606070503020603,3, 78, 93,5.1,12.6
202606070503020612,12, 79, 95,2.7,6.3
202606070503020607,7, 78, 93,3.1,7.3
202606070503020601,1, 76, 91,23.7,61.3
202606070503020615,15,,,19.5,50.4
202606070503020614,14, 70, 85,5.2,12.8
202606070503020616,16, 71, 87,9.5,24.1
202606070503020611,11, 76, 91,5.9,14.6
202606070503020602,2, 65, 80,8.9,22.6
202606070503020613,13, 67, 82,14.2,36.5
202606070503020606,6, 59, 74,40.9,106.3
202606070503020502,2,,,1.1,1.1
202606070503020504,4,,,16.5,75.6
202606070503020503,3,,,3.8,15.9
202606070503020509,9,,,5.2,22.9
202606070503020506,6,,,2.4,9.7
202606070503020508,8,,,1.9,7.3
202606070503020501,1,,,2.0,7.4
202606070503020505,5,,,10.3,46.6
202606070503020507,7,,,1.3,4.5
202606070503020510,10,,,1.3,4.4
202606070503020403,3, 79, 97,3.5,6.0
202606070503020417,17, 82, 99,2.1,3.4
202606070503020416,16, 83,100,1.2,1.5
202606070503020407,7, 59, 77,22.4,41.2
