レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限,指数,指数順位
202609130604041204,4,,,1.1,1.4,,
202609130604041206,6,,,5.6,9.5,,
202609130604041203,3,,,3.8,6.3,,
202609130604041208,8,,,2.9,4.7,,
202609130604041209,9,,,1.5,2.3,,
202609130604041207,7,,,1.6,2.4,,
202609130604041211,11,,,2.0,3.1,,
202609130604041210,10,,,3.6,5.9,,
202609130604041212,12,,,2.5,3.9,,
202609130604041205,5,,,11.3,19.4,,
202609130604041201,1,,,5.3,8.9,,
202609130604041213,13,,,31.8,54.7,,
202609130604041202,2,,,10.3,17.6,,
202609130604041107,7,,,8.0,11.8,,
202609130604041106,6,,,1.7,2.3,,
202609130604041102,2,109, 85,3.2,4.6,,
202609130604041105,5,110, 86,1.5,2.0,,
202609130604041115,15,,,6.4,9.4,,
202609130604041108,8,114, 90,1.5,2.0,,
202609130604041112,12,109, 87,5.2,7.5,,
202609130604041103,3,,,8.5,12.5,,
202609130604041113,13,,,16.9,25.1,,
202609130604041104,4,,,7.6,11.2,,
202609130604041109,9,,,2.3,3.2,,
202609130604041116,16,104, 86,4.7,6.8,,
202609130604041110,10,114, 90,1.7,2.4,,
202609130604041101,1,,,16.4,24.4,,
202609130604041114,14,,,46.7,69.5,,
202609130604041111,11,,,17.5,26.0,,
202609130604041002,2,,,1.6,2.4,,
202609130604041008,8,,,1.4,2.0,,
202609130604041009,9,101, 97,1.3,1.8,,
202609130604041006,6,,,10.6,17.3,,
202609130604041010,10,,,1.3,1.7,,
202609130604041004,4,,,5.1,8.2,,
202609130604041005,5,,,2.1,3.2,,
202609130604041003,3,105,105,2.1,3.1,,
202609130604041007,7,,,6.9,11.3,,
202609130604041001,1, 99, 93,19.2,31.2,,
202609130604040902,2,101,101,1.1,1.4,,
202609130604040906,6,,,3.8,6.9,,
202609130604040903,3, 96, 96,1.6,2.7,,
202609130604040901,1, 93, 98,1.2,1.7,,
202609130604040904,4,,,4.2,7.6,,
202609130604040910,10,,,6.7,12.5,,
202609130604040905,5,,,2.9,5.1,,
202609130604040911,11,,,1.6,2.6,,
202609130604040909,9,,,10.0,18.5,,
202609130604040907,7,,,1.9,3.2,,
202609130604040908,8,,,45.8,85.6,,
202609130604040803,3,,,2.7,4.2,,
202609130604040813,13,,,1.8,2.7,,
202609130604040810,10, 82, 91,2.7,4.1,,
202609130604040805,5,,,3.9,6.1,,
202609130604040808,8,,,11.6,18.9,,
202609130604040802,2,,,3.1,4.9,,
202609130604040814,14, 80, 89,1.5,2.1,,
202609130604040815,15,,,9.8,15.8,,
202609130604040807,7,,,19.3,31.6,,
202609130604040811,11, 83, 88,7.0,11.3,,
202609130604040816,16,,,1.3,1.6,,
202609130604040809,9,,,19.4,31.7,,
202609130604040812,12,,,45.8,75.0,,
202609130604040804,4, 83, 93,9.2,14.8,,
202609130604040801,1,,,2.3,3.5,,
202609130604040806,6,,,4.1,6.5,,
202609130604040702,2,,,4.8,7.3,,
202609130604040705,5,,,1.5,1.9,,
202609130604040711,11,,,1.9,2.7,,
202609130604040710,10,,,5.6,8.5,,
202609130604040701,1,,,6.1,9.4,,
202609130604040709,9,,,3.3,4.8,,
202609130604040716,16,,,5.8,8.9,,
202609130604040715,15,,,1.5,1.9,,
202609130604040704,4,,,5.1,7.8,,
202609130604040706,6,,,3.2,4.8,,
202609130604040708,8,,,2.3,3.4,,
202609130604040703,3,,,4.4,6.6,,
202609130604040713,13,,,9.6,14.9,,
202609130604040712,12,,,15.8,24.4,,
202609130604040707,7,,,3.5,5.3,,
202609130604040714,14,,,57.1,88.0,,
202609130604040607,7,,,4.6,8.4,,
202609130604040605,5,,,6.2,11.6,,
202609130604040615,15,,,2.6,4.5,,
202609130604040609,9,,,1.1,1.4,,
202609130604040602,2,,,2.5,4.3,,
202609130604040613,13,,,1.6,2.6,,
202609130604040614,14,,,4.3,7.8,,
202609130604040604,4,,,5.2,9.7,,
202609130604040601,1,,,3.4,6.1,,
202609130604040611,11,,,6.0,11.1,,
202609130604040608,8,,,1.3,1.9,,
202609130604040616,16,,,12.4,23.6,,
202609130604040603,3,,,11.0,20.9,,
202609130604040606,6,,,6.3,11.7,,
202609130604040612,12,,,17.4,33.1,,
202609130604040610,10,,,27.0,51.3,,
202609130604040511,11,,,1.4,2.0,,
202609130604040508,8,,,2.1,3.0,,
202609130604040505,5,,,1.4,2.0,,
202609130604040502,2,,,1.4,1.8,,
202609130604040503,3,,,4.0,6.0,,
202609130604040506,6,,,2.0,2.9,,
202609130604040509,9,,,1.6,2.2,,
202609130604040504,4,,,25.9,40.4,,
202609130604040507,7,,,12.8,19.9,,
202609130604040501,1,,,14.2,22.2,,
202609130604040510,10,,,29.6,46.1,,
202609130604040406,6,,,1.6,2.1,,
202609130604040408,8,,,1.6,2.1,,
202609130604040402,2,,,3.1,4.4,,
202609130604040404,4,,,4.6,6.6,,
202609130604040415,15,,,9.2,13.4,,
202609130604040407,7,,,4.4,6.3,,
202609130604040413,13,,,2.0,2.8,,
202609130604040405,5,,,2.7,3.8,,
202609130604040411,11,,,45.2,66.7,,
202609130604040414,14,,,3.8,5.4,,
202609130604040410,10,,,2.1,3.0,,
202609130604040412,12,,,8.6,12.7,,
202609130604040416,16,,,2.3,3.2,,
202609130604040403,3,,,41.1,60.7,,
202609130604040401,1,,,,,,
202609130604040409,9, 60, 77,17.7,26.1,,
202609130604040307,7,,,1.3,1.8,,
202609130604040304,4,,,3.2,5.7,,
202609130604040306,6,,,1.1,1.4,,
202609130604040315,15,,,3.9,6.9,,
202609130604040308,8,,,3.0,5.2,,
202609130604040310,10,,,4.7,8.6,,
202609130604040313,13,,,13.2,24.7,,
202609130604040305,5,,,12.6,23.6,,
202609130604040312,12,,,1.7,2.8,,
202609130604040303,3,,,4.2,7.6,,
202609130604040311,11,,,11.9,22.2,,
202609130604040314,14,,,12.7,23.8,,
202609130604040302,2,,,8.7,16.1,,
202609130604040309,9,,,3.5,6.2,,
202609130604040301,1,,,4.7,8.5,,
202609130604040316,16,,,3.4,6.1,,
202609130604040203,3,,,1.1,1.6,,
202609130604040205,5,,,4.2,9.3,,
202609130604040208,8,,,1.1,1.2,,
202609130604040206,6,,,11.2,25.6,,
202609130604040204,4,,,2.0,4.2,,
202609130604040202,2,,,1.4,2.6,,
202609130604040201,1,,,7.6,17.3,,
202609130604040210,10,,,5.4,12.0,,
202609130604040209,9,,,13.8,31.7,,
202609130604040207,7,,,1.3,2.4,,
202609130604040104,4,,,1.6,2.2,,
202609130604040105,5,,,1.9,2.7,,
202609130604040108,8,,,1.6,2.2,,
202609130604040110,10,,,1.3,1.7,,
202609130604040102,2,,,1.8,2.5,,
202609130604040101,1,,,10.6,15.4,,
202609130604040109,9,,,2.9,4.3,,
202609130604040107,7,,,2.9,4.2,,
202609130604040103,3,,,30.1,43.7,,
202609130604040106,6,,,2.8,4.0,,
202609130904041214,14, 92, 92,1.5,2.4,,
202609130904041207,7,,,1.2,1.6,,
202609130904041201,1,,,3.1,5.1,,
202609130904041205,5,,,5.4,9.3,,
202609130904041212,12,,,8.5,14.8,,
202609130904041211,11,,,23.2,40.8,,
202609130904041208,8, 94, 94,2.7,4.4,,
202609130904041209,9, 91, 91,2.1,3.3,,
202609130904041202,2,,,5.2,8.9,,
202609130904041210,10,,,8.9,15.6,,
202609130904041213,13,,,46.7,82.2,,
202609130904041204,4,,,1.3,1.8,,
202609130904041206,6,,,2.7,4.5,,
202609130904041203,3,,,7.3,12.7,,
202609130904041107,7,,,1.1,1.3,,
202609130904041102,2,110, 86,1.5,2.4,,
202609130904041106,6, 94,100,1.4,2.2,,
202609130904041105,5,,,6.2,11.4,,
202609130904041108,8,,,6.4,11.7,,
202609130904041103,3, 99, 75,4.6,8.3,,
202609130904041110,10,112, 88,3.2,5.7,,
202609130904041104,4,,,15.8,29.2,,
202609130904041101,1,109, 85,2.6,4.6,,
202609130904041111,11,,,2.9,5.1,,
202609130904041109,9,,,5.7,10.5,,
202609130904041112,12,108, 91,1.9,3.3,,
202609130904041008,8,,,1.4,1.8,,
202609130904041005,5,,,3.0,5.0,,
202609130904041002,2,,,1.3,1.5,,
202609130904041004,4,,,2.2,3.5,,
202609130904041001,1, 91, 83,3.0,5.0,,
202609130904041009,9,,,3.2,5.2,,
202609130904041006,6,,,2.9,4.8,,
202609130904041013,13, 92, 86,5.9,10.1,,
202609130904041003,3,,,6.1,10.3,,
202609130904041007,7,,,8.8,15.1,,
202609130904041014,14,,,10.0,17.4,,
202609130904041010,10,,,11.0,19.1,,
202609130904041015,15,,,2.8,4.6,,
202609130904041011,11,101, 95,2.7,4.5,,
202609130904041012,12,,,30.8,53.6,,
202609130904040902,2, 94, 99,1.4,2.5,,
202609130904040904,4,,,1.8,3.3,,
202609130904040910,10,,,1.1,1.6,,
202609130904040903,3, 91, 99,2.4,4.8,,
202609130904040905,5,,,1.1,1.3,,
