レースID(新),馬番,前走補9,前走補正
202608150101070101,1,64.0,82.0
202608150101070104,4,61.0,80.0
202608150101070105,5,67.0,84.0
202608150101070106,6,73.0,90.0
202608150101070107,7,75.0,90.0
202608150101070109,9,79.0,97.0
202608150101070110,10,63.0,79.0
202608150101070112,12,72.0,89.0
202608150101070113,13,67.0,84.0
202608150101070114,14,69.0,87.0
202608150101070302,2,74.0,89.0
202608150101070303,3,80.0,97.0
202608150101070304,4,80.0,97.0
202608150101070306,6,86.0,102.0
202608150101070309,9,83.0,98.0
202608150101070310,10,90.0,105.0
202608150101070311,11,80.0,95.0
202608150101070312,12,80.0,96.0
202608150101070401,1,76.0,93.0
202608150101070402,2,59.0,78.0
202608150101070404,4,65.0,83.0
202608150101070405,5,66.0,83.0
202608150101070406,6,73.0,91.0
202608150101070407,7,70.0,88.0
202608150101070409,9,64.0,82.0
202608150101070412,12,80.0,98.0
202608150101070603,3,48.0,63.0
202608150101070604,4,67.0,83.0
202608150101070605,5,66.0,81.0
202608150101070606,6,82.0,97.0
202608150101070607,7,81.0,98.0
202608150101070608,8,63.0,80.0
202608150101070609,9,87.0,104.0
202608150101070610,10,80.0,97.0
202608150101070613,13,80.0,95.0
202608150101070702,2,49.0,57.0
202608150101070704,4,104.0,87.0
202608150101070705,5,47.0,65.0
202608150101070706,6,77.0,95.0
202608150101070707,7,67.0,75.0
202608150101070709,9,85.0,102.0
202608150101070710,10,70.0,78.0
202608150101070712,12,80.0,90.0
202608150101070713,13,78.0,95.0
202608150101070715,15,83.0,91.0
202608150101070801,1,80.0,89.0
202608150101070803,3,86.0,103.0
202608150101070804,4,85.0,95.0
202608150101070806,6,84.0,94.0
202608150101070808,8,83.0,89.0
202608150101070809,9,93.0,99.0
202608150101070810,10,85.0,95.0
202608150101071002,2,87.0,96.0
202608150101071003,3,87.0,87.0
202608150101071004,4,98.0,98.0
202608150101071006,6,89.0,89.0
202608150101071007,7,93.0,93.0
202608150101071010,10,97.0,97.0
202608150101071011,11,89.0,94.0
202608150101071012,12,96.0,96.0
202608150101071013,13,81.0,81.0
202608150101071015,15,92.0,92.0
202608150101071016,16,60.0,60.0
202608150101071102,2,99.0,99.0
202608150101071103,3,81.0,91.0
202608150101071107,7,90.0,100.0
202608150101071108,8,92.0,92.0
202608150101071109,9,88.0,81.0
202608150101071111,11,100.0,93.0
202608150101071113,13,91.0,91.0
202608150101071114,14,85.0,85.0
202608150101071202,2,83.0,91.0
202608150101071204,4,76.0,84.0
202608150101071207,7,80.0,89.0
202608150101071209,9,81.0,99.0
202608150101071211,11,75.0,83.0
202608150101071213,13,87.0,95.0
202608150101071214,14,88.0,96.0
202608150402070401,1,70.0,85.0
202608150402070403,3,47.0,63.0
202608150402070406,6,70.0,85.0
202608150402070407,7,73.0,89.0
202608150402070409,9,82.0,98.0
202608150402070412,12,83.0,98.0
202608150402070414,14,68.0,85.0
202608150402070415,15,80.0,95.0
202608150402070501,1,81.0,86.0
202608150402070502,2,86.0,95.0
202608150402070504,4,81.0,91.0
202608150402070505,5,79.0,95.0
202608150402070506,6,85.0,83.0
202608150402070507,7,88.0,103.0
202608150402070508,8,90.0,95.0
202608150402070509,9,86.0,95.0
202608150402070510,10,87.0,92.0
202608150402070511,11,81.0,99.0
202608150402070512,12,91.0,89.0
202608150402070513,13,72.0,87.0
202608150402070514,14,73.0,88.0
202608150402070515,15,79.0,84.0
202608150402070516,16,76.0,91.0
202608150402070518,18,87.0,103.0
202608150402070601,1,89.0,97.0
202608150402070602,2,95.0,95.0
202608150402070603,3,81.0,100.0
202608150402070604,4,82.0,90.0
202608150402070606,6,92.0,100.0
202608150402070607,7,88.0,96.0
202608150402070608,8,82.0,82.0
202608150402070610,10,92.0,92.0
202608150402070611,11,98.0,98.0
202608150402070612,12,82.0,99.0
202608150402070613,13,88.0,88.0
202608150402070614,14,95.0,95.0
202608150402070701,1,94.0,94.0
202608150402070702,2,87.0,87.0
202608150402070704,4,99.0,99.0
202608150402070705,5,100.0,97.0
202608150402070706,6,104.0,98.0
202608150402070707,7,101.0,97.0
202608150402070708,8,104.0,104.0
202608150402070709,9,97.0,91.0
202608150402070710,10,101.0,95.0
202608150402070711,11,98.0,92.0
202608150402070712,12,89.0,85.0
202608150402070714,14,103.0,103.0
202608150402070715,15,95.0,95.0
202608150402070801,1,72.0,81.0
202608150402070802,2,80.0,98.0
202608150402070803,3,103.0,109.0
202608150402070804,4,83.0,93.0
202608150402070806,6,70.0,88.0
202608150402070808,8,79.0,94.0
202608150402070810,10,47.0,56.0
202608150402070811,11,73.0,88.0
202608150402070812,12,52.0,71.0
202608150402070813,13,77.0,86.0
202608150402070814,14,15.0,30.0
202608150402070815,15,73.0,82.0
202608150402071001,1,64.0,81.0
202608150402071002,2,76.0,95.0
202608150402071003,3,74.0,93.0
202608150402071004,4,56.0,74.0
202608150402071005,5,80.0,97.0
202608150402071008,8,48.0,65.0
202608150402071009,9,83.0,101.0
202608150402071011,11,78.0,96.0
202608150402071015,15,80.0,98.0
202608150402071101,1,82.0,97.0
202608150402071102,2,88.0,100.0
202608150402071104,4,81.0,95.0
202608150402071106,6,81.0,95.0
202608150402071107,7,78.0,93.0
202608150402071108,8,72.0,87.0
202608150402071109,9,71.0,90.0
202608150402071113,13,70.0,86.0
202608150402071115,15,73.0,87.0
202608150402071117,17,63.0,78.0
202608150402071118,18,78.0,93.0
202608150402071205,5,82.0,99.0
202608150402071206,6,80.0,99.0
202608150402071208,8,78.0,97.0
202608150402071213,13,82.0,100.0
202608150402071214,14,75.0,94.0
202608150402071218,18,76.0,95.0
202608150702070202,2,50.0,67.0
202608150702070203,3,80.0,95.0
202608150702070204,4,74.0,91.0
202608150702070207,7,77.0,93.0
202608150702070209,9,84.0,100.0
202608150702070210,10,68.0,87.0
202608150702070213,13,72.0,89.0
202608150702070215,15,80.0,97.0
202608150702070401,1,63.0,81.0
202608150702070402,2,81.0,98.0
202608150702070404,4,85.0,100.0
202608150702070406,6,72.0,87.0
202608150702070408,8,83.0,98.0
202608150702070410,10,64.0,82.0
202608150702070413,13,69.0,84.0
202608150702070414,14,83.0,99.0
202608150702070501,1,69.0,88.0
202608150702070502,2,80.0,98.0
202608150702070504,4,57.0,75.0
202608150702070506,6,81.0,98.0
202608150702070507,7,79.0,97.0
202608150702070508,8,65.0,82.0
202608150702070510,10,70.0,85.0
202608150702070513,13,77.0,95.0
202608150702070515,15,61.0,79.0
202608150702070516,16,76.0,93.0
202608150702070601,1,90.0,99.0
202608150702070602,2,87.0,96.0
202608150702070603,3,96.0,96.0
202608150702070604,4,91.0,96.0
202608150702070605,5,84.0,93.0
202608150702070606,6,82.0,82.0
202608150702070607,7,92.0,97.0
202608150702070609,9,94.0,99.0
202608150702070610,10,99.0,98.0
202608150702070611,11,90.0,90.0
202608150702070701,1,95.0,95.0
202608150702070702,2,96.0,96.0
202608150702070703,3,98.0,90.0
202608150702070704,4,87.0,95.0
202608150702070705,5,102.0,94.0
202608150702070706,6,95.0,87.0
202608150702070707,7,91.0,99.0
202608150702070708,8,87.0,92.0
202608150702070801,1,83.0,101.0
202608150702070803,3,84.0,93.0
202608150702070804,4,65.0,84.0
202608150702070805,5,88.0,97.0
202608150702070806,6,78.0,97.0
202608150702070807,7,82.0,97.0
202608150702070808,8,79.0,97.0
202608150702070901,1,83.0,92.0
202608150702070903,3,90.0,105.0
202608150702070904,4,78.0,87.0
202608150702070905,5,81.0,99.0
202608150702070906,6,87.0,96.0
202608150702070908,8,84.0,102.0
202608150702070909,9,86.0,95.0
202608150702070911,11,74.0,79.0
202608150702070912,12,78.0,87.0
202608150702070913,13,83.0,89.0
202608150702070914,14,75.0,84.0
202608150702070915,15,91.0,96.0
202608150702070916,16,83.0,100.0
202608150702071001,1,84.0,102.0
202608150702071002,2,87.0,92.0
202608150702071003,3,75.0,91.0
202608150702071006,6,85.0,95.0
202608150702071007,7,82.0,87.0
202608150702071009,9,86.0,95.0
202608150702071011,11,79.0,89.0
202608150702071012,12,82.0,98.0
202608150702071013,13,75.0,80.0
202608150702071015,15,89.0,94.0
202608150702071016,16,91.0,101.0
202608150702071101,1,79.0,96.0
202608150702071102,2,80.0,97.0
202608150702071103,3,77.0,87.0
202608150702071104,4,90.0,84.0
202608150702071105,5,79.0,88.0
202608150702071106,6,80.0,88.0
202608150702071109,9,85.0,93.0
202608150702071110,10,90.0,98.0
202608150702071111,11,86.0,91.0
202608150702071113,13,82.0,99.0
202608150702071114,14,76.0,84.0
202608150702071201,1,80.0,95.0
202608150702071205,5,84.0,99.0
202608150702071206,6,81.0,96.0
202608150702071207,7,71.0,85.0
202608150702071211,11,70.0,88.0
202608150702071214,14,65.0,80.0
202608150702071216,16,72.0,87.0
