レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ホテルストリート,,牝,3,9,2,10,東京,D,1600,稍,5,3,未勝利・牝,38.7,逃げ,14,11,2,東京,D,1400,重,8,6,未勝利*,36.7,後方,2,10,18,東京,T,1400,良,11,5,新馬・牝,34.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,アメジストブルー,,牝,3,14,1,4,京都,D,1200,良,13,16,未勝利,37.1,後方,14,9,27,阪神,D,1400,良,12,14,未勝利*,41.4,中団,2,9,14,阪神,D,1400,良,9,11,未勝利・牝*,40.1,中団,4,8,16,中京,T,1200,良,7,8,新馬,35.7,後方,初,,,,,,,,,,,,
2,,3,,,,,アンミックス,,牝,3,4,3,14,阪神,D,1800,良,5,2,未勝利・牝,40.1,中団,7,1,25,中山,D,1800,良,3,1,新馬,40.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,クッカユフラ,,牝,3,22,11,9,福島,D,1700,良,8,10,新馬,40.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,オリエンタルガール,,牝,3,14,1,5,中山,D,1800,稍,9,12,未勝利・牝,42.9,先行,4,12,7,中山,D,1200,良,13,11,未勝利*,39.4,後方,4,11,9,福島,D,1700,良,6,13,新馬,40.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,ベッラモレーン,,牝,3,13,1,10,中山,T,1600,良,11,10,未勝利,35.1,中団,4,12,14,中山,T,1600,稍,5,7,新馬,36.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,モチモチチャン,,牝,3,11,1,25,小倉,D,1700,良,7,11,未勝利・牝,39.9,中団,2,1,12,京都,D,1400,良,12,11,未勝利・牝,39.4,後方,8,11,15,京都,D,1800,良,10,8,未勝利*,41.7,中団,2,11,1,京都,T,1800,稍,8,7,未勝利*,35.7,中団,3,10,13,京都,T,1600,良,9,6,新馬,36.7,後方,初
5,,8,,,,,クラックアスマイル,,牝,3,10,1,31,東京,D,1400,良,16,11,未勝利・牝,38.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,フィアスゲイル,,牝,3,19,11,30,京都,T,1800,良,12,9,未勝利*,40.9,中団,2,11,16,京都,T,1600,良,8,12,未勝利*,37.0,中団,9,9,13,阪神,D,1400,良,12,8,新馬・牝,40.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ムーヴザニードル,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
