レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041903010401,2026.4.19,日,福島,1福4,1,,未勝利,ダート,1150,,2,良(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,スプリングドリーム,,牝,3,4,3,21,中山,D,1200,良,3,1,未勝利・牝,39.3,逃げ,11,1,5,中山,T,1600,良,14,4,新馬,37.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,スイーヴル,,牝,3,7,3,1,小倉,D,1000,稍,3,4,未勝利,35.9,先行,2,2,14,小倉,D,1000,良,3,10,未勝利,36.5,差し,2,1,31,小倉,D,1000,良,6,13,未勝利,36.5,中団,6,12,20,中京,D,1200,稍,11,14,未勝利*,39.3,先行,9,10,19,京都,D,1400,稍,11,8,未勝利・牝*,42.9,中団,3
2,,3,,,,,イングラム,,牡,3,9,2,14,京都,D,1400,稍,15,7,未勝利,41.6,逃げ,3,1,25,京都,T,1600,良,13,5,新馬,36.7,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,4,,,,,カンフージョン,,牡,3,8,2,21,小倉,D,1000,良,10,10,未勝利,37.0,中団,6,1,11,京都,D,1400,良,15,10,未勝利,42.4,逃げ,5,12,7,阪神,D,1400,良,15,3,未勝利*,41.2,先行,3,11,16,京都,D,1800,良,7,3,新馬,40.0,逃げ,初,,,,,,,,,,,,
3,,5,,,,,オレンジキャンパス,,牝,3,7,3,1,小倉,T,1200,良,11,8,未勝利,36.1,中団,2,2,14,小倉,T,1200,良,3,7,未勝利,35.6,差し,5,1,10,中山,D,1200,良,7,4,未勝利・牝,39.3,先行,18,9,6,中山,T,1200,良,7,13,新馬,34.3,中団,初,,,,,,,,,,,,
3,,6,,,,,チュラヴェール,,牝,3,9,2,14,小倉,D,1000,良,8,3,未勝利,36.5,中団,2,1,31,小倉,D,1000,良,5,4,未勝利,36.2,中団,5,12,27,中山,D,1200,稍,12,6,未勝利*,40.7,逃げ,5,11,24,福島,D,1150,良,6,2,未勝利*,38.8,中団,15,8,9,新潟,D,1200,良,3,3,未勝利*,38.4,先行,3
4,,7,,,,,ラインカシウス,,牝,3,6,3,7,中山,D,1200,重,10,8,未勝利,38.3,後方,10,12,27,中山,D,1200,稍,13,12,未勝利*,40.1,先行,6,11,16,福島,D,1150,良,6,15,未勝利*,38.1,中団,14,8,9,新潟,D,1200,良,12,12,未勝利*,38.1,後方,2,7,26,新潟,D,1200,良,5,7,未勝利*,38.5,中団,4
4,,8,,,,,フレンズプラス,,牝,3,10,2,7,小倉,D,1700,良,11,9,未勝利・牝,41.1,先行,17,10,11,京都,D,1200,良,7,2,未勝利*,38.2,先行,4,9,13,阪神,D,1200,良,3,6,未勝利*,36.9,先行,連,9,6,阪神,D,1400,稍,5,5,新馬,39.3,先行,初,,,,,,,,,,,,
5,,9,,,,,セイウンサクラサケ,,牝,3,7,2,28,中山,D,1200,重,13,12,未勝利・牝,38.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,10,,,,,ゲレイロ,,牡,3,3,3,29,中京,D,1200,良,5,7,未勝利,36.6,中団,7,2,7,京都,D,1400,良,11,12,未勝利,38.3,中団,2,1,24,京都,D,1200,良,11,5,未勝利,36.6,後方,4,12,28,阪神,T,1400,良,16,8,未勝利*,36.1,後方,7,11,8,京都,T,1400,良,6,2,新馬,36.0,先行,初
