レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ロココ,,牝,3,10,3,1,中山,D,1800,稍,6,6,未勝利・牝,41.5,中団,2,2,14,京都,D,1800,稍,4,7,未勝利・牝,39.3,差し,2,2,4,川崎,D,1400,良,3,2,ガーネ,----,先行,6,12,21,中山,D,1800,不,6,15,未勝利*,39.3,先行,4,11,22,福島,D,1700,良,9,14,未勝利・牝*,39.8,中団,6
2,B,2,,,,,ノヴァキュライト,,牝,3,4,4,12,福島,D,1700,良,13,12,未勝利・牝,39.7,後方,16,12,20,阪神,D,1800,良,15,10,新馬,44.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,3,,,,,ブリスフルイヤー,,牝,3,3,4,19,福島,D,1700,良,3,12,未勝利・牝,38.9,先行,9,2,14,小倉,D,1700,良,10,10,未勝利・牝,39.3,中団,6,1,5,中山,D,1800,稍,13,6,未勝利・牝,42.5,中団,8,11,8,福島,D,1700,良,6,10,未勝利・牝*,39.5,中団,2,10,26,新潟,D,1800,良,6,10,未勝利・牝*,39.6,後方,7
3,,4,,,,,プラトニックガール,,牝,3,3,4,19,福島,D,1700,良,12,15,未勝利・牝,40.5,後方,20,11,30,東京,D,1600,良,12,15,新馬,39.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ベベペッパー,,牝,3,8,3,14,阪神,T,1800,良,12,12,未勝利,36.6,先行,3,2,22,小倉,T,1800,良,9,10,未勝利・牝,36.5,先行,11,12,6,中京,T,1200,良,12,11,未勝利*,34.3,後方,4,11,8,京都,T,1400,良,13,7,未勝利*,36.1,先行,8,9,14,阪神,D,1800,良,7,7,新馬,40.1,先行,初
4,,6,,,,,クッカユフラ,,牝,3,4,4,12,福島,D,1700,良,4,11,未勝利・牝,39.1,先行,22,11,9,福島,D,1700,良,8,10,新馬,40.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,メイショウサザナミ,,牝,3,2,4,25,福島,D,1700,良,6,13,未勝利・牝,40.0,先行,10,2,14,京都,D,1800,稍,13,11,新馬,45.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,マスカルポーネ,,牝,3,3,4,19,福島,D,1700,良,4,8,未勝利・牝,39.2,差し,3,3,29,中山,D,1800,稍,3,9,未勝利・牝,39.7,先行,9,1,25,中山,D,1800,良,10,4,未勝利・牝,43.2,先行,2,1,12,中山,D,1800,良,4,13,未勝利・牝,39.5,差し,3,12,20,中山,D,1800,良,8,16,未勝利・牝*,40.0,後方,8
5,,9,,,,,サツキジュエル,,牝,3,3,4,19,中山,D,1800,良,10,12,未勝利・牝,41.3,後方,3,3,28,中京,D,1800,稍,9,12,未勝利・牝,41.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,アルデナイン,,牝,3,19,12,28,中山,T,2000,良,15,15,新馬,37.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,キタノトゥシャイン,,牝,3,2,4,26,東京,D,1400,稍,14,15,未勝利・牝,37.6,後方,4,3,29,中京,D,1200,良,10,13,未勝利,37.1,後方,10,1,18,中山,D,1200,良,12,13,未勝利,38.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,アンヌグロース,,牝,3,3,4,18,阪神,D,1800,良,11,14,未勝利・牝,38.9,中団,9,2,14,京都,D,1800,稍,6,13,未勝利・牝,40.3,後方,2,2,1,京都,D,1400,良,16,13,新馬,38.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ヴァイヴァーイ,,牝,3,6,3,28,中京,D,1800,稍,3,4,未勝利・牝,38.9,差し,連,3,22,中京,D,1800,良,4,6,未勝利・牝,38.4,差し,10,1,11,京都,D,1800,良,8,13,新馬・牝,40.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,フローラルウェイ,,牝,3,13,2,7,小倉,D,1700,良,16,8,未勝利・牝,42.3,中団,15,10,26,京都,D,1800,重,9,8,新馬,39.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ボヤージュブルー,,牝,3,8,3,15,阪神,D,1400,良,15,14,未勝利・牝,38.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010402,2026.5.10,日,新潟,1新4,2,,未勝利,ダート,1200,,2,稍(暫定),晴(暫定),15,10:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,タマモトップハット,,牡,3,12,2,14,東京,D,1400,良,14,14,未勝利,37.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,エルヴィッタ,,牝,3,11,2,21,阪神,T,1600,良,18,7,未勝利,37.1,中団,11,12,7,中京,T,1400,良,5,4,新馬,34.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ベセル,,牡,3,18,1,4,中山,D,1200,稍,2,5,新馬,38.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,4,,,,,セイウンヤオヨロズ,,牡,3,2,4,25,福島,D,1150,良,2,5,未勝利,37.4,逃げ,2,4,11,福島,D,1150,良,4,8,未勝利,37.6,差し,11,1,24,小倉,T,1800,良,13,14,未勝利,36.2,中団,6,12,14,中山,T,2000,稍,12,16,未勝利*,37.8,中団,3,11,22,福島,T,1800,良,9,14,未勝利*,35.5,後方,10
3,,5,,,,,ドリームガッサン,,牝,3,2,4,26,福島,D,1150,良,2,5,未勝利・牝,36.9,先行,8,2,28,中山,D,1200,重,7,6,未勝利,37.7,先行,8,1,5,中山,D,1200,稍,6,12,未勝利,37.9,中団,8,11,9,福島,D,1150,良,8,10,未勝利*,38.6,中団,8,9,15,中山,D,1200,良,14,4,未勝利*,41.8,逃げ,5
4,,6,,,,,セントリアン,,牝,3,3,4,18,中山,D,1200,良,5,7,未勝利・牝,37.7,先行,4,3,21,中山,D,1200,良,8,7,未勝利,38.3,中団,3,2,28,中山,D,1200,重,8,4,未勝利・牝,38.7,先行,15,11,16,福島,D,1150,良,5,6,未勝利*,37.4,中団,4,10,18,東京,D,1400,良,3,6,未勝利・牝*,37.5,先行,4
4,B,7,,,,,カワキタベレッタ,,牝,3,11,2,25,佐賀,D,1400,不,4,4,グリー,----,差し,6,1,10,京都,D,1800,良,14,10,未勝利・牝,40.4,後方,2,12,27,中山,D,1200,稍,9,14,未勝利・牝*,38.5,中団,10,10,18,新潟,D,1200,良,11,9,新馬,38.9,中団,初,,,,,,,,,,,,
5,,8,,,,,ハルカオル,,牝,3,11,2,21,阪神,D,1400,良,12,7,未勝利,38.7,中団,2,2,10,東京,D,1600,稍,5,9,新馬,39.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,,,,,ラインメテオラ,,牡,3,11,2,21,小倉,D,1700,良,7,7,未勝利,40.8,逃げ,10,12,13,中京,T,2000,良,10,12,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,エコログロウ,,牡,3,3,4,18,中山,D,1200,良,3,6,未勝利,37.3,逃げ,3,3,29,阪神,D,1400,良,11,3,未勝利,39.6,中団,40,6,22,東京,T,1400,良,12,6,新馬,37.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ホウオウチャールズ,,牡,3,14,1,31,京都,T,1600,良,15,12,未勝利,39.0,先行,6,12,20,中京,T,2000,稍,12,11,未勝利*,38.0,逃げ,3,11,29,東京,T,1600,良,8,9,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,アイアンナックル,,牡,3,11,2,22,阪神,D,1200,良,9,6,未勝利,38.0,先行,3,2,1,東京,D,1400,良,7,7,未勝利,38.1,後方,14,10,26,東京,D,1400,不,3,6,未勝利*,36.5,差し,2,10,11,東京,D,1400,稍,6,7,新馬,37.1,後方,初,,,,,,,,,,,,
7,,13,,,,,チョウダントツ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,フェルアフリーゼ,,牝,3,3,4,18,福島,D,1150,良,5,4,未勝利,37.1,先行,2,4,4,中山,D,1200,稍,5,6,未勝利・牝,38.2,逃げ,10,1,25,中山,D,1200,良,3,2,未勝利,39.1,差し,2,1,10,中山,D,1200,良,3,5,未勝利・牝,38.4,差し,11,10,25,東京,D,1600,稍,7,9,新馬,38.0,先行,初
8,,15,,,,,ニシノスフィンクス,,牝,3,46,6,22,東京,T,1400,良,6,13,新馬,36.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010403,2026.5.10,日,新潟,1新4,3,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,10:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アイビーチーキー,,牡,3,3,4,19,福島,D,1700,良,2,4,未勝利,38.4,先行,8,2,21,東京,D,1600,良,4,6,新馬,37.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
