レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051704010601,2026.5.17,日,新潟,1新6,1,,未勝利,障害,2890,B,,良(暫定),晴(暫定),14,09:45,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ナスノソナタ,,牡,4,7,3,29,中京,T,2200,良,9,13,１勝ｸﾗｽ,35.1,中団,10,1,17,中山,T,2200,良,10,11,１勝ｸﾗｽ,36.2,後方,6,12,6,中京,D,1900,良,15,15,１勝ｸﾗｽ,41.8,中団,3,11,16,福島,T,2000,良,10,14,１勝ｸﾗｽ,35.4,後方,48,12,14,中山,T,2000,良,7,8,新馬,35.2,中団,初
2,,2,,,,,サマーアゲイン,,牡,5,14,2,7,小倉,S,2860,稍,8,6,障害未勝利,14.3,後方,18,10,5,京都,D,1400,重,12,16,２勝ｸﾗｽ,37.3,中団,4,9,9,川崎,D,1600,稍,5,7,スパー,----,中団,9,7,8,川崎,D,1600,良,1,4,ジュラ,----,先行,5,5,31,京都,T,1600,良,13,13,１勝ｸﾗｽ,34.6,後方,18
3,,3,,,,,ゲレル,,牝,4,11,2,28,小倉,S,2860,稍,6,7,障害未勝利,14.1,中団,6,1,17,中山,T,2200,良,9,9,１勝ｸﾗｽ,35.7,後方,3,12,27,中山,T,2200,良,7,18,１勝ｸﾗｽ,35.2,中団,5,11,24,福島,T,2000,良,10,16,１勝ｸﾗｽ,35.0,後方,12,8,31,札幌,T,2600,稍,14,14,北辰特別･1勝,38.4,後方,8
3,,4,,,,,ジュリアスローズ,,牝,5,36,9,6,中山,S,2880,稍,8,8,障害未勝利,14.0,先行,5,8,3,新潟,S,2850,良,6,13,障害未勝利,13.2,逃げ,5,6,29,小倉,S,2860,良,10,12,障害未勝利,13.7,中団,6,5,18,東京,T,1800,良,9,9,１勝ｸﾗｽ,35.2,中団,8,3,22,阪神,D,1800,良,10,10,１勝ｸﾗｽ・牝,43.3,後方,連
4,,5,,,,,エポカスピーガ,,牝,4,7,3,28,中京,D,1400,稍,15,15,１勝ｸﾗｽ,39.6,逃げ,16,12,6,中山,D,1200,良,13,6,１勝ｸﾗｽ,39.6,逃げ,3,11,16,福島,D,1150,良,11,15,１勝ｸﾗｽ・若,38.5,先行,5,10,11,東京,D,1600,稍,16,15,１勝ｸﾗｽ・牝,42.8,逃げ,17,6,14,東京,D,1400,良,15,13,１勝ｸﾗｽ・牝,38.9,先行,12
4,,6,,,,,ライツフォル,,牡,6,3,4,26,京都,S,2910,良,4,5,障害未勝利,13.8,差し,9,2,22,小倉,S,2860,良,8,5,障害未勝利,14.0,中団,6,1,10,京都,D,1400,良,12,4,すばるＳ(L),37.8,先行,6,11,30,京都,D,1400,良,11,3,オータム,37.7,中団,12,9,6,阪神,D,1400,稍,2,3,エニフＨ(L),36.7,先行,6
5,,7,,,,,ナヴァラトゥナ,,牡,4,24,11,29,東京,T,2400,良,10,7,１勝ｸﾗｽ,36.3,中団,15,8,16,新潟,T,2400,良,3,2,未勝利,35.8,先行,7,6,29,福島,T,2600,良,13,1,未勝利,37.5,中団,7,5,10,東京,T,2400,稍,2,2,未勝利,34.4,先行,12,2,16,東京,T,1800,良,5,3,未勝利,34.4,中団,14
5,,8,,,,,アヴニールドブリエ,,セ,6,13,2,14,東京,T,2400,良,6,6,箱根特別･2勝,34.5,中団,12,11,24,東京,T,2400,良,7,9,南武特別･2勝,35.2,中団,7,10,4,東京,T,1800,良,10,8,八ヶ岳特･2勝,33.1,後方,19,5,25,東京,T,1800,良,7,2,調布特Ｈ･2勝,34.8,後方,2,5,11,東京,T,2000,良,4,2,２勝ｸﾗｽ,34.9,先行,2
6,,9,,,,,イモータルバード,,牡,5,4,4,18,中山,D,1200,良,11,10,葛飾特別･2勝,36.9,中団,19,12,6,阪神,D,1400,良,14,13,２勝ｸﾗｽ,37.3,後方,3,11,16,東京,D,1400,良,5,11,２勝ｸﾗｽ,36.1,後方,9,9,15,中山,D,1800,良,11,5,鋸山特別･2勝,41.7,中団,10,7,5,函館,D,1700,重,9,11,竜飛崎特･2勝,37.5,中団,7
6,B,10,,,,,アンノウンウォリア,,牡,7,4,4,19,阪神,S,2970,良,8,11,障害未勝利,13.9,後方,14,1,12,中山,S,2880,良,9,8,障害未勝利,13.9,中団,17,9,15,阪神,S,2970,良,4,4,障害未勝利,14.3,追込,8,7,19,小倉,D,1700,重,16,13,１勝ｸﾗｽ,38.2,後方,27,1,13,中山,S,2880,良,8,5,障害未勝利,13.8,中団,4
