レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052304010702,2026.5.23,土,新潟,1新7,2,,未勝利,ダート,1800,,4,不(暫定),曇(暫定),15,10:20,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ディジョネット,,牝,3,15,2,10,東京,D,1600,稍,13,16,新馬,40.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,スマートコーラル,,牝,3,3,5,2,新潟,D,1800,不,2,9,未勝利・牝,40.7,逃げ,3,4,11,阪神,D,1800,重,6,15,未勝利・牝,40.3,先行,3,3,22,阪神,D,1400,良,9,12,未勝利・牝,39.0,中団,14,12,14,中京,D,1800,稍,12,11,未勝利・牝*,43.1,先行,3,11,23,京都,D,1800,良,12,12,未勝利*,41.1,中団,9
2,,3,,,,,マッドヘッドラブ,,牝,3,15,2,10,東京,D,1600,稍,11,6,新馬,41.9,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ランランリンリン,,牝,3,10,3,14,中京,T,1600,良,13,12,未勝利・若,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,エレーデサンライズ,,牝,3,4,4,26,福島,D,1700,良,4,4,未勝利・若,37.6,差し,3,4,5,阪神,D,1400,重,7,10,未勝利・牝,36.5,後方,22,11,2,京都,T,1600,良,11,3,新馬,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,メイショウミズホ,,牝,3,9,3,21,中山,D,1800,良,11,11,未勝利,42.8,後方,連,3,15,中山,D,1800,良,12,10,未勝利・牝,39.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,オーシャンミューズ,,牝,3,6,4,12,福島,D,1700,良,13,11,未勝利,40.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,ラミアスペランツァ,,牝,3,9,3,21,中京,T,1400,良,10,4,未勝利,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,,,,,アジャイブ,,牝,3,3,5,3,東京,D,1600,稍,14,13,未勝利・牝,39.6,中団,8,3,7,中山,T,2000,稍,18,18,未勝利・牝,36.8,後方,12,12,13,中山,T,1600,良,14,13,未勝利*,35.6,後方,3,11,24,東京,T,1600,良,11,11,新馬・牝,34.5,後方,初,,,,,,,,,,,,
6,,10,,,,,オコリンボーマミー,,牝,3,2,5,10,新潟,T,1800,良,12,13,未勝利・牝,35.5,先行,14,2,1,小倉,T,1200,良,16,6,新馬,35.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,エリザベスタウン,,牝,3,12,3,1,中山,D,1800,稍,11,9,未勝利・牝,42.7,中団,10,12,20,中山,D,1800,良,10,11,新馬,40.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,エバーウインド,,牝,3,2,5,10,京都,T,1600,良,15,13,未勝利,35.6,中団,7,3,22,阪神,D,1400,良,12,9,未勝利・牝,39.3,後方,4,2,22,阪神,D,1400,良,7,10,新馬,39.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,タガノアルテミス,,牝,3,8,3,28,中京,D,1800,稍,7,5,未勝利・牝,39.6,中団,2,3,18,笠松,D,1400,稍,2,1,関ヶ原,----,先行,10,1,5,京都,D,1800,良,5,10,未勝利・牝,39.1,先行,9,11,1,東京,D,1400,不,11,7,新馬,37.1,後方,初,,,,,,,,,,,,
8,,14,,,,,エロイーズ,,牝,3,17,1,24,京都,T,1400,良,16,12,未勝利,36.5,後方,7,12,6,中京,T,1200,良,8,16,未勝利*,33.9,後方,5,11,2,京都,T,1600,良,12,12,新馬,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ウェルム,,牝,3,10,3,15,中京,D,1400,良,6,4,未勝利,38.4,中団,2,2,28,小倉,D,1700,不,3,10,未勝利・牝,38.1,先行,10,12,21,中京,D,1800,稍,15,3,未勝利*,44.5,逃げ,2,12,7,阪神,T,2000,良,5,6,未勝利*,35.4,逃げ,2,11,23,東京,T,2000,良,4,6,新馬,34.3,差し,初
