レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ウレシイゴサン,,牡,3,32,10,13,東京,T,1400,良,8,4,未勝利*,34.7,中団,2,9,27,中山,D,1200,良,12,3,未勝利*,37.6,後方,10,7,20,函館,T,1200,良,9,12,函館２歳G3,34.2,後方,連,7,13,函館,D,1000,良,2,6,未勝利*,37.5,先行,3,6,21,函館,D,1000,良,7,1,新馬,36.9,後方,初
1,,2,,,,,ブライティアロード,,牝,3,16,2,1,小倉,T,1200,良,10,5,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,グランフォワイエ,,牡,3,23,12,14,中山,T,1200,良,16,13,未勝利*,37.5,後方,7,10,26,新潟,T,1400,良,11,11,未勝利*,37.2,後方,16,7,6,福島,T,1200,良,9,2,新馬,37.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,アンコ,,牝,3,18,1,18,京都,D,1400,良,15,11,未勝利,42.0,中団,3,12,28,阪神,T,1600,良,15,6,新馬,35.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ピコバレット,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ウインラブソング,,牝,3,15,2,10,京都,T,1600,良,13,9,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ドゥボヌール,,牝,3,17,1,25,小倉,T,1200,良,8,9,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,シンデレラリバティ,,牝,3,14,2,15,小倉,T,1200,稍,9,17,未勝利,36.1,中団,9,12,14,中山,T,1200,良,9,14,未勝利*,36.1,中団,8,10,19,新潟,D,1200,重,15,12,未勝利*,38.5,後方,9,8,17,新潟,T,1600,良,7,10,未勝利・牝*,35.8,先行,2,8,2,新潟,T,1000,良,5,8,未勝利*,33.6,中団,4
5,,9,,,,,ゲンテン,,牡,3,連,5,16,東京,D,1300,良,4,3,未勝利,37.3,差し,9,3,15,中京,T,1400,良,6,4,未勝利,35.5,中団,4,2,14,東京,D,1400,良,5,2,未勝利,37.7,先行,11,11,29,東京,T,1600,良,6,2,新馬,34.4,先行,初,,,,,,,,,,,,
5,,10,,,,,マイネルユーゲント,,牡,3,2,5,9,新潟,T,1200,良,3,1,未勝利・若,37.0,逃げ,3,4,18,福島,T,1200,良,4,2,未勝利,35.2,先行,10,2,7,小倉,T,1200,良,16,3,未勝利,36.8,先行,2,1,25,小倉,T,1200,良,2,7,未勝利,34.5,逃げ,11,11,9,福島,T,1200,良,9,6,未勝利*,36.1,逃げ,13
6,B,11,,,,,リュウセイコウテイ,,牡,3,連,5,16,新潟,T,1000,良,2,3,未勝利,33.1,先行,11,2,28,小倉,T,1200,稍,8,12,未勝利,36.2,先行,9,12,28,中山,T,1200,良,7,8,未勝利*,35.5,中団,12,10,5,東京,T,1400,良,14,6,未勝利*,35.5,中団,3,9,14,中山,T,1200,良,4,12,未勝利*,35.0,逃げ,5
6,,12,,,,,ソワンドヴィクター,,牝,3,4,4,26,福島,T,1200,良,4,12,未勝利・牝,34.1,差し,2,4,11,福島,T,1200,良,5,12,未勝利,34.5,中団,17,12,13,中山,D,1200,良,13,13,未勝利・牝*,41.7,後方,2,11,29,東京,T,1400,良,18,17,未勝利*,34.9,後方,3,11,8,福島,T,1200,良,11,12,新馬,35.0,後方,初
7,B,13,,,,,ハルヒメ,,牝,3,2,5,9,新潟,T,1200,良,2,9,未勝利・若,36.5,先行,10,3,1,小倉,D,1000,稍,13,8,未勝利,37.9,後方,5,1,25,小倉,T,1200,良,8,5,未勝利,34.9,中団,11,11,9,福島,D,1150,良,12,3,未勝利*,39.4,先行,12,8,17,札幌,T,1200,良,4,1,未勝利*,35.3,逃げ,3
7,B,14,,,,,ピコテーパー,,牡,3,16,2,1,東京,D,1400,良,14,11,未勝利,38.4,後方,17,10,4,東京,T,1400,良,11,6,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,チャーミングアイ,,牝,3,連,5,16,新潟,T,1000,良,5,13,未勝利,32.8,中団,18,1,10,中山,D,1200,良,13,13,未勝利・牝,39.1,後方,2,12,27,中山,D,1200,稍,8,13,未勝利・牝*,38.9,先行,6,11,16,福島,D,1150,良,12,14,未勝利*,39.0,後方,7,9,28,中山,D,1800,良,12,10,未勝利*,46.2,後方,3
