レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021101,2026.5.30,土,東京,2東B,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,フェアリーキャット,,牝,3,2,5,16,新潟,D,1200,良,7,9,未勝利,39.6,先行,15,2,1,東京,T,1600,良,14,16,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,2,,,,,ヴィビーム,,牝,3,3,5,9,新潟,D,1200,稍,7,10,未勝利・牝,40.6,中団,3,4,19,福島,D,1150,良,5,12,未勝利,37.9,中団,14,1,10,中山,D,1200,良,10,8,未勝利・牝,38.8,中団,25,7,20,福島,D,1150,良,4,3,未勝利*,38.3,先行,3,6,28,福島,D,1150,良,4,5,新馬,38.5,先行,初
2,,3,,,,,ジュピターテソーロ,,牡,3,3,5,9,新潟,D,1800,稍,8,3,未勝利,43.6,先行,13,2,10,東京,D,1400,稍,8,5,未勝利,37.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ブルーミーティア,,牡,3,4,5,3,東京,D,1400,稍,3,3,未勝利,36.6,追込,3,4,12,福島,D,1700,良,6,3,未勝利,39.4,中団,9,2,8,小倉,D,1700,良,15,1,未勝利,44.0,逃げ,8,12,14,中京,D,1400,稍,7,10,未勝利*,38.7,中団,2,11,30,東京,D,1400,良,5,3,未勝利*,38.3,先行,2
3,,5,,,,,ニットウライズ,,牡,3,15,2,15,東京,D,1600,良,8,8,新馬,37.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ライカ,,牡,3,4,5,3,東京,D,1400,稍,4,1,未勝利,36.7,追込,連,4,25,東京,D,1400,稍,2,2,未勝利,36.8,差し,3,4,4,中山,D,1200,稍,3,7,未勝利,37.0,差し,4,3,8,中山,D,1200,稍,4,6,未勝利,38.2,差し,3,2,14,東京,D,1400,良,4,7,未勝利,37.4,差し,2
4,,7,,,,,エーデルハイ,,牝,3,3,5,9,新潟,T,1200,良,13,13,未勝利・若,36.1,後方,10,3,1,中山,D,1200,稍,8,8,未勝利,38.5,中団,6,1,18,中山,T,1600,良,12,14,未勝利・牝,34.9,後方,14,10,12,東京,T,1600,良,6,9,未勝利*,35.1,先行,4,9,13,中山,T,1600,稍,8,10,新馬・牝,35.4,中団,初
4,,8,,,,,イデアジュアンイハ,,牝,3,2,5,17,東京,D,1400,良,5,12,未勝利,38.1,先行,7,3,29,中京,D,1400,良,8,15,未勝利・牝,38.3,中団,2,3,15,中京,D,1400,良,11,16,未勝利,38.6,中団,11,12,27,中山,D,1800,稍,10,14,未勝利*,40.5,中団,8,11,2,東京,T,1800,良,9,8,未勝利*,35.1,後方,2
5,B,9,,,,,コウユーニポポニコ,,牝,3,4,5,2,東京,D,1400,重,3,8,未勝利・牝,37.9,差し,6,3,21,中京,D,1200,良,13,9,未勝利・牝,39.1,中団,8,1,24,京都,D,1200,良,5,7,未勝利,37.2,先行,4,12,28,中山,D,1200,良,9,4,未勝利*,39.4,中団,3,12,6,中山,D,1200,良,3,9,未勝利*,37.8,差し,13
5,,10,,,,,ジョリュウジャンシ,,牝,3,連,5,24,新潟,D,1200,稍,外,--,未勝利・牝,----,,19,1,10,中山,D,1200,良,11,15,未勝利・牝,39.6,中団,3,12,20,中山,D,1200,良,16,13,未勝利*,41.5,中団,9,10,18,新潟,D,1200,良,9,14,新馬,37.4,後方,初,,,,,,,,,,,,
