レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053105021201,2026.5.31,日,東京,2東C,1,,未勝利,ダート,1600,,2,良(暫定),晴(暫定),16,09:40,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ベアエクスプレス,,牝,3,3,5,9,東京,D,1600,良,13,12,未勝利,38.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,アーティラリー,,牝,3,4,5,2,新潟,D,1800,不,4,6,未勝利・牝,41.3,先行,3,4,12,福島,D,1700,良,3,3,未勝利・牝,38.6,差し,4,3,15,中山,D,1800,良,5,7,未勝利・牝,39.9,中団,12,12,20,中山,D,1800,良,7,8,未勝利・牝*,41.2,先行,4,11,22,福島,D,1700,良,5,3,未勝利・牝*,39.7,中団,2
2,B,3,,,,,レディソフィア,,牝,3,3,5,10,東京,D,1600,良,5,14,未勝利・牝,38.8,逃げ,7,3,22,中京,D,1400,良,12,15,未勝利,38.9,後方,8,1,25,中山,D,1800,良,16,12,新馬,45.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,B,4,,,,,トラストレガート,,牝,3,3,5,10,東京,D,1600,良,6,9,未勝利・牝,37.9,中団,5,4,5,中山,D,1800,不,7,15,未勝利・牝,39.5,後方,3,3,15,中山,D,1800,良,7,9,未勝利・牝,41.0,中団,9,1,12,中山,D,1800,良,8,16,未勝利・牝,39.9,後方,2,12,28,中山,D,1800,良,13,13,未勝利*,40.6,後方,10
3,,5,,,,,エリカビアリッツ,,牝,3,5,4,25,東京,D,1600,稍,2,1,未勝利・牝,38.5,差し,34,8,30,札幌,T,1500,稍,2,1,未勝利・牝*,36.2,先行,3,8,10,札幌,T,1500,良,3,1,新馬・牝,35.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,フローレスカラーズ,,牝,3,11,3,14,中山,D,1800,良,14,7,未勝利・牝,42.3,後方,3,2,22,東京,D,1400,良,6,2,新馬,39.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,キミガハマ,,牝,3,2,5,17,東京,D,1600,良,5,7,未勝利・牝,38.4,中団,7,3,29,中山,D,1800,稍,6,7,未勝利・牝,40.4,中団,13,12,28,中山,T,2000,良,17,5,新馬,37.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,パレホ,,牝,3,7,4,11,中山,D,1800,重,14,13,未勝利・牝,43.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,エフハリスト,,牝,3,4,5,3,東京,D,1600,稍,2,4,未勝利・牝,36.6,追込,4,4,5,中山,D,1800,不,5,4,未勝利・牝,39.7,ﾏｸﾘ,7,2,14,東京,D,1400,良,8,8,未勝利,37.8,後方,10,12,7,中京,T,1400,良,14,7,新馬,34.5,後方,初,,,,,,,,,,,,
5,,10,,,,,ヤマニンジェンナ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,サマースプラッシュ,,牝,3,6,4,19,中山,T,1600,良,10,10,１勝ｸﾗｽ*,37.5,後方,5,3,15,中山,D,1200,良,15,13,未勝利・牝,38.3,後方,12,12,21,中山,D,1200,重,12,11,新馬,38.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,カスターニエ,,牝,3,7,4,11,中山,D,1800,重,10,12,未勝利・牝,41.6,中団,2,3,29,中山,D,1800,稍,7,10,未勝利,41.6,後方,3,3,8,中山,D,1800,稍,7,10,未勝利,41.5,中団,5,2,1,東京,D,1600,良,9,12,未勝利・牝,38.4,後方,5,12,27,中山,D,1200,稍,16,11,未勝利*,41.4,後方,4
7,,13,,,,,ミツカネルナ,,牝,3,17,1,31,東京,D,1400,良,6,11,新馬,37.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,バーヴァンシー,,牝,3,3,5,10,東京,D,1600,良,2,5,未勝利・牝,36.9,追込,2,4,26,東京,D,1400,稍,7,12,未勝利・牝,37.6,中団,15,1,12,中山,D,1800,良,10,10,未勝利・牝,39.7,後方,連,1,4,中山,D,1200,稍,6,11,未勝利・牝,38.5,後方,5,11,29,東京,T,1400,良,9,11,未勝利*,34.1,後方,13
8,,15,,,,,フレアリングベリー,,牝,3,3,5,10,東京,T,1600,良,8,4,未勝利,34.3,中団,25,11,15,東京,T,1600,良,6,4,未勝利*,33.8,後方,7,9,27,中山,T,1600,良,3,3,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ユーゲットミー,,牝,3,3,5,10,東京,D,1600,良,3,2,未勝利・牝,38.1,先行,2,4,26,福島,T,1800,良,9,9,未勝利,35.1,中団,22,11,23,東京,T,1800,良,15,12,未勝利・牝*,35.7,先行,連,11,15,福島,T,2000,良,9,12,未勝利*,36.1,中団,10,9,7,中山,T,2000,良,4,5,未勝利*,34.2,差し,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053105021202,2026.5.31,日,東京,2東C,2,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,10:10,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ユニバーサルラヴ,,牝,3,9,3,29,中山,D,1200,稍,8,4,未勝利,38.9,中団,13,12,27,中山,D,1200,稍,4,4,新馬,38.7,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
