レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060705030201,2026.6.7,日,東京,3東2,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,カゼノオモイデ,,牝,3,8,4,11,福島,T,1200,良,14,14,未勝利,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ハクサンミレイ,,牝,3,3,5,16,東京,D,1400,良,5,12,未勝利・牝,38.3,先行,3,4,26,東京,D,1400,稍,9,7,未勝利・牝,37.5,後方,6,3,15,中京,D,1400,良,8,12,未勝利,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,キタノローズ,,牝,3,2,5,24,東京,D,1400,稍,5,10,未勝利・牝,38.2,先行,6,4,11,中山,D,1800,重,11,7,未勝利・牝,42.2,先行,3,3,22,阪神,D,1200,良,7,9,未勝利,37.3,中団,3,2,28,中山,D,1200,重,9,11,未勝利,37.5,中団,5,1,25,中山,D,1200,良,7,16,未勝利,39.5,中団,4
2,,4,,,,,ユキノサイエンス,,牝,3,14,2,28,中山,D,1200,重,6,10,未勝利,36.9,中団,7,1,11,中山,D,1200,良,8,7,未勝利,38.3,中団,9,11,9,福島,T,1200,良,6,8,未勝利*,35.4,中団,8,9,14,中山,T,1200,良,7,5,未勝利*,34.9,先行,8,7,19,福島,T,1200,良,3,12,新馬,36.8,差し,初
3,,5,,,,,カーボフリオ,,牝,3,3,5,16,東京,D,1400,良,2,4,未勝利・牝,36.6,追込,3,4,26,東京,D,1400,稍,4,8,未勝利・牝,37.0,差し,3,4,4,中山,D,1200,稍,8,8,未勝利,38.9,先行,7,2,14,京都,D,1200,稍,6,8,未勝利,38.1,先行,2,1,31,京都,D,1200,良,11,8,未勝利・牝,37.7,中団,8
3,,6,,,,,ダイユウレゾナンス,,牝,3,4,5,10,東京,D,1400,良,11,15,未勝利,37.9,後方,3,4,19,中山,D,1200,良,13,15,未勝利,37.4,後方,3,3,28,中山,T,1600,稍,15,15,未勝利,36.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,エリースノー,,牝,3,2,5,24,東京,D,1400,稍,3,9,未勝利・牝,37.7,差し,5,4,18,福島,D,1150,良,7,11,未勝利,36.9,後方,8,2,21,小倉,T,1200,良,11,14,未勝利・牝,35.4,先行,15,11,8,福島,T,1200,良,8,14,新馬,35.9,中団,初,,,,,,,,,,,,
4,,8,,,,,ビリキナータ,,牝,3,3,5,17,東京,D,1600,良,12,2,未勝利・牝,40.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,,,,,ルクリーシア,,牝,3,6,4,23,浦和,D,1400,稍,2,3,ツイン,----,逃げ,9,2,21,東京,D,1400,良,11,5,未勝利・牝,38.9,中団,13,11,23,東京,T,1600,良,12,9,未勝利*,34.9,後方,8,9,27,中山,T,1600,良,7,12,新馬,35.5,先行,初,,,,,,,,,,,,
5,,10,,,,,アジーザム,,牝,3,11,3,21,中山,D,1200,良,8,10,未勝利・牝,39.2,中団,8,1,25,小倉,T,1200,良,15,12,未勝利,34.7,後方,12,11,2,京都,T,1600,良,7,9,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
