レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010401,2026.6.21,日,函館,1函4,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ソルトアイリス,,牝,3,10,4,12,阪神,T,1600,良,4,2,未勝利,34.9,差し,3,3,21,阪神,T,1600,良,5,4,未勝利,34.1,中団,10,1,12,京都,T,1600,良,2,3,新馬,34.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,キミノナハオリョウ,,牝,3,17,2,22,小倉,T,1200,良,7,11,未勝利,35.2,中団,9,12,20,阪神,T,1600,良,13,9,未勝利*,34.6,後方,5,11,15,京都,T,1600,良,7,7,新馬・牝,34.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,バレンタインビスタ,,牝,3,14,3,15,中京,T,1400,良,7,1,未勝利,35.6,先行,3,2,22,小倉,T,1200,良,2,4,未勝利,35.2,先行,9,12,21,中山,T,1600,重,3,9,未勝利*,37.1,逃げ,9,10,18,東京,D,1400,良,6,4,未勝利・牝*,36.9,後方,3,9,27,中山,D,1800,良,5,4,新馬,39.5,ﾏｸﾘ,初
2,B,4,,,,,スワトウ,,牝,3,10,4,11,福島,T,1800,良,7,6,未勝利・牝,35.9,中団,18,12,6,阪神,T,1600,良,11,9,未勝利・牝*,34.5,中団,15,8,23,中京,T,1400,良,5,7,未勝利・牝*,33.6,後方,2,8,9,中京,T,1400,良,7,5,新馬,34.5,中団,初,,,,,,,,,,,,
3,,5,,,,,エビスディアーナ,,牝,3,9,4,18,中山,D,1200,良,13,11,未勝利・牝,38.2,後方,12,1,24,中山,D,1200,良,9,3,新馬,39.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,クリーンブーケ,,牝,3,19,2,10,京都,D,1200,良,9,9,未勝利,38.7,中団,2,1,24,京都,T,1400,良,8,14,未勝利,35.0,後方,5,12,20,阪神,T,1600,良,12,18,新馬・牝,33.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ルージュフローラ,,牝,3,12,3,29,中京,T,1200,良,5,6,未勝利,34.0,中団,10,1,18,中山,T,1600,良,15,11,未勝利・牝,36.7,中団,3,12,27,中山,T,1600,良,4,3,新馬,35.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ファインコンダクト,,牝,3,17,2,21,東京,T,1600,良,12,8,未勝利,36.3,先行,19,10,13,東京,T,1400,良,2,3,未勝利*,34.0,差し,5,9,6,札幌,T,1500,良,5,5,新馬,36.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,エコロアビス,,牝,3,10,4,11,福島,D,1150,良,7,4,未勝利,38.3,先行,9,2,8,小倉,T,1200,良,10,4,未勝利・牝,35.9,先行,2,1,25,小倉,T,1200,良,3,4,未勝利,34.5,先行,10,11,15,福島,T,1200,良,6,9,未勝利*,34.8,中団,3,10,26,新潟,T,1600,稍,4,9,新馬,34.5,差し,初
5,,10,,,,,スプリングドリーム,,牝,3,9,4,19,福島,D,1150,良,9,2,未勝利,39.2,逃げ,4,3,21,中山,D,1200,良,3,1,未勝利・牝,39.3,逃げ,11,1,5,中山,T,1600,良,14,4,新馬,37.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
