レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080901010601,2026.8.9,日,札幌,1札6,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ベイビーブラザー,,牡,2,4,7,11,函館,D,1000,稍,5,5,未勝利*,35.9,中団,3,6,20,函館,D,1000,良,6,8,新馬,37.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,マーズエクレール,,牡,2,7,6,20,東京,T,1600,稍,8,3,新馬,35.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,シンゼンノト,,牡,2,2,7,26,札幌,D,1000,良,3,6,未勝利*,36.6,先行,2,7,11,函館,T,1200,稍,7,7,新馬,35.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,エコロヴァルド,,牡,2,3,7,19,函館,T,1800,重,13,9,新馬,40.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,シャムスクッカ,,牡,2,3,7,19,函館,T,1800,重,9,12,新馬,38.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,6,,,,,イチゴワタアメ,,牝,2,5,7,4,函館,T,1200,良,8,5,未勝利・牝*,35.2,後方,2,6,20,函館,D,1000,良,7,5,新馬,37.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,カナデ,,牝,2,2,7,25,札幌,D,1700,良,4,5,新馬,42.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,,,,,ヴァイタリズム,,牝,2,5,7,4,函館,D,1000,良,3,2,新馬,37.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,ハイビスカス,,牝,2,3,7,18,函館,T,1800,良,6,6,未勝利*,36.0,中団,5,6,13,東京,T,1600,良,5,6,新馬・牝,35.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,,,,,テムファイア,,牡,2,8,6,14,東京,D,1400,稍,7,10,新馬,37.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
