レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090601020601,2026.9.6,日,札幌,2札6,1,,未勝利,ダート,1700,,4,稍(暫定),晴(暫定),14,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ルージュエピック,,牝,3,連,8,29,札幌,D,1700,稍,6,10,１勝ｸﾗｽ,38.2,中団,3,8,8,札幌,D,1700,良,7,7,未勝利・牝,39.3,中団,7,6,20,阪神,D,1800,稍,9,8,未勝利・牝,40.8,中団,3,5,31,京都,D,1800,良,7,4,未勝利・牝,38.9,中団,2,5,17,京都,D,1800,良,3,2,未勝利・牝,38.0,差し,6
2,B,2,,,,,テンレッドサン,,牝,3,連,8,30,札幌,D,1700,稍,2,6,未勝利・牝,38.5,差し,2,8,16,札幌,D,1700,良,4,3,未勝利・牝,38.9,先行,7,6,28,函館,D,1700,稍,3,1,未勝利,37.9,先行,2,6,13,函館,D,1700,稍,3,1,未勝利・牝,38.3,差し,15,2,28,小倉,D,1700,不,2,6,未勝利・牝,37.2,先行,14
3,,3,,,,,エリカビアリッツ,,牝,3,連,8,30,札幌,D,1700,稍,3,2,未勝利・牝,38.2,差し,9,6,27,函館,D,1700,重,4,2,未勝利・牝,37.1,先行,4,5,31,東京,D,1600,良,2,1,未勝利・牝,37.8,先行,5,4,25,東京,D,1600,稍,2,1,未勝利・牝,38.5,差し,34,8,30,札幌,T,1500,稍,2,1,未勝利・牝*,36.2,先行,3
4,,4,,,,,ルージュリヴィエラ,,牝,3,連,8,30,札幌,D,1700,稍,4,6,１勝ｸﾗｽ・牝,38.3,先行,2,8,16,札幌,D,1700,良,7,1,未勝利・牝,38.8,中団,4,7,19,函館,D,1700,不,2,4,未勝利,38.2,先行,2,7,4,函館,D,1700,良,2,8,未勝利・牝,38.3,先行,6,5,24,東京,D,1400,稍,8,8,未勝利・牝,37.6,中団,4
4,,5,,,,,サンセリテ,,牝,3,連,8,30,札幌,D,1700,稍,4,9,未勝利・牝,38.0,差し,5,7,25,札幌,T,1500,良,6,6,未勝利・牝,34.8,中団,11,5,10,東京,T,1600,良,10,3,未勝利,34.2,中団,16,1,18,中山,T,1600,良,9,2,未勝利・牝,35.4,中団,12,10,25,東京,T,1600,良,6,1,未勝利・牝*,36.0,先行,6
5,B,6,,,,,ウォータースパウト,,牝,3,連,8,30,札幌,D,1700,稍,5,4,未勝利・牝,38.8,中団,2,8,16,札幌,D,1700,良,2,5,未勝利・牝,38.2,先行,5,7,11,函館,D,1700,重,止,3,未勝利・牝,----,,連,7,4,函館,D,1700,良,3,4,未勝利・牝,38.5,先行,2,6,20,函館,D,1700,良,3,6,未勝利・牝,38.8,先行,7
5,B,7,,,,,ワンダーアスク,,牝,3,連,8,29,札幌,D,1700,稍,4,6,未勝利,38.7,差し,4,8,2,札幌,D,1700,良,5,5,未勝利・牝,40.3,先行,3,7,11,函館,D,1700,重,7,5,未勝利・牝,38.3,先行,2,6,27,函館,D,1700,重,3,10,未勝利・牝,37.0,差し,2,6,13,函館,D,1700,稍,9,5,未勝利・牝,40.0,先行,10
6,,8,,,,,クリコイーコ,,牝,3,連,8,30,札幌,D,1700,稍,2,11,未勝利,39.2,先行,3,8,8,札幌,T,1200,稍,11,15,未勝利,35.4,中団,2,7,25,札幌,D,1000,良,5,5,未勝利,36.2,中団,2,7,12,函館,D,1000,不,7,8,未勝利,35.4,中団,6,5,31,京都,D,1200,良,7,9,未勝利,36.8,中団,5
6,,9,,,,,シンデレラカラー,,牝,3,連,8,29,札幌,T,1500,稍,8,14,未勝利,38.3,中団,10,6,20,函館,T,1800,良,9,16,未勝利・牝,36.0,後方,7,5,3,東京,D,1600,稍,10,9,未勝利・牝,38.6,中団,3,4,11,中山,D,1800,重,9,9,未勝利,40.6,中団,4,3,14,中京,D,1800,良,8,6,未勝利・牝,41.6,先行,14
7,,10,,,,,セラサイト,,牝,3,2,8,23,札幌,D,1700,良,2,7,未勝利,39.2,逃げ,2,8,8,札幌,D,1700,良,5,6,未勝利・牝,39.2,中団,2,7,26,札幌,D,1700,良,4,2,未勝利,37.8,先行,2,7,12,函館,D,1700,不,3,9,未勝利,38.2,先行,2,6,27,函館,D,1000,不,10,7,未勝利・牝,35.5,後方,2
