レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040401,2026.9.13,日,中山,4中4,1,,未勝利,障害(直線ダ),2880,,,重(暫定),曇(暫定),14,10:00,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヴィーデ,,セ,4,5,8,9,中京,S,3000,良,13,11,障害未勝利,13.8,後方,4,7,11,福島,D,1700,良,8,15,１勝ｸﾗｽ,39.0,逃げ,10,5,2,新潟,D,1800,重,15,12,１勝ｸﾗｽ,44.2,後方,19,12,20,中京,T,2000,稍,16,16,ヤングジ･1勝,37.0,中団,2,12,7,中山,D,1800,良,14,14,１勝ｸﾗｽ,39.3,先行,18
2,,2,,,,,シークレットキー,,牡,5,3,8,23,中京,S,3000,良,2,5,障害未勝利,13.3,先行,7,7,4,小倉,S,2860,重,8,8,障害未勝利,13.9,後方,9,5,2,新潟,S,2890,重,9,6,障害未勝利,13.6,中団,12,2,7,小倉,S,2860,稍,6,9,障害未勝利,13.9,中団,7,12,21,阪神,D,1400,重,15,14,御影Ｓ･3勝,36.9,後方,8
3,,3,,,,,スノーリン,,セ,4,2,8,30,新潟,S,2850,良,11,12,障害未勝利,13.4,後方,7,7,12,福島,S,2770,稍,10,14,障害未勝利,13.5,後方,7,5,24,新潟,S,2890,稍,8,13,障害未勝利,13.6,後方,4,4,26,京都,S,2910,良,11,14,障害未勝利,14.4,後方,6,3,15,阪神,S,2970,良,13,14,障害未勝利,14.3,後方,34
4,,4,,,,,モナコブル,,牡,5,6,8,1,中京,S,3000,良,4,8,障害未勝利,13.3,先行,8,6,6,東京,S,3000,良,10,9,障害未勝利,13.8,中団,18,1,31,東京,D,1400,良,10,15,２勝ｸﾗｽ,36.4,中団,11,11,16,東京,D,1400,良,9,13,２勝ｸﾗｽ,36.0,後方,6,10,4,東京,D,1400,良,9,11,２勝ｸﾗｽ,36.9,中団,14
5,,5,,,,,セイウンビッグバン,,牡,4,4,8,16,新潟,S,2850,良,6,5,障害未勝利,13.0,先行,3,7,26,新潟,S,2850,不,3,8,障害未勝利,13.2,先行,9,5,23,新潟,S,2890,稍,8,12,障害未勝利,13.4,中団,7,4,5,中山,D,1200,重,13,10,１勝ｸﾗｽ,37.9,中団,12,1,10,中山,D,1200,良,7,14,１勝ｸﾗｽ,37.2,後方,4
6,,6,,,,,プレミアブルー,,牡,4,4,8,16,新潟,S,2850,良,3,9,障害未勝利,13.0,差し,8,6,21,東京,S,3000,稍,7,8,障害未勝利,13.9,中団,4,5,23,新潟,S,2890,稍,5,9,障害未勝利,13.3,中団,11,3,8,中山,S,2880,良,10,10,障害未勝利,14.0,中団,7,1,18,中山,S,2880,良,11,13,障害未勝利,13.7,後方,21
7,,7,,,,,グロリアラウス,,セ,5,4,8,16,新潟,D,1200,良,11,8,ＮＳＴ賞Ｈ,37.8,先行,9,6,14,東京,T,1400,良,10,3,パラダＨ(L),34.7,先行,5,5,10,新潟,T,1400,良,4,5,谷川岳Ｓ(L),35.5,先行,11,2,21,阪神,T,1400,良,12,10,阪急杯G3,35.2,中団,8,12,27,阪神,T,1400,良,12,9,阪神カッG2,36.1,先行,4
7,,8,,,,,サラフィエル,,セ,7,9,7,12,福島,S,2770,稍,4,6,障害未勝利,13.4,先行,16,3,22,中山,S,2880,良,6,7,障害未勝利,13.5,逃げ,9,1,17,中山,S,2880,良,4,3,障害未勝利,13.7,先行,3,12,28,阪神,S,2970,良,4,2,障害未勝利,13.9,逃げ,7,11,9,福島,S,2750,良,5,1,障害未勝利,13.5,先行,11
8,,9,,,,,ストラクチャー,,セ,5,10,7,5,小倉,S,2860,重,6,7,障害未勝利,13.6,中団,12,4,12,中山,S,2880,良,6,9,障害未勝利,13.8,中団,6,3,1,小倉,S,2860,良,5,5,障害未勝利,13.8,中団,3,2,7,小倉,S,2860,稍,3,8,障害未勝利,13.9,先行,8,12,14,中山,S,2880,稍,7,8,障害未勝利,14.0,中団,9
8,,10,,,,,ゴールデンルーキー,,牡,5,10,7,4,小倉,S,2860,重,2,4,障害未勝利,13.7,先行,4,6,7,阪神,S,2970,良,4,5,障害未勝利,13.8,差し,10,3,29,阪神,S,2970,良,7,3,障害未勝利,14.3,中団,6,2,14,小倉,S,2860,良,8,5,障害未勝利,14.0,中団,10,12,7,中山,S,2880,良,8,3,障害未勝利,14.1,後方,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040402,2026.9.13,日,中山,4中4,2,,未勝利,芝,2000,B,4,重(暫定),曇(暫定),18,10:35,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ライヴテキーラ,,牝,2,2,8,30,新潟,T,1800,良,5,9,新馬,36.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,マイネルリシャール,,牡,2,6,8,2,新潟,T,1600,良,6,5,新馬,35.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,テキサス,,牡,2,2,8,30,新潟,T,1800,良,3,3,新馬,33.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,サンタンヌ,,牝,2,8,7,19,福島,T,2000,良,5,5,新馬,35.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,サーギュスターヴ,,牡,2,3,8,22,札幌,D,1700,良,7,6,未勝利*,41.4,中団,3,8,2,札幌,T,1800,良,5,9,新馬,35.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ギガントシュラーク,,牡,2,2,8,30,新潟,D,1800,良,7,13,新馬,41.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ウィナーズチェック,,牝,2,8,7,18,福島,T,1800,良,2,4,未勝利*,36.3,差し,3,6,28,福島,T,1800,良,5,9,新馬,35.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,シュートザワークス,,牡,2,4,8,15,新潟,T,1800,良,2,4,未勝利*,33.4,追込,8,6,21,東京,T,1400,稍,3,3,新馬,33.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,マイネルウルカヌス,,牡,2,2,8,30,新潟,T,1800,良,9,8,新馬,35.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,アルバスタキヤ,,牡,2,3,8,23,新潟,T,2000,良,8,10,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040403,2026.9.13,日,中山,4中4,3,,未勝利,ダート,1200,,2,重(暫定),曇(暫定),16,11:05,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ブレイヴアーサー,,牡,2,6,8,1,新潟,T,1000,良,8,6,未勝利*,34.0,中団,6,6,21,函館,T,1200,良,10,4,新馬,37.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,キンバリー,,牡,2,5,8,9,新潟,T,1200,良,7,7,新馬,35.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
