日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260329,中山,12,8,10,トーセントラム,1,202603290603021210,1200,250,860,1810,4610,5840,35510
260329,中山,12,7,9,ビービーエフォート,2,202603290603021209,(3.6),150,860,1810,4610,5840,35510
260329,中山,12,5,5,カリーシ,3,202603290603021205,(16.9),310,,,,5840,35510
260329,中山,12,2,2,バンブルビー,4,202603290603021202,(5.8),,,,,,
260329,中山,12,6,7,マリノトニトゥルス,5,202603290603021207,(3.4),,,,,,
260329,中山,12,3,3,ヴェナートル,6,202603290603021203,(8.9),,,,,,
260329,中山,12,7,8,タイキエクセロン,7,202603290603021208,(59.2),,,,,,
260329,中山,12,4,4,ジャガード,8,202603290603021204,(143.1),,,,,,
260329,中山,12,6,6,ヴィヴァクラウン,9,202603290603021206,(6.8),,,,,,
260329,中山,12,8,11,ルクスレゼルヴァ,10,202603290603021211,(12.8),,,,,,
260329,中山,12,1,1,クインズスピカ,11,202603290603021201,(64.5),,,,,,
260329,中山,11,8,15,サンデーファンデー,1,202603290603021115,1280,430,4840,6360,13770,17960,117600
260329,中山,11,4,7,アクションプラン,2,202603290603021107,(9.6),280,4840,6360,13770,17960,117600
260329,中山,11,2,4,ブレイクフォース,3,202603290603021104,(12.7),390,,,,17960,117600
260329,中山,11,3,6,ヴァルツァーシャル,4,202603290603021106,(4.9),,,,,,
260329,中山,11,7,13,ミッキーヌチバナ,5,202603290603021113,(14.2),,,,,,
260329,中山,11,7,14,チュウワクリスエス,6,202603290603021114,(7.3),,,,,,
260329,中山,11,5,9,オメガギネス,7,202603290603021109,(4.9),,,,,,
260329,中山,11,6,11,ペイシャエス,8,202603290603021111,(8.3),,,,,,
260329,中山,11,5,10,バスタードサフラン,9,202603290603021110,(65.1),,,,,,
260329,中山,11,2,3,ショウナンライシン,10,202603290603021103,(109.0),,,,,,
260329,中山,11,6,12,ハナウマビーチ,11,202603290603021112,(30.9),,,,,,
260329,中山,11,1,2,マテンロウスカイ,12,202603290603021102,(13.8),,,,,,
260329,中山,11,8,16,コレペティトール,13,202603290603021116,(106.6),,,,,,
260329,中山,11,4,8,ピュアキアン,14,202603290603021108,(42.5),,,,,,
260329,中山,11,3,5,レヴォントゥレット,15,202603290603021105,(10.1),,,,,,
260329,中山,11,1,1,ハピ,0,202603290603021101,,,,,,,
260329,中山,10,6,10,サウンドモリアーナ,1,202603290603021010,1180,290,2620,3440,6970,4010,31000
260329,中山,10,4,6,カンシン,2,202603290603021006,(4.8),180,2620,3440,6970,4010,31000
260329,中山,10,8,15,トーセンエスクード,3,202603290603021015,(4.7),160,,,,4010,31000
260329,中山,10,7,12,ヴェサリウス,4,202603290603021012,(8.4),,,,,,
260329,中山,10,3,4,スティールブルー,5,202603290603021004,(39.4),,,,,,
260329,中山,10,6,11,ロードトレイル,6,202603290603021011,(82.6),,,,,,
260329,中山,10,4,7,パクスロマーナ,7,202603290603021007,(22.3),,,,,,
260329,中山,10,5,8,タイセイレスポンス,8,202603290603021008,(26.2),,,,,,
260329,中山,10,2,3,アンビバレント,9,202603290603021003,(6.4),,,,,,
260329,中山,10,8,14,ブランデーロック,10,202603290603021014,(39.1),,,,,,
260329,中山,10,7,13,サトミノキラリ,11,202603290603021013,(10.2),,,,,,
260329,中山,10,5,9,コスモアディラート,12,202603290603021009,(34.5),,,,,,
260329,中山,10,3,5,アームテイル,13,202603290603021005,(78.2),,,,,,
260329,中山,10,1,1,ウインスノーライト,14,202603290603021001,(128.0),,,,,,
260329,中山,10,2,2,ポッドロワール,15,202603290603021002,(5.4),,,,,,
260329,中山,9,3,3,ベンヴェヌータ,1,202603290603020903,590,270,,830,1770,510,4580
260329,中山,9,2,2,ドナルンバ,2,202603290603020902,(2.7),160,,830,1770,510,4580
260329,中山,9,5,5,ランザワールド,3,202603290603020905,(2.7),,,,,510,4580
260329,中山,9,1,1,ガーヴィ,4,202603290603020901,(31.1),,,,,,
260329,中山,9,4,4,ユメシルベ,5,202603290603020904,(12.5),,,,,,
260329,中山,9,7,7,セットエトワール,6,202603290603020907,(6.2),,,,,,
260329,中山,9,6,6,ナムラダリア,7,202603290603020906,(11.3),,,,,,
260329,中山,8,3,5,ルイステソーロ,1,202603290603020805,230,140,8940,6270,8580,36980,155190
260329,中山,8,3,6,アースミューズ,2,202603290603020806,(89.2),1200,8940,6270,8580,36980,155190
260329,中山,8,4,8,ティピティーナ,3,202603290603020808,(12.0),400,,,,36980,155190
260329,中山,8,6,11,ハヌル,4,202603290603020811,(142.2),,,,,,
