年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260529,メイショウソムリエ,61.6,45.2,29.5,14.6,16.4,15.7,14.9,14.6
20260529,エラン,62.9,46.5,30.8,15.1,16.4,15.7,15.7,15.1
20260529,トロヴァトーレ,60.0,44.9,29.9,14.7,15.1,15.0,15.2,14.7
20260529,トワニ,61.8,45.7,30.2,14.7,16.1,15.5,15.5,14.7
20260529,バレンタインビスタ,61.3,45.4,29.6,14.7,15.9,15.8,14.9,14.7
20260529,サトノヴィレ,60.9,45.0,29.5,14.8,15.9,15.5,14.7,14.8
20260529,イゾラフェリーチェ,60.4,45.1,29.6,14.9,15.3,15.5,14.7,14.9
20260529,カイトヴィント,62.7,46.3,30.2,15.2,16.4,16.1,15.0,15.2
20260529,ディースプレマシー,54.7,40.0,25.7,12.8,14.7,14.3,12.9,12.8
20260529,マックスキュー,62.2,45.8,30.0,14.6,16.4,15.8,15.4,14.6
20260529,ゲンジ,62.8,46.2,30.3,15.2,16.6,15.9,15.1,15.2
20260529,ピカピカサンダー,61.5,45.2,29.8,14.9,16.3,15.4,14.9,14.9
20260529,ニシノイストワール,62.4,46.0,30.0,14.9,16.4,16.0,15.1,14.9
20260529,シンショク,65.3,48.2,31.5,15.7,17.1,16.7,15.8,15.7
20260529,ケナゲ,63.6,46.9,31.4,15.7,16.7,15.5,15.7,15.7
20260529,ホウオウバトラー,68.3,49.9,32.5,16.5,18.4,17.4,16.0,16.5
20260529,ロジケープ,67.7,49.5,32.1,16.2,18.2,17.4,15.9,16.2
20260529,ノリマル,67.8,49.3,31.9,16.0,18.5,17.4,15.9,16.0
20260529,コスモアルペジオ,62.3,46.0,30.0,15.0,16.3,16.0,15.0,15.0
20260529,エッチェレンテ,60.6,44.6,29.0,14.5,16.0,15.6,14.5,14.5
20260529,サノノキセキ,67.7,49.5,32.4,16.1,18.2,17.1,16.3,16.1
20260529,カペラテソーロ,54.2,39.7,25.6,12.8,14.5,14.1,12.8,12.8
20260529,キュータンチャン,63.2,47.0,31.0,15.6,16.2,16.0,15.4,15.6
20260529,フミサウンド,64.9,47.5,31.7,16.0,17.4,15.8,15.7,16.0
20260529,サンセットブライト,69.7,51.6,33.9,16.6,18.1,17.7,17.3,16.6
20260529,ヴァズレーヌ,65.3,47.5,31.6,15.5,17.8,15.9,16.1,15.5
20260529,スピニンググローブ,65.5,48.5,31.5,15.6,17.0,17.0,15.9,15.6
20260529,コスモクラシック,65.4,47.7,31.5,15.3,17.7,16.2,16.2,15.3
20260529,チャンピオンホープ,70.7,52.4,34.8,17.5,18.3,17.6,17.3,17.5
20260529,コンティ,61.5,45.1,29.6,14.9,16.4,15.5,14.7,14.9
20260529,ヴァルカンテソーロ,67.4,48.7,31.5,15.4,18.7,17.2,16.1,15.4
20260529,ゴーラッキー,65.9,47.6,30.4,14.8,18.3,17.2,15.6,14.8
20260529,ウップヘリーア,61.4,44.9,29.4,14.6,16.5,15.5,14.8,14.6
