年月日,馬名,5F,4F,3F,Lap3,Lap2,Lap1
20260327,トップマジシャン,76.4,58.8,42.3,14.9,14.0,13.4
20260327,オレデイイノカ,,57.4,41.3,14.8,13.8,12.7
20260327,アイスアンドスノー,,57.1,41.3,14.8,13.8,12.7
20260327,パープルアドミラル,69.8,53.7,38.6,13.9,12.7,12.0
20260327,グランナヴィール,70.0,53.9,38.6,13.8,12.8,12.0
20260327,エコロバロン,68.1,52.6,38.4,13.5,12.6,12.3
20260327,ベアサナエチャン,71.1,55.6,41.2,13.9,13.6,13.7
20260327,イモータリス,,71.8,52.0,18.7,17.3,16.0
20260327,タイセツナヒ,73.0,57.4,42.5,14.5,14.0,14.0
20260327,ボーンディスウェイ,,59.5,43.7,15.1,14.4,14.2
20260327,ディースプレマシー,,60.1,44.1,15.3,14.4,14.4
20260327,ライヴドライバー,,67.3,48.3,17.0,16.1,15.2
20260327,グレイスルーラー,,66.5,48.3,17.1,16.0,15.2
20260327,タツナナイロ,92.3,73.3,54.5,18.3,18.0,18.2
20260327,アイリーノリチャン,,66.4,47.6,17.0,15.7,14.9
20260327,エメラルドテソーロ,,60.5,44.2,15.5,14.5,14.2
20260327,ブレイクフォース,,69.9,50.6,18.4,16.5,15.7
20260327,コスモフレディ,,66.2,47.8,16.5,15.7,15.6
20260327,ホークライト,,70.4,51.2,18.3,17.0,15.9
20260327,バッハ,,69.8,50.7,18.3,16.8,15.6
20260327,タッチアンドムーブ,,64.5,46.5,16.4,14.9,15.2
20260327,キタノライブリー,,65.7,47.4,16.6,15.6,15.2
20260327,フォークスアップ,,68.0,50.3,16.4,16.7,17.2
20260327,グレープレモネード,,65.3,47.5,16.5,15.8,15.2
20260327,フォルナカリア,,64.0,46.1,16.1,14.9,15.1
20260327,ナンナンプー,,65.9,47.5,17.2,15.7,14.6
20260327,イセッセイ,98.1,78.0,58.0,19.8,19.0,19.2
20260327,アクティングエリア,,87.6,64.2,22.1,21.8,20.3
20260327,ファルコンミノル,,64.0,46.0,16.4,15.0,14.6
20260327,コスモラムバック,,74.7,53.9,19.4,17.4,17.1
20260327,ジャーニーメモリー,67.0,52.5,38.5,13.7,12.7,12.1
20260327,ホレーショ,,88.5,62.2,22.2,20.8,19.2
20260327,マーゴットサンズ,94.2,71.4,51.7,18.3,17.2,16.2
20260327,スリーコーズ,,68.5,49.9,17.5,16.6,15.8
20260327,ディルガーム,,67.5,49.2,17.3,16.4,15.5
20260327,エリュグレイス,,64.2,46.4,16.2,15.4,14.8
20260327,ブリッド,,64.0,46.3,16.3,15.2,14.8
20260327,ホウオウライセンス,93.1,72.4,51.9,18.7,16.8,16.4
20260327,カフェオリーブ,,55.8,40.9,14.0,13.4,13.5
20260327,シュガーシャック,,59.5,42.1,15.6,14.2,12.3
20260327,ブラウンバナナ,,76.4,56.1,19.2,18.9,18.0
20260327,アッシズオブローズ,,67.3,50.0,16.5,16.7,16.8
20260327,ウインモナーク,,75.2,54.9,19.8,18.4,16.7
20260327,サンディブロンド,70.6,54.8,40.3,13.8,13.1,13.4
20260327,アイアムアッパレ,,72.0,52.1,18.0,17.1,17.0
20260327,カウンターセブン,71.5,56.0,41.3,14.4,14.5,12.4
20260327,アルデキングダム,70.7,56.1,40.7,14.9,13.8,12.0
20260327,ウインラファーガ,68.1,53.0,38.1,13.9,12.4,11.8
20260327,ベイツリー,67.1,52.2,38.0,13.9,12.3,11.8
20260327,シゲルカミカゼ,86.0,68.1,50.3,17.1,16.6,16.6
20260327,モリノセピア,,68.5,49.4,17.7,16.4,15.3
20260327,ルシェロアズーリ,,67.1,48.6,17.6,15.9,15.1
20260327,ゴーフォアブローク,,71.9,52.3,18.9,17.2,16.2
20260327,マイネルアイフェル,68.5,54.0,39.8,13.9,13.2,12.7
20260327,ノーブルウェザー,,68.0,49.1,17.7,16.2,15.2
20260327,ハッピースーニャ,,67.4,48.7,17.6,16.0,15.1
20260327,ターコイズフリンジ,139.7,109.9,79.7,28.7,26.1,24.9
20260327,テンカムテキ,,75.3,55.8,18.9,18.5,18.4
20260327,モロノカガヤキ,,70.6,52.6,17.7,17.6,17.3
20260327,ターコイズフリンジ,116.9,90.1,64.0,23.8,21.1,19.1
20260327,ベアアッコチャン,96.5,74.0,53.8,19.0,17.7,17.1
20260327,ゴンファロニエーレ,76.4,59.6,43.2,15.3,14.4,13.5
20260327,ジャンビ,,69.7,50.9,17.5,16.8,16.6
20260327,リッキースタイル,,64.8,47.0,17.1,15.5,14.4
20260327,リクエイ,69.5,53.4,38.5,13.9,12.5,12.1
20260327,イサチルニャーニャ,70.1,53.7,39.1,13.9,12.8,12.4
20260327,デアリングエア,73.9,58.3,42.5,14.7,14.4,13.4
20260327,トラスティア,74.1,58.0,42.5,14.8,14.3,13.4
20260327,ロジルーラー,94.7,75.4,55.8,19.2,18.9,17.7
20260327,ミスタートントン,,91.6,62.2,23.4,20.3,18.5
20260327,ボーモンド,65.4,50.4,36.7,13.0,11.9,11.8
20260327,インパクトシー,,60.0,44.0,15.1,15.0,13.9
20260327,サンプレクス,,65.5,47.9,16.3,15.7,15.9
20260327,エイムフォーエース,68.2,52.3,37.9,13.3,12.6,12.0
20260327,ベルウッドピース,,68.8,50.2,17.3,16.6,16.3
20260327,ヴァンデスペランス,,69.5,51.3,17.7,17.0,16.6
