レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,重,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,アイムインディ,,牝,3,,武豊,55,,4.1,448,  0,0,0,1,0,0.0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.0,,(未)
1,,2,,,,,メビウスロマンス,,牝,3,,戸崎圭太,55,,2.9,454,- 6,0,2,0,1,66.7,0,1,0,1,50.0,0,2,0,1,66.7,,,,,,,,,,,,,,,,0,1,0,1,50.0,,(未)
2,,3,,,,,マーゴットオーメン,,牝,3,,菊沢一樹,55,,69.6,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
2,,4,,,,,テンハートビート,,牝,3,*,丹内祐次,55,,21.9,446,- 4,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
3,,5,,,,,ブルーノザビーチ,,牝,3,,小林凌大,55,,210.0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
3,,6,,,,,ロマンスドール,,牝,3,,水沼元輝,52,▲,386.7,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
4,,7,,,,,マオノサルート,,牝,3,,原優介,55,,190.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
4,,8,,,,,ララムーティエ,,牝,3,,小林脩斗,55,,397.5,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
5,,9,,,,,ティアップシャイン,,牝,3,,佐藤翔馬,52,▲,18.5,454,-12,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
5,,10,,,,,マリノステアハート,,牝,3,,木幡巧也,55,,39.4,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
6,,11,,,,,ジャメビュ,,牝,3,,遠藤汰月,52,▲,9.0,430,- 2,0,0,1,6,0.0,0,0,1,4,0.0,0,0,1,4,0.0,0,0,1,3,0.0,0,0,1,3,0.0,0,0,1,3,0.0,0,0,1,4,0.0,,1.12.1
6,,12,,,,,ロジザボード,,牝,3,,岩田康誠,55,,97.9,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
7,,13,,,,,ニシノギャルズ,,牝,3,,武藤雅,55,,78.1,470,+ 6,0,0,0,2,0.0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
7,,14,,,,,ウインディナナコ,,牝,3,,石橋脩,55,,100.6,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
8,,15,,,,,アリアーネ,,牝,3,,菅原隆一,55,,441.4,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
8,,16,,,,,トモジャオーリー,,牝,3,,津村明秀,55,,2.6,438,  0,0,1,0,1,50.0,0,1,0,1,50.0,0,1,0,1,50.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,1.13.5
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020302,2026.3.7,土,中山,2中3,2,,未勝利,ダート,1800,,4,重,晴,16,10:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1800m:1着,ダート1800m:2着,ダート1800m:3着,ダート1800m:外,ダート1800m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,B,1,,,,,ジオストラテジー,,牡,3,*,木幡巧也,57,,6.9,508,  0,0,0,0,3,0.0,,,,,,0,0,0,3,0.0,0,0,0,3,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,,1.56.6
2,,2,,,,,ロジクリスエス,,牡,3,*,石田拓郎,54,▲,取消し,492,- 4,0,1,0,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0.0,,(未)
