レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020401,2026.3.8,日,中山,2中4,1,,未勝利,ダート,1800,,4,稍,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1800m:1着,ダート1800m:2着,ダート1800m:3着,ダート1800m:外,ダート1800m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,カリドーラ,,牝,3,,三浦皇成,55,,9.5,492,- 8,0,0,0,4,0.0,0,0,0,3,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.0,,(未)
1,,2,,,,,クイーンアン,,牝,3,*,佐々木大,55,,4.7,462,- 4,0,0,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
2,,3,,,,,スタートオブシー,,牝,3,,石田拓郎,52,▲,313.8,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
2,,4,,,,,サーロー,,牝,3,*,菊沢一樹,55,,43.7,486,+ 2,0,0,0,2,0.0,,,,,,0,0,0,2,0.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
3,,5,,,,,マコトアタキギリ,,牝,3,,横山和生,55,,138.4,436,-12,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
3,,6,,,,,ペカリーナ,,牝,3,,木幡初也,55,,19.3,460,- 2,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,1.59.4
4,,7,,,,,アンジュレーヌ,,牝,3,,野中悠太,55,,8.9,464,- 2,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,,,,,,,1.59.1
4,,8,,,,,スターキャンディ,,牝,3,,小林脩斗,55,,231.4,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
5,B,9,,,,,パルミエ,,牝,3,,丸山元気,55,,10.3,456,  0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,1.58.0
5,,10,,,,,リベルタアーラ,,牝,3,,石神深道,52,▲,142.5,414,+ 6,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
6,B,11,,,,,ルミテュット,,牝,3,*,岩田康誠,55,,3.5,500,  0,0,0,2,1,0.0,,,,,,0,0,2,1,0.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,2,0,0.0,,1.57.7
6,,12,,,,,ペタルズダンス,,牝,3,*,矢野貴之,55,,25.8,450,- 2,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
7,,13,,,,,トランセンコ,,牝,3,*,木幡育也,55,,327.4,450,+ 2,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
7,,14,,,,,キタノエピックアン,,牝,3,,上里直汰,52,▲,4.6,452,  0,0,1,1,1,33.3,0,1,1,0,50.0,0,1,1,1,33.3,0,1,0,1,50.0,0,1,0,1,50.0,0,1,0,1,50.0,0,1,1,0,50.0,,1.58.6
8,,15,,,,,セニング,,牝,3,*,田辺裕信,55,,33.0,456,+ 8,0,0,0,4,0.0,,,,,,0,0,0,2,0.0,,,,,,,,,,,,,,,,0,0,0,3,0.0,,(未)
8,,16,,,,,ステイグローリアス,,牝,3,,松岡正海,55,,17.5,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020402,2026.3.8,日,中山,2中4,2,,未勝利,ダート,1200,,2,稍,晴,16,10:35,,馬齢,３歳
