レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010501,2026.2.14,土,東京,1東5,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ツクバヴァンガード,牡,3,480,+ 2,+ 2,6,14.9, ,111,3,57,,*,横山武史,(美),奥平雅士,リーチザクラウン,キャプテンスティーヴ,ロイヤルチャージャー系,その他のエクリプス系,1,18,1中7,16,未勝利,ダ,1200,良,,内田,57.0,,4,5.7,4,0.6,10,,,1,2,33.50,40.2,10,マーガレットクレア
1,,2,ライカ,牡,3,442,  0,0,7,18.7, ,106,6,57,,,大野拓弥,(美),杉浦宏昭,サンダースノー,ネオユニヴァース,,ロイヤルチャージャー系,1,31,1東1,5,未勝利,ダ,1600,良,,大野,57.0,,7,26.0,4,1.2,13,,,7,7,37.26,37.6,4,タイキブリッツェン
2,,3,ビップブレット,牡,3,494,+ 2,+ 2,16,570.8, , 84,15,57,,*,木幡巧也,(美),田島俊明,アルアイン,クロフネ,,ニアークティック系,12,7,5中2,初,新馬,ダ,1800,良,,内田,56.0,,12,176.9,13,6.4,9,8,9,9,12,39.40,43.3,12,ユアフェリシティ
2,,4,フォーエバーラブ,牡,3,456,- 2,- 2,10,100.5, , 87,13,54,▲,*,上里直汰,(美),金成貴史,ミスターメロディ,ステイゴールド,,ロイヤルチャージャー系,12,13,5名3,11,未勝利*,芝,1600,良,,小崎,56.0,,13,345.4,8,0.9,10,,7,8,9,36.30,34.7,4,イージーライダー
3,,5,エクスプレスナイト,牡,3,470,  0,0,11,102.3, ,100,10,57,,,原優介,(美),青木孝文,アジアエクスプレス,ロードカナロア,,,1,25,1中9,3,未勝利,ダ,1200,良,,原優,57.0,,13,123.7,4,1.1,10,,,10,7,35.30,38.7,2,サトノエスケープ
3,,6,コウソクルリアン,牡,3,480,+ 4,+ 4,4,10.5, ,104,8,57,,*,石川裕紀,(美),武藤善則,サトノダイヤモンド,"Street Sense",,ネイティヴダンサー系,1,24,1中8,4,未勝利,ダ,1800,良,,佐々,57.0,,9,44.5,5,0.7,9,2,2,2,2,38.05,40.0,8,テイクオンミー
4,,7,ライヴマティーニ,牝,3,470,+ 6,+ 6,15,364.5, ,103,9,52,▲,*,佐藤翔馬,(美),尾形和幸,ゴールドドリーム,ルーラーシップ,,ネイティヴダンサー系,12,6,5中1,初,新馬,ダ,1200,良,,小林,52.0,▲,3,5.6,10,1.5,5,,,7,7,36.00,38.6,11,トワイライトサイト
4,,8,テンノルーキー,牡,3,436,+ 8,+ 8,13,179.0, , 91,12,57,,,三浦皇成,(美),田村康仁,ダイワメジャー,"Lizard Island",ロイヤルチャージャー系,,11,29,5東7,初,新馬,ダ,1400,良,,三浦,56.0,,10,53.1,13,3.6,2,,,9,9,37.43,39.6,14,オクトーバーナイン
5,,9,エフハリスト,牝,3,522,  0,0,8,23.8, , 98,11,55,,*,横山和生,(美),奥村武,ロードカナロア,Frankel,,ニアークティック系,12,7,5名2,初,新馬,芝,1400,良,,吉田,55.0,,7,8.5,14,1.6,13,,,14,14,36.68,34.5,9,ゴーゴーリチャード
5,,10,ゲンテン,牡,3,520,+10,+10,2,4.4, ,109,4,57,,*,岩田康誠,(美),尾関知人,シルバーステート,"Tiz Wonderful",,マンノウォー系,11,29,5東7,初,新馬,芝,1600,良,,レー,56.0,,2,2.6,6,0.6,4,,,4,3,36.90,34.4,7,ヴァロアーク
6,,11,タマモトップハット,牡,3,488,,,14,228.8, ,  0,,55,△,,長浜鴻緒,(美),水野貴広,オルフェーヴル,ダンカーク,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,12,タイセイゴッシュ,牡,3,498,+ 4,+ 4,1,2.0, ,114,2,57,,,キング,(美),池上昌和,アルアイン,ロードカナロア,,,2,1,1東2,15,未勝利,ダ,1400,良,B,キン,57.0,,5,10.6,2,0.5,3,,,6,6,36.60,37.1,1,ケブランリ
7,,13,プラネタリーアワー,牝,3,446,- 2,- 2,5,12.6, ,105,7,55,,*,北村友一,(美),加藤征弘,ドレフォン,トワイニング,,ネイティヴダンサー系,11,29,5東7,3,未勝利*,芝,1400,良,,マー,55.0,,4,6.0,8,0.9,3,,,11,12,36.08,34.5,10,アグネスクレスト
7,,14,トウカイレオ,牡,3,446,- 2,- 2,3,8.4, ,119,1,57,,,佐々木大,(美),菊川正達,モズアスコット,ヨハネスブルグ,,ニアークティック系,1,24,1中8,初,新馬,ダ,1200,良,,佐々,57.0,,2,3.4,2,0.2,3,,,1,1,36.00,38.4,4,サマーゲール
8,,15,スーホ,牡,3,494,  0,0,9,30.1, ,109,4,57,,*,荻野極,(美),上原佑紀,モーリス,キングカメハメハ,,ネイティヴダンサー系,10,12,4東4,初,新馬,ダ,1300,良,,戸崎,56.0,,2,5.0,7,0.6,3,,,4,4,37.03,38.2,9,レイオブファイア
8,,16,パンパネイラ,セ,3,452,+ 6,+ 6,12,140.7, , 85,14,57,,*,吉田豊,(美),高橋文雅,ドレフォン,ダイワメジャー,,ロイヤルチャージャー系,10,19,3京7,3,未勝利*,芝,1800,良,,岩田,56.0,,6,23.3,6,6.3,4,,,4,5,36.55,40.6,6,サーディンラン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
