レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026022806020101,2026.2.28,土,中山,2中1,1,,未勝利,ダート,1200,,2,重(暫定),曇(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アンジュブルー,牝,3,12,32.8, ,  0,,55,,*,杉原誠人,(美),稲垣幸雄,ダノンスマッシュ,マンハッタンカフェ,,ロイヤルチャージャー系,2,14,1東5,初,新馬,ダ,1400,良,,柴田,55.0,,--,,外,----,,,,,,,----,,ノースブルースカイ
1,,2,ハングローズ,牝,3,1,2.7, ,110,2,55,,,佐々木大,(美),奥村武,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,2,7,1東3,4,未勝利・牝,ダ,1400,良,,佐々,55.0,,3,6.9,2,0.7,1,,,5,5,36.98,38.1,5,チームユートピア
2,,3,ブーケドリス,牝,3,2,6.5, ,111,1,55,,*,三浦皇成,(美),宮田敬介,ロードカナロア,ゴールドアリュール,,ロイヤルチャージャー系,11,15,5東3,12,未勝利・牝*,ダ,1400,良,,マー,55.0,,2,5.1,4,1.5,7,,,5,5,36.38,38.3,4,カセノアステリア
2,,4,セントリアン,牝,3,5,9.4, ,105,3,55,,*,原田和真,(美),萱野浩二,アジアエクスプレス,オルフェーヴル,,,11,16,3福4,4,未勝利*,ダ,1150,良,,野中,55.0,,6,17.8,5,1.5,9,,,7,5,35.89,37.4,2,ドナシェーン
3,,5,シュガームーン,牝,3,16,91.8, , 83,10,52,▲,*,佐藤翔馬,(美),的場均,エポカドーロ,"Admire Moon",,,11,8,5東1,連,未勝利・牝*,ダ,1600,良,,岩部,55.0,,14,319.9,14,4.3,12,,,14,14,37.92,39.7,11,アンディラメナ
3,,6,ルプルミエラムール,牝,3,11,29.6, , 97,7,55,,*,鮫島克駿,(美),加藤征弘,ブリックスアンドモルタル,ハーツクライ,,ロイヤルチャージャー系,12,7,5中2,初,新馬,芝,1200,良,,荻野,55.0,,4,8.7,14,2.7,1,,,4,10,35.40,36.7,15,サムハラ
4,,7,ワルキューレクイン,牝,3,15,72.0, ,  0,,55,,,木幡巧也,(美),柄崎将寿,ファインニードル,マンハッタンカフェ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,グランキンバリー,牝,3,8,20.7, ,  0,,55,,,菅原明良,(美),土田稔,エスポワールシチー,エンドスウィープ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ハミングディスト,牝,3,7,18.2, , 93,9,52,▲,*,上里直汰,(美),嘉藤貴行,ミスターメロディ,ブラックタイド,,ロイヤルチャージャー系,8,10,2新6,5,未勝利*,芝,1400,稍,,菅原,55.0,,14,78.6,18,2.6,10,,,2,2,34.95,38.1,18,タイセイフレッサ
5,,10,ディーズメンフィス,牝,3,6,15.9, , 98,5,55,,*,横山和生,(美),村田一誠,Sottsass,Awtaad,,,8,23,2札1,初,新馬,芝,1500,稍,,舟山,52.0,▲,8,51.6,4,2.1,6,,7,4,3,37.20,37.2,6,グリオンヴール
6,,11,クインズヒマワリ,牝,3,14,50.3, ,  0,,52,▲,,石神深道,(美),和田正一,マジェスティックウォリアー,エスポワールシチー,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ペイトー,牝,3,10,25.7, ,  0,,55,,,木幡初也,(美),武市康男,オーヴァルエース,ストロングリターン,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,セイウンサクラサケ,牝,3,13,35.5, ,  0,,55,,,原優介,(美),青木孝文,セイウンコウセイ,タニノギムレット,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,タヤスロレンヌ,牝,3,3,7.7, ,102,4,55,,,江田照男,(美),岩戸孝樹,タワーオブロンドン,ディープブリランテ,,ロイヤルチャージャー系,2,7,1東3,2,未勝利,ダ,1300,良,,江田,55.0,,6,10.7,5,0.9,1,,,8,8,37.11,37.9,9,ジャスフォール
8,,15,カプリースカラー,牝,3,9,21.9, , 97,7,55,,*,戸崎圭太,(美),金成貴史,ホークビル,ジャングルポケット,,ナスルーラ系,2,10,2京4,4,未勝利,ダ,1200,良,,菱田,55.0,,15,289.6,4,1.1,16,,,6,5,36.50,38.3,7,スリーコーズ
8,,16,ジャメビュ,牝,3,4,8.6, , 98,5,52,▲,,遠藤汰月,(美),佐藤吉勝,ダノンレジェンド,ファスリエフ,,ニアークティック系,2,7,1東3,4,未勝利・牝,ダ,1400,良,,遠藤,52.0,▲,8,26.1,5,1.0,2,,,5,5,36.98,38.4,7,チームユートピア
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026022806020102,2026.2.28,土,中山,2中1,2,,未勝利,ダート,1800,,4,重(暫定),曇(暫定),16,10:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
