レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,,,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アイムインディ,牝,3, ,115,2,55,,,武豊,(美),蛯名正義,インディチャンプ,"Invincible Spirit",,ニアークティック系,2,14,1東5,初,未勝利,芝,1400,良,,武豊,55.0,,3,12.5,3,0.1,6,,,8,10,36.83,33.5,1,サンデースマッシュ
1,,2,メビウスロマンス,牝,3, ,127,1,55,,,戸崎圭太,(美),矢嶋大樹,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,2,21,1東7,3,未勝利・牝,ダ,1400,良,,戸崎,55.0,,1,2.9,2,0.0,1,,,5,4,36.60,37.6,5,スーパーガール
2,,3,マーゴットオーメン,牝,3, ,  0,,55,,,菊沢一樹,(美),菊沢隆徳,ゴールドドリーム,ジェニュイン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,テンハートビート,牝,3, , 91,7,55,,*,丹内祐次,(美),西田雄一,リオンディーズ,ゼンノロブロイ,,ロイヤルチャージャー系,12,6,5中1,2,未勝利*,芝,1600,良,,遠藤,52.0,▲,11,246.1,11,0.9,10,,4,2,2,36.84,34.9,14,スミッコディスコ
3,,5,ブルーノザビーチ,牝,3, ,  0,,55,,,小林凌大,(美),尾形和幸,マテラスカイ,ダンカーク,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ロマンスドール,牝,3, ,  0,,52,▲,,水沼元輝,(美),石栗龍彦,マクフィ,アグネスデジタル,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,マオノサルート,牝,3, ,  0,,55,,,原優介,(美),黒岩陽一,スマートファルコン,カジノドライヴ,ロイヤルチャージャー系,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,ララムーティエ,牝,3, ,  0,,55,,,小林脩斗,(美),青木孝文,ノーブルミッション,マーベラスサンデー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ティアップシャイン,牝,3, , 97,6,52,▲,,佐藤翔馬,(美),奥平雅士,ダノンスマッシュ,ゴールドアリュール,,ロイヤルチャージャー系,2,15,1東6,初,新馬,ダ,1600,良,,佐藤,52.0,▲,14,153.4,5,0.7,16,,,4,4,37.32,38.3,8,タイセイジェイド
5,,10,マリノステアハート,牝,3, ,  0,,55,,,木幡巧也,(美),牧光二,モーニン,シンボリクリスエス,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,ジャメビュ,牝,3, ,112,4,52,▲,,遠藤汰月,(美),佐藤吉勝,ダノンレジェンド,ファスリエフ,,ニアークティック系,2,28,2中1,3,未勝利・牝,ダ,1200,重,,遠藤,52.0,▲,5,7.4,3,0.3,3,,,9,9,35.40,36.7,1,タヤスロレンヌ
6,,12,ロジザボード,牝,3, ,  0,,55,,,岩田康誠,(美),古賀慎明,ドレフォン,ヘニーヒューズ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ニシノギャルズ,牝,3, , 99,5,55,,,武藤雅,(美),水野貴広,セイウンコウセイ,コロナドズクエスト,,ネイティヴダンサー系,11,9,5東2,14,未勝利*,芝,1400,良,,武藤,55.0,,11,76.5,14,1.3,7,,,3,4,35.25,35.8,14,シャルトル
7,,14,ウインディナナコ,牝,3, ,  0,,55,,,石橋脩,(美),勢司和浩,ミッキーアイル,タイキシャトル,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,アリアーネ,牝,3, ,  0,,55,,,菅原隆一,(美),鈴木慎太,スノードラゴン,トワイニング,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,トモジャオーリー,牝,3, ,113,3,55,,,津村明秀,(美),鈴木伸尋,モズアスコット,ブラックタイド,,ロイヤルチャージャー系,12,7,5中2,4,未勝利*,ダ,1200,良,,津村,55.0,,1,2.1,5,0.6,1,,,4,4,34.30,39.2,8,ドナソール
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020302,2026.3.7,土,中山,2中3,2,,未勝利,ダート,1800,,4,,,16,10:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ジオストラテジー,牡,3, ,103,4,57,,*,木幡巧也,(美),牧光二,デクラレーションオブウォー,ファルブラヴ,,ニアークティック系,2,15,2京6,3,未勝利,ダ,1800,良,,池添,57.0,,6,38.2,6,1.8,6,1,1,1,2,38.85,38.9,7,ガウラディスコ
2,,2,ロジクリスエス,牡,3, , 96,10,54,▲,*,石田拓郎,(美),新開幸一,ロジユニヴァース,エピファネイア,,,12,13,5中3,3,未勝利*,芝,1600,良,,戸崎,56.0,,5,11.8,15,2.5,3,,13,12,13,36.12,36.1,15,バルボアパーク
