レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020401,2026.3.8,日,中山,2中4,1,,未勝利,ダート,1800,,4,重(暫定),曇(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,カリドーラ,牝,3,4,6.9, ,106,5,55,,,三浦皇成,(美),田村康仁,ブリックスアンドモルタル,ハービンジャー,,ニアークティック系,2,22,1東8,10,未勝利,芝,1800,良,,三浦,55.0,,10,63.0,4,0.5,7,,2,2,2,36.85,34.5,9,マイネルグレート
1,,2,クイーンアン,牝,3,2,5.7, ,103,7,55,,*,佐々木大,(美),蛯名正義,キタサンブラック,"Seattle Fitz",,,1,17,1中6,4,未勝利,芝,2000,良,,長浜,53.0,△,6,9.0,14,1.2,4,2,2,2,2,36.56,36.6,17,レダアトミカ
2,,3,スタートオブシー,牝,3,14,77.9, ,  0,,52,▲,,石田拓郎,(美),和田勇介,ダノンプレミアム,Shirocco,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,サーロー,牝,3,12,50.4, ,106,5,55,,*,菊沢一樹,(美),勢司和浩,ヘンリーバローズ,エピファネイア,,,11,8,5東1,2,未勝利・牝*,ダ,1600,良,,佐々,55.0,,6,48.3,5,1.8,13,,,13,8,37.32,38.2,4,アンディラメナ
3,,5,マコトアタキギリ,牝,3,13,54.0, , 90,13,55,,,横山和生,(美),柄崎将寿,サンダースノー,ヘニーヒューズ,,,11,23,5東5,2,未勝利*,ダ,1300,良,,横山,55.0,,12,77.2,11,1.5,10,,,16,16,38.57,36.8,3,ロードストラダーレ
3,,6,ペカリーナ,牝,3,7,15.5, , 97,10,55,,,木幡初也,(美),竹内正洋,ルーラーシップ,ブラックタイド,ネイティヴダンサー系,ロイヤルチャージャー系,1,11,1中4,2,未勝利・牝,ダ,1800,良,,木幡,55.0,,10,60.0,9,2.5,10,14,14,16,14,39.50,40.4,5,ノーブルクラウド
4,,7,アンジュレーヌ,牝,3,5,7.9, ,113,2,55,,,野中悠太,(美),宮田敬介,クリソベリル,タートルボウル,,ニアークティック系,1,10,1中3,初,新馬・牝,ダ,1800,良,,野中,55.0,,8,39.6,2,0.0,8,1,1,1,1,38.90,41.3,7,ガーヴィ
4,,8,スターキャンディ,牝,3,15,86.9, ,  0,,55,,,小林脩斗,(美),松山将樹,シュヴァルグラン,ジャングルポケット,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,パルミエ,牝,3,6,12.1, ,107,4,55,,,丸山元気,(美),宮田敬介,マインドユアビスケッツ,アサクサキングス,,ニアークティック系,1,5,1中2,7,未勝利・牝,ダ,1800,稍,,丸山,55.0,,5,11.5,5,1.4,3,12,12,9,7,38.70,40.6,1,ラングドシャ
5,,10,リベルタアーラ,牝,3,11,27.2, , 97,10,52,▲,,石神深道,(美),深山雅史,ブリックスアンドモルタル,ディープインパクト,,ロイヤルチャージャー系,12,20,5中5,初,新馬・牝,芝,1800,良,,石神,52.0,▲,10,111.1,8,1.3,8,11,10,9,9,37.95,35.3,6,リュクスパトロール
6,B,11,ルミテュット,牝,3,1,3.9, ,117,1,55,,*,岩田康誠,(美),萩原清,ルヴァンスレーヴ,クロフネ,,ニアークティック系,1,5,1中2,8,未勝利・牝,ダ,1800,稍,,内田,55.0,,1,3.4,3,1.1,1,5,5,3,3,38.15,41.4,8,ラングドシャ
6,,12,ペタルズダンス,牝,3,8,21.6, , 98,9,55,,*,矢野貴之,(美),嘉藤貴行,クリソベリル,ティンバーカントリー,,ネイティヴダンサー系,11,16,5東4,初,新馬,ダ,1600,良,,プー,55.0,,4,12.2,11,1.7,8,,,11,11,38.70,37.7,13,アジアントレジャー
7,,13,トランセンコ,牝,3,16,166.7, , 95,12,55,,*,木幡育也,(美),松永康利,トランセンド,ブラックタイド,ニアークティック系,ロイヤルチャージャー系,11,8,5東1,2,未勝利・牝*,ダ,1600,良,,遠藤,52.0,▲,10,183.4,8,2.7,10,,,11,13,37.68,38.5,8,アンディラメナ
7,,14,キタノエピックアン,牝,3,3,5.9, ,110,3,52,▲,,上里直汰,(美),萱野浩二,ベストウォーリア,ハービンジャー,,ニアークティック系,2,10,1東4,2,未勝利・牝,ダ,1600,稍,,上里,52.0,▲,6,31.0,3,0.4,3,,,7,10,37.44,37.7,2,ティルベリー
8,,15,セニング,牝,3,9,22.2, ,100,8,55,,*,田辺裕信,(美),深山雅史,ニューイヤーズデイ,ジャスタウェイ,,,11,24,5東6,2,未勝利*,ダ,1600,良,,内田,55.0,,11,379.1,5,1.9,7,,,10,10,37.02,37.9,3,カレイジャスビート
