レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031406020501,2026.3.14,土,中山,2中5,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,フローレスカラーズ,牝,3,7,21.0, ,111,5,55,,*,丹内祐次,(美),高木登,ダノンレジェンド,スペシャルウィーク,,ロイヤルチャージャー系,2,22,1東8,初,新馬,ダ,1400,良,,菅原,55.0,,2,3.8,6,2.3,1,,,11,14,38.10,39.1,6,ローズブーケ
2,B,2,セルレーヴ,牝,3,6,9.4, , 98,9,55,,*,原優介,(美),田中博康,リオンディーズ,ディープインパクト,,ロイヤルチャージャー系,8,9,1札5,初,新馬,芝,1800,稍,,舟山,52.0,▲,8,46.7,7,1.7,8,3,3,4,5,36.80,38.1,8,ヒシアムルーズ
2,,3,タイセイルビー,牝,3,3,5.1, ,106,6,55,,,三浦皇成,(美),千葉直人,サトノダイヤモンド,"Awesome Again",,ニアークティック系,2,7,2京3,連,未勝利,ダ,1800,良,,三浦,55.0,,5,140.0,3,0.4,6,8,8,6,6,38.10,39.5,2,キリオス
3,,4,ビレッジルイーザ,牝,3,9,25.7, ,104,7,55,,,荻野極,(美),伊藤圭三,ノーブルミッション,"Street Cry",,ネイティヴダンサー系,3,1,2中2,5,未勝利・牝,ダ,1800,稍,,荻野,55.0,,8,23.2,9,2.6,7,1,1,1,1,37.35,43.1,12,ピュアエンブレム
3,,5,スターキャンディ,牝,3,11,48.4, , 94,10,55,,,小林脩斗,(美),松山将樹,シュヴァルグラン,ジャングルポケット,,ナスルーラ系,3,8,2中4,初,未勝利・牝,ダ,1800,稍,,小林,55.0,,14,231.4,7,0.9,15,6,6,9,7,38.60,41.6,7,ステイグローリアス
4,,6,アスコットヴェール,牝,3,2,4.4, ,113,2,55,,,佐々木大,(美),竹内正洋,モズアスコット,"Street Cry",,ネイティヴダンサー系,12,20,5中5,3,未勝利・牝*,ダ,1800,良,,佐々,55.0,,3,5.2,6,1.8,6,1,1,1,1,37.35,41.7,13,ケイツーリーブル
4,,7,アースアクシス,牝,3,1,4.2, ,119,1,55,,,戸崎圭太,(美),栗田徹,ドレフォン,クロフネ,,ニアークティック系,1,10,1中3,初,新馬・牝,ダ,1800,良,,戸崎,55.0,,2,3.8,3,0.0,1,3,3,3,4,39.05,41.0,4,ガーヴィ
5,,8,エコロストーム,牝,3,4,6.4, ,113,2,55,,*,津村明秀,(美),千葉直人,ロージズインメイ,デュランダル,ロイヤルチャージャー系,ロイヤルチャージャー系,3,1,2中2,5,未勝利,ダ,1800,稍,,三浦,55.0,,3,7.5,5,1.5,5,5,5,4,2,38.05,40.4,8,アトラステソーロ
5,,9,イヌボウノキラメキ,牝,3,12,48.4, , 93,11,53,△,*,長浜鴻緒,(美),嘉藤貴行,ドレフォン,ディープインパクト,,ロイヤルチャージャー系,2,21,1東7,4,未勝利・牝,ダ,1400,良,,キン,55.0,,7,21.6,14,1.9,4,,,12,13,37.43,38.4,11,スーパーガール
6,,10,ニューカワイイ,牝,3,13,53.1, , 88,14,52,▲,*,石田拓郎,(美),中川公成,カリフォルニアクローム,ゴールドアリュール,,ロイヤルチャージャー系,11,29,5東7,2,未勝利*,芝,1400,良,,谷原,51.0,★,15,328.8,15,1.5,14,,,18,17,36.53,34.5,10,アグネスクレスト
