レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031506020601,2026.3.15,日,中山,2中6,1,,未勝利,ダート,1200,,2,良(暫定),晴(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,グラデュエール,牝,3,13,103.0, , 92,9,55,,*,小林脩斗,(美),粕谷昌央,ミスチヴィアスアレックス,ダンスインザダーク,,ロイヤルチャージャー系,1,17,1中6,4,未勝利,ダ,1200,良,,木幡,55.0,,13,289.1,9,1.6,15,,,9,10,35.40,39.2,9,サントマーレ
1,,2,サマースプラッシュ,牝,3,12,66.2, , 91,11,55,,,原優介,(美),岩戸孝樹,アポロケンタッキー,アポロキングダム,,ネイティヴダンサー系,12,21,5中6,初,新馬,ダ,1200,重,,原優,55.0,,11,51.7,12,2.6,13,,,13,13,36.70,38.2,12,ファンシーズ
2,,3,ツキノマバタキ,牝,3,9,50.1, , 92,9,55,,*,木幡巧也,(美),牧光二,エイシンフラッシュ,"American Pharoah",,,11,30,5東8,4,未勝利*,芝,1600,良,,石橋,55.0,,7,90.0,10,1.4,13,,,12,13,37.26,34.0,3,ゴバド
2,,4,コパノキャメロン,牝,3,3,12.3, ,106,4,55,,,武藤雅,(美),手塚貴久,シャンハイボビー,ゴールドアリュール,,ロイヤルチャージャー系,2,21,1東7,21,未勝利・牝,ダ,1400,良,,武藤,55.0,,6,19.0,4,0.7,9,,,3,3,36.45,38.5,13,スーパーガール
3,,5,ラングロワブリッジ,牝,3,6,22.1, ,  0,,55,,,岩田康誠,(美),戸田博文,ヴァンゴッホ,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,マイチバイ,牝,3,11,55.4, ,102,5,55,,*,大野拓弥,(美),堀内岳志,シルバーステート,パイロ,,ナスルーラ系,12,21,5中6,5,未勝利*,ダ,1200,不,,松岡,55.0,,4,8.0,9,2.2,7,,,12,12,35.60,37.9,6,ホウオウヘッセン
4,,7,カンレイスター,牝,3,2,3.9, ,117,2,55,,*,坂井瑠星,(美),矢野英一,シスキン,ヴィクトワールピサ,,ロイヤルチャージャー系,1,10,1中3,3,未勝利・牝,ダ,1200,良,,戸崎,55.0,,2,3.9,2,0.6,2,,,4,2,34.90,38.3,6,ライヴレッドアイ
4,,8,ニシノゲッパク,牝,3,14,103.0, ,100,6,52,▲,*,遠藤汰月,(美),伊藤伸一,セイウンコウセイ,クロフネ,,ニアークティック系,1,31,1東1,9,未勝利・牝,ダ,1400,良,,松岡,55.0,,8,77.2,7,1.7,13,,,9,9,37.80,37.8,8,マカイゾウ
5,,9,ノクスパーピリオ,牝,3,8,37.4, ,  0,,55,,,横山琉人,(美),小笠倫弘,ファインニードル,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,ブーケドリス,牝,3,1,1.7, ,120,1,55,,*,横山武史,(美),宮田敬介,ロードカナロア,ゴールドアリュール,,ロイヤルチャージャー系,2,28,2中1,15,未勝利・牝,ダ,1200,重,,三浦,55.0,,2,4.6,2,0.1,2,,,1,1,34.00,37.9,7,タヤスロレンヌ
