レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010101,2026.4.11,土,福島,1福1,1,,未勝利,ダート,1700,,4,良(暫定),曇(暫定),15,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,セルシャーム,牡,3,6,15.0, ,110,3,57,,*,富田暁,(栗),野中賢二,ロジャーバローズ,ワークフォース,,ネイティヴダンサー系,1,24,1小1,6,未勝利,ダ,1700,良,,菱田,57.0,,5,20.1,2,0.7,8,3,4,2,2,37.53,39.3,7,アンコールアゲイン
2,,2,ロケットパンチ,セ,3,4,10.3, ,111,2,57,,*,武藤雅,(美),武藤善則,ナダル,ロードカナロア,,,1,12,1中5,3,未勝利,ダ,1800,良,,柴田,57.0,,7,11.8,2,0.6,5,12,13,6,2,38.30,40.2,3,ジェイエルモーダル
2,,3,レジェルテ,牡,3,8,24.9, ,108,6,54,▲,,和田陽希,(栗),柴田卓,シュヴァルグラン,Bernstein,,ニアークティック系,3,21,1名3,6,未勝利,ダ,1800,良,,和田,54.0,▲,5,28.9,3,0.8,7,7,8,10,9,39.15,38.2,1,コルヴァス
3,,4,ベストブラザーズ,牡,3,3,8.5, ,109,4,54,▲,*,小林美駒,(美),辻哲英,キセキ,ハーツクライ,,ロイヤルチャージャー系,3,21,2中7,8,未勝利,芝,2200,良,,津村,57.0,,3,9.8,4,0.9,3,1,1,1,1,36.08,38.3,10,エーデルゼーレ
3,,5,グレートアゲイン,牡,3,11,79.7, , 87,12,57,,*,松岡正海,(栗),牧浦充徳,バンドワゴン,ネオユニヴァース,,ロイヤルチャージャー系,1,24,1京8,3,未勝利,ダ,1200,良,,ハマ,57.0,,11,116.9,13,1.7,12,,,13,14,38.80,37.0,8,リアルアルバ
4,,6,シンエンドーツダ,牡,3,7,21.3, ,107,7,57,,*,菊沢一樹,(美),萱野浩二,イスラボニータ,タートルボウル,,ニアークティック系,3,15,2中6,2,未勝利,ダ,1800,良,,木幡,57.0,,5,12.5,4,0.9,4,8,8,6,4,38.05,39.2,5,タケルムサシ
4,,7,ディーズベンチャー,牝,3,15,125.7, , 82,13,55,,*,国分恭介,(栗),岡田稲男,マジェスティックウォリアー,ジャングルポケット,,ナスルーラ系,2,7,2京3,7,未勝利・牝,芝,1600,良,,菱田,55.0,,14,257.6,13,2.0,13,,,11,12,36.06,37.1,13,サッポロイクコ
5,,8,ウォーターサオラ,牡,3,9,35.8, ,  0,,57,,,松若風馬,(栗),庄野靖志,ウォータービルド,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,パシオネ,牝,3,14,103.3, , 96,9,55,,*,小崎綾也,(栗),高橋一哉,アメリカンペイトリオット,ゴールドアリュール,,ロイヤルチャージャー系,2,10,2京4,13,未勝利・牝,ダ,1400,良,,藤懸,55.0,,10,126.9,9,1.5,12,,,11,10,37.28,38.8,8,リピ
6,,10,ライヴマティーニ,牝,3,12,83.8, , 90,11,52,▲,*,森田誠也,(美),尾形和幸,ゴールドドリーム,ルーラーシップ,,ネイティヴダンサー系,2,14,1東5,10,未勝利,ダ,1400,良,,佐藤,52.0,▲,15,364.5,11,2.6,11,,,12,12,37.65,38.2,11,トウカイレオ
6,,11,シューティングガイ,牡,3,2,6.4, ,106,8,57,,*,斎藤新,(美),斎藤誠,マジェスティックウォリアー,キングカメハメハ,,ネイティヴダンサー系,11,24,5東6,2,未勝利*,ダ,1600,良,,戸崎,56.0,,3,13.4,4,1.0,2,,,3,3,36.48,37.9,3,カレイジャスビート
7,,12,クワッドマリニン,牡,3,5,11.1, ,109,4,57,,*,亀田温心,(美),久保田貴,ニューイヤーズデイ,ハービンジャー,,ニアークティック系,3,14,1阪7,3,未勝利,ダ,1800,良,,菱田,57.0,,9,105.9,2,0.4,6,7,6,5,4,38.25,38.1,1,ゲタリア
7,,13,カミノトップワン,牡,3,10,47.4, , 94,10,57,,*,藤懸貴志,(栗),千田輝彦,ウインバリアシオン,デビッドジュニア,,セントサイモン系,1,31,2京1,10,未勝利,ダ,1800,良,,永島,55.0,◇,9,95.7,6,2.1,8,10,10,9,9,39.05,39.1,4,ヴィエントデコラ
