レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ホテルストリート,牝,3,2,6.5, ,113,2,55,,*,丹内祐次,(美),伊藤大士,オルフェーヴル,ヨハネスブルグ,,ニアークティック系,2,10,1東4,14,未勝利・牝,ダ,1600,稍,,横山,55.0,,3,11.6,5,0.5,8,,,1,1,36.90,38.7,7,ティルベリー
2,B,2,アメジストブルー,牝,3,13,52.5, , 85,13,52,▲,*,和田陽希,(栗),浜田多実,アジアエクスプレス,シンボリクリスエス,,ロイヤルチャージャー系,1,4,1京1,14,未勝利,ダ,1200,良,B,国分,55.0,,16,251.8,13,1.6,16,,,15,13,37.70,37.1,7,リーグナイト
2,,3,アンミックス,牝,3,4,7.1, ,110,4,55,,*,西塚洸二,(栗),高柳大輔,パイロ,ヨハネスブルグ,ナスルーラ系,ニアークティック系,3,14,1阪7,7,未勝利・牝,ダ,1800,良,,川田,55.0,,2,3.4,5,1.6,1,7,6,5,5,38.90,40.1,7,シャンデヴィーニュ
3,,4,クッカユフラ,牝,3,8,28.7, , 98,8,55,,*,斎藤新,(美),池上昌和,マジェスティックウォリアー,ディープインパクト,,ロイヤルチャージャー系,11,9,3福2,初,新馬,ダ,1700,良,,丸山,55.0,,10,49.8,8,2.2,2,7,7,7,7,38.18,40.7,8,アースインハマー
3,,5,オリエンタルガール,牝,3,9,31.1, , 96,9,52,▲,*,石田拓郎,(美),相沢郁,カリフォルニアクローム,オルフェーヴル,,,1,5,1中2,4,未勝利・牝,ダ,1800,稍,,横山,55.0,,12,130.3,9,2.8,15,3,3,4,4,38.25,42.9,13,ラングドシャ
4,,6,ベッラモレーン,牝,3,6,11.2, , 95,10,53,△,*,鷲頭虎太,(美),矢野英一,アジアエクスプレス,エンパイアメーカー,,ネイティヴダンサー系,1,10,1中3,4,未勝利,芝,1600,良,,石橋,55.0,,10,79.2,11,1.7,10,,11,11,10,36.36,35.1,9,ディールメーカー
4,,7,モチモチチャン,牝,3,15,59.4, ,101,7,55,,*,杉原誠人,(栗),西村真幸,デクラレーションオブウォー,ジャスタウェイ,,,1,25,1小2,2,未勝利・牝,ダ,1700,良,B,菊沢,55.0,,11,114.3,7,1.6,11,14,13,9,9,38.18,39.9,8,ドウカキミニトドケ
5,,8,クラックアスマイル,牝,3,14,55.8, , 85,13,52,▲,*,上里直汰,(美),田島俊明,マインドユアビスケッツ,"Ready's Image",,ロイヤルチャージャー系,1,31,1東1,初,未勝利・牝,ダ,1400,良,,長浜,53.0,△,11,190.9,16,4.2,9,,,14,16,39.23,38.4,11,マカイゾウ
5,,9,フィアスゲイル,牝,3,7,22.3, , 91,11,53,△,*,舟山瑠泉,(栗),柴田卓,ドレフォン,ダイワメジャー,,ロイヤルチャージャー系,11,30,4京8,2,未勝利*,芝,1800,良,,荻野,55.0,,9,53.1,12,5.9,8,,,4,7,35.70,40.9,13,サウンドムーブ
6,,10,ムーヴザニードル,牝,3,12,52.5, ,  0,,55,,,小沢大仁,(栗),緒方努,ファインニードル,Pivotal,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
