レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041903010401,2026.4.19,日,福島,1福4,1,,未勝利,ダート,1150,,2,良(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,スプリングドリーム,牝,3,3,6.6, ,117,1,52,▲,*,上里直汰,(美),加藤士津,モズアスコット,クロフネ,,ニアークティック系,3,21,2中7,11,未勝利・牝,ダ,1200,良,B,西村,55.0,,1,3.0,3,0.4,3,,,1,1,34.00,39.3,9,ペイトー
1,,2,スイーヴル,牝,3,1,2.9, ,107,3,55,,*,松若風馬,(栗),小椋研介,タワーオブロンドン,Pivotal,,ニアークティック系,3,1,1小C,2,未勝利,ダ,1000,稍,,藤懸,55.0,,4,13.3,3,0.8,4,,,3,4,34.05,35.9,3,ファンシーフリル
2,,3,イングラム,牡,3,10,37.6, , 98,9,57,,*,藤懸貴志,(栗),千田輝彦,モズアスコット,ディープインパクト,,ロイヤルチャージャー系,2,14,2京5,3,未勝利,ダ,1400,稍,,泉谷,57.0,,7,19.9,15,4.0,9,,,1,1,35.70,41.6,16,テーオーパーセル
2,B,4,カンフージョン,牡,3,11,43.5, , 93,12,57,,*,川又賢治,(栗),吉村圭司,Frosted,"Pioneerof the Nile",,ネイティヴダンサー系,2,21,1小9,6,未勝利,ダ,1000,良,,河原,53.0,★,10,50.9,10,2.1,10,,,9,9,35.70,37.0,9,エコロレバン
3,,5,オレンジキャンパス,牝,3,12,50.9, ,104,7,55,,,武藤雅,(美),武藤善則,ヴァンゴッホ,ファスリエフ,,ニアークティック系,3,1,1小C,2,未勝利,芝,1200,良,,武藤,55.0,,8,23.0,11,0.5,6,,,4,5,33.80,36.1,11,プルヴォワール
3,,6,チュラヴェール,牝,3,6,10.7, ,100,8,55,,,丹内祐次,(美),松山将樹,ホッコータルマエ,バブルガムフェロー,,ロイヤルチャージャー系,2,14,1小7,2,未勝利,ダ,1000,良,,丹内,55.0,,3,6.4,8,0.7,3,,,11,8,35.40,36.5,2,ミヤフロント
4,,7,ラインカシウス,牝,3,13,66.9, , 93,12,53,◇,*,永島まな,(美),水野貴広,リアルスティール,ロードカナロア,,,3,7,2中3,10,未勝利,ダ,1200,重,,小林,52.0,▲,8,140.8,10,3.2,12,,,12,13,35.90,38.3,7,トヨサカエ
4,,8,フレンズプラス,牝,3,7,21.1, , 97,10,55,,*,荻野琢真,(栗),宮本博,クリソベリル,ヨハネスブルグ,,ニアークティック系,2,7,1小5,17,未勝利・牝,ダ,1700,良,,松若,55.0,,9,24.9,11,1.5,9,2,2,2,2,37.47,41.1,12,ミティリーニ
5,,9,セイウンサクラサケ,牝,3,14,72.3, , 87,14,51,★,*,河原田菜,(美),青木孝文,セイウンコウセイ,タニノギムレット,,ロイヤルチャージャー系,2,28,2中1,初,未勝利・牝,ダ,1200,重,,原優,55.0,,12,106.5,13,2.4,11,,,12,14,35.70,38.5,11,タヤスロレンヌ
5,B,10,ゲレイロ,牡,3,8,21.7, ,106,4,54,▲,,和田陽希,(栗),今野貞一,ミスターメロディ,ダイワメジャー,,ロイヤルチャージャー系,3,29,1名6,7,未勝利,ダ,1200,良,B,和田,54.0,▲,7,34.1,5,0.5,4,,,7,5,36.90,36.6,1,ロイヤルスパイア
