レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026050204010101,2026.5.2,土,新潟,1新1,1,,未勝利,障害,2890,B,,良(暫定),雨(暫定),14,09:45,,定量,４上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ヴォルスター,牡,5,12,54.6, , 83,14,60,,*,黒岩悠,(栗),清水久詞,シニスターミニスター,ロードカナロア,ナスルーラ系,,3,21,1阪9,2,２勝ｸﾗｽ,ダ,1800,良,,古川,58.0,,12,91.5,11,3.1,11,11,11,11,12,37.50,40.0,11,ドラゴン
2,,2,ファイツオン,牡,5,5,17.4, , 98,7,60,,,小牧加矢,(栗),藤岡健一,アルアイン,サクラバクシンオー,,ナスルーラ系,1,24,1小1,5,障害未勝利,障芝,2860,良,,小牧,60.0,,7,21.6,9,11.6,6,10,10,9,9,,14.4,,タイセイジャスパー
3,,3,ノブダブルホワイト,牡,4,13,57.0, , 84,13,59,,*,江田勇亮,(美),松永康利,バゴ,ディープインパクト,ナスルーラ系,ロイヤルチャージャー系,9,13,4中3,2,１勝ｸﾗｽ,芝,2000,稍,B,木幡,55.0,,14,337.6,16,2.6,12,9,9,9,9,37.37,35.8,16,ミクニインスパイア
3,,4,アップストローク,セ,7,10,29.1, , 94,9,60,,*,草野太郎,(美),杉浦宏昭,ディーマジェスティ,"Unbridled's Song",,ネイティヴダンサー系,12,27,5中7,11,ベストウ･2勝,芝,1200,良,B,木幡,58.0,,10,49.5,9,1.0,15,,,7,7,34.10,34.7,6,アンビバレント
4,,5,ニシノインヴィクタ,牡,5,9,28.5, , 95,8,57,▲,*,水沼元輝,(美),本間忍,ブリックスアンドモルタル,ルーラーシップ,,ネイティヴダンサー系,1,12,1中5,4,１勝ｸﾗｽ,芝,2000,良,,野中,58.0,,15,199.6,15,1.8,16,3,2,4,7,36.26,36.4,16,キャピタルリッチ
4,,6,オリンポスカズマ,牡,6,14,59.6, , 93,10,60,,*,小坂忠士,(栗),平田修,ヴィクトワールピサ,アッミラーレ,ロイヤルチャージャー系,ロイヤルチャージャー系,3,15,1阪8,11,障害未勝利,障ダ,2970,良,,黒岩,60.0,,10,97.2,10,5.3,5,8,8,11,11,,14.2,,ヴァランセカズマ
5,,7,サトノエピック,牡,5,3,5.6, , 93,10,60,,*,上野翔,(美),奥村武,キタサンブラック,"Bellamy Road",,その他のエクリプス系,2,28,1阪3,6,仁川ＳＨ(L),ダ,2000,良,,田口,55.0,,14,103.9,13,1.4,15,8,9,9,9,37.20,38.6,12,ジューンアヲニヨシ
5,B,8,ノーブルクライ,牡,6,8,22.6, ,100,5,60,,,五十嵐雄,(美),田村康仁,ハーツクライ,"Smarty Jones",ロイヤルチャージャー系,ネイティヴダンサー系,3,8,2中4,6,障害未勝利,障ダ,2880,良,B,五十,60.0,,6,22.0,9,2.9,5,9,9,10,10,,14.0,,バルサムノート
6,,9,サミアド,牡,5,4,14.7, , 91,12,60,,*,大江原圭,(美),竹内正洋,シャンハイボビー,"Rock Hard Ten",,ロイヤルチャージャー系,3,1,1阪4,3,２勝ｸﾗｽ,ダ,1200,良,,高杉,58.0,,13,89.8,15,3.0,13,,,7,9,35.70,39.0,15,ボディブロー
6,,10,メイショウトム,牡,5,6,20.1, ,103,4,60,,,難波剛健,(栗),谷潔,"Palace Malice","Street Cry",,ネイティヴダンサー系,3,29,2阪2,24,障害未勝利,障ダ,2970,良,,難波,60.0,,8,28.7,6,2.4,10,6,7,7,6,,14.2,,ケイテンアイジン
