レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026050304010201,2026.5.3,日,新潟,1新2,1,,未勝利,芝,2000,B,4,稍(暫定),晴(暫定),16,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,オートカリテ,牝,3,2,4.5, ,109,2,55,,,富田暁,(美),牧光二,コントレイル,"Quality Road",,ネイティヴダンサー系,4,11,1福1,16,未勝利,芝,2000,良,,富田,55.0,,9,43.7,4,0.4,7,3,3,2,2,36.30,35.7,6,メイショウハンター
1,,2,トレンドラド,牝,3,12,24.1, , 90,13,52,▲,*,石田拓郎,(美),伊藤大士,レイデオロ,Singspiel,,ニアークティック系,3,1,2中2,2,未勝利・牝,ダ,1800,稍,,杉原,55.0,,14,255.5,10,2.6,16,11,11,11,10,38.10,41.6,9,ピュアエンブレム
2,,3,サウンドファミリエ,牝,3,14,51.6, , 93,9,55,,*,石川裕紀,(美),和田正一,シルバーステート,トビーズコーナー,,その他のエクリプス系,2,15,2京6,8,未勝利・牝,芝,2000,良,,永島,53.0,◇,13,218.4,8,2.1,14,14,13,9,7,37.63,36.4,9,ピカキウイ
2,,4,フィールライクユー,牝,3,4,12.9, ,  0,,53,△,,舟山瑠泉,(栗),森田直行,オルフェーヴル,ジャスタウェイ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,ティンブロポップ,牝,3,13,29.9, , 92,12,55,,*,ゴンサル,(美),和田勇介,ジャスタウェイ,アイルハヴアナザー,,ネイティヴダンサー系,1,25,1中9,2,未勝利・牝,ダ,1800,良,,岩田,55.0,,12,206.5,8,2.8,8,13,13,13,11,39.60,41.5,5,プレイメイカー
3,,6,ピアス,牝,3,1,4.1, ,117,1,55,,,丸山元気,(美),森一誠,キセキ,"Richly Blended",,ネイティヴダンサー系,4,11,1福1,4,未勝利・牝,芝,1800,良,,丸山,55.0,,1,3.6,5,0.3,5,1,1,1,1,35.80,36.3,11,サフランルージュ
4,,7,リベルタアーラ,牝,3,6,13.3, , 86,15,52,▲,,石神深道,(美),深山雅史,ブリックスアンドモルタル,ディープインパクト,,ロイヤルチャージャー系,3,8,2中4,11,未勝利・牝,ダ,1800,稍,,石神,52.0,▲,13,142.5,14,2.9,6,10,10,12,12,39.05,42.7,13,ステイグローリアス
4,,8,ワイドバヴァール,牝,3,16,55.5, , 94,7,55,,*,亀田温心,(栗),奥村豊,ナダル,ディープインパクト,,ロイヤルチャージャー系,4,19,2阪8,12,未勝利・牝,芝,2000,良,,田口,55.0,,10,73.6,11,1.1,10,10,11,8,9,37.37,35.0,10,ベルシュヴァル
5,,9,コスモエーヴィヒ,牝,3,7,13.7, , 93,9,55,,*,菊沢一樹,(美),伊藤大士,ゴールドシップ,アグネスタキオン,,ロイヤルチャージャー系,12,14,5名4,4,未勝利*,芝,2000,稍,,石神,52.0,▲,11,82.2,9,1.5,9,3,3,4,5,37.20,36.7,10,グレーヌドジョワ
5,,10,マサハヤルージュ,牝,3,15,51.6, , 93,9,52,▲,*,和田陽希,(栗),千田輝彦,シャンハイボビー,ディープインパクト,,ロイヤルチャージャー系,4,26,3京2,6,未勝利,芝,1200,良,,吉村,55.0,,13,122.3,13,1.6,4,,,8,10,34.30,34.8,16,タナスーペルノーバ
