レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ロココ,牝,3,4,10.4, ,107,2,54,☆,,長浜鴻緒,(美),加藤和宏,ミスターメロディ,ハービンジャー,,ニアークティック系,3,1,2中2,2,未勝利・牝,ダ,1800,稍,,長浜,53.0,△,6,8.4,6,1.5,5,4,4,5,5,37.60,41.5,8,ピュアエンブレム
2,B,2,ノヴァキュライト,牝,3,10,19.8, , 89,11,53,◇,,古川奈穂,(栗),高橋義忠,ブリックスアンドモルタル,キングカメハメハ,,ネイティヴダンサー系,4,12,1福2,16,未勝利・牝,ダ,1700,良,,古川,53.0,◇,12,130.7,13,3.2,15,15,15,13,13,38.84,39.7,9,エアトベーレ
2,B,3,ブリスフルイヤー,牝,3,2,4.5, ,103,4,52,▲,,石田拓郎,(美),新開幸一,ニューイヤーズデイ,"Square Eddie",,,4,19,1福4,9,未勝利・牝,ダ,1700,良,B,石田,52.0,▲,12,154.1,3,1.3,14,8,7,5,3,37.36,38.9,3,ベルソテイラ
3,,4,プラトニックガール,牝,3,15,70.0, , 88,12,55,,,杉原誠人,(美),田村康仁,イスラボニータ,ルーラーシップ,,ネイティヴダンサー系,4,19,1福4,20,未勝利・牝,ダ,1700,良,,杉原,55.0,,15,364.9,12,3.7,11,11,11,12,12,37.80,40.5,13,ベルソテイラ
3,,5,ベベペッパー,牝,3,7,14.3, ,101,5,55,,*,亀田温心,(栗),東田明士,キズナ,ロードカナロア,,,3,14,1阪7,3,未勝利,芝,1800,良,,団野,55.0,,12,189.0,12,1.7,7,,,3,2,35.45,36.6,14,エンネ
4,,6,クッカユフラ,牝,3,6,13.2, ,100,6,55,,*,丸山元気,(美),池上昌和,マジェスティックウォリアー,ディープインパクト,,ロイヤルチャージャー系,4,12,1福2,22,未勝利・牝,ダ,1700,良,,斎藤,55.0,,11,55.8,4,0.7,12,4,4,4,4,37.80,39.1,7,エアトベーレ
4,,7,メイショウサザナミ,牝,3,8,15.8, , 95,7,52,▲,,遠藤汰月,(栗),本田優,マジェスティックウォリアー,リオンディーズ,,,4,25,1福5,10,未勝利・牝,ダ,1700,良,,遠藤,52.0,▲,13,153.0,6,1.0,15,3,3,3,4,37.47,40.0,9,ゴールドドレッサ
5,,8,マスカルポーネ,牝,3,3,8.8, ,105,3,55,,,武藤雅,(美),水野貴広,リオンディーズ,キズナ,,,4,19,1福4,3,未勝利・牝,ダ,1700,良,,武藤,55.0,,8,36.9,4,1.9,9,10,10,7,6,37.53,39.2,5,ベルソテイラ
5,,9,サツキジュエル,牝,3,14,64.6, , 86,13,55,,,丸田恭介,(美),石栗龍彦,エイシンフラッシュ,ネオユニヴァース,,ロイヤルチャージャー系,4,19,3中8,3,未勝利・牝,ダ,1800,良,,丸田,55.0,,12,226.8,10,3.9,12,8,8,9,9,38.75,41.3,10,ナムラハリス
6,,10,アルデナイン,牝,3,9,18.6, , 91,9,51,★,*,河原田菜,(美),村田一誠,リオンディーズ,ハーツクライ,,ロイヤルチャージャー系,12,28,5中8,初,新馬,芝,2000,良,,舟山,52.0,▲,15,229.1,15,2.3,13,7,7,7,9,37.93,37.4,15,コンジェスタス
