レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010501,2026.5.16,土,新潟,1新5,1,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),15,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ロジキセキ,牡,3,14,100.1, , 94,12,54,▲,*,石田拓郎,(美),新開幸一,アドマイヤマーズ,フジキセキ,,ロイヤルチャージャー系,2,1,1東2,4,未勝利,ダ,2100,良,B,荻野,57.0,,9,119.5,11,2.8,8,6,5,5,5,38.52,41.2,8,オルブライト
2,,2,アルファシーナ,セ,3,15,174.6, , 96,10,54,▲,,遠藤汰月,(美),伊藤伸一,アポロケンタッキー,エンパイアメーカー,,ネイティヴダンサー系,2,1,1東2,3,未勝利,ダ,2100,良,,遠藤,54.0,▲,10,139.6,9,2.5,11,12,12,5,5,38.52,40.9,7,オルブライト
2,B,3,ウェイヴムーン,牡,3,2,4.8, ,108,4,55,△,*,舟山瑠泉,(栗),石坂公一,キズナ,"Unusual Heat",,ニアークティック系,4,25,2東1,7,未勝利,ダ,2100,稍,,池添,57.0,,6,18.9,4,1.7,7,1,1,1,1,37.76,40.1,8,アイアムジャイアン
3,,4,ハイロード,牡,3,6,9.6, ,112,1,57,,,斎藤新,(栗),浜田多実,シニスターミニスター,スペシャルウィーク,ナスルーラ系,ロイヤルチャージャー系,3,21,1名3,9,未勝利,ダ,1800,良,B,斎藤,57.0,,2,13.0,6,1.7,5,2,2,2,2,38.60,40.2,7,コルヴァス
3,,5,クレセントゼファー,牡,3,8,25.2, ,104,6,57,,*,小崎綾也,(栗),高橋一哉,ベストウォーリア,エンパイアメーカー,,ネイティヴダンサー系,2,7,2京3,初,新馬,ダ,1800,良,,池添,57.0,,7,15.4,11,2.5,3,5,5,4,4,38.35,39.6,12,アレンスター
4,,6,ユイアンゴロー,牡,3,13,93.9, , 90,14,53,★,*,河原田菜,(美),栗田徹,サトノダイヤモンド,ノヴェリスト,,その他のエクリプス系,5,3,1新2,12,未勝利,ダ,1800,稍,,原田,57.0,,14,216.1,9,3.0,12,13,14,13,12,38.65,40.8,8,カシノスパーク
4,B,7,クリムゾンリーフ,牡,3,3,5.4, ,101,8,57,,*,ゴンサル,(美),加藤士津,クリソベリル,ルーラーシップ,,ネイティヴダンサー系,3,14,1名1,3,未勝利,ダ,1900,良,,上里,54.0,▲,5,11.6,6,0.9,4,5,4,3,4,39.55,38.4,7,アビラーシャ
5,,8,ストロングボーイ,牡,3,1,4.3, ,110,2,57,,,西塚洸二,(栗),野中賢二,アスクピーターパン,シンボリクリスエス,,ロイヤルチャージャー系,4,25,1福5,4,未勝利,ダ,1700,良,,西塚,57.0,,6,9.7,3,0.5,9,10,8,7,6,37.85,37.8,1,ゴールドバローズ
5,B,9,タイガーゲイト,牡,3,11,54.8, , 85,15,57,,*,菊沢一樹,(美),大和田成,リオンディーズ,ディープインパクト,,ロイヤルチャージャー系,5,3,2東4,2,未勝利,ダ,1600,稍,B,木幡,57.0,,12,235.5,11,3.1,8,,,12,10,37.20,39.5,10,マサッチェハマー
6,,10,カモンレイル,セ,3,12,61.5, , 94,12,55,△,*,柴田裕一,(栗),中竹和也,コントレイル,ウォーエンブレム,,ネイティヴダンサー系,3,14,1阪7,2,未勝利,ダ,1800,良,,酒井,57.0,,10,111.3,8,2.4,8,8,8,7,9,38.40,39.8,9,ゲタリア
6,,11,カリドーラ,牝,3,7,19.1, ,104,6,55,,*,丹内祐次,(美),田村康仁,ブリックスアンドモルタル,ハービンジャー,,ニアークティック系,4,26,2東2,7,未勝利,芝,1800,良,,三浦,55.0,,6,32.8,11,0.9,3,,1,1,1,36.00,35.6,17,ダイユウアレグロ
7,,12,ティブロン,牡,3,10,31.5, ,105,5,57,,,横山琉人,(美),矢嶋大樹,リオンディーズ,アドマイヤムーン,,ネイティヴダンサー系,3,28,3中1,2,未勝利,ダ,1800,重,,横山,57.0,,6,42.0,9,2.6,2,13,13,11,9,38.75,38.7,6,グランドスウェル
7,,13,ショーンバローズ,牡,3,9,27.2, , 99,9,57,,*,富田暁,(栗),松下武士,サンダースノー,"Invincible Spirit",,ニアークティック系,3,8,1阪6,2,未勝利,ダ,1800,良,,田口,57.0,,6,24.6,12,2.3,4,4,4,4,5,39.05,40.1,12,ワザオギ
8,,14,ダノンクラウディア,牡,3,4,6.4, , 95,11,57,,*,丸山元気,(美),森一誠,ダノンスマッシュ,フォーティナイナー,,ネイティヴダンサー系,11,1,4東A,初,新馬,芝,1600,稍,,プー,56.0,,5,12.6,13,2.1,5,,,8,9,38.34,35.1,12,サトノヴァンクル
8,,15,オオアバレ,牡,3,5,6.7, ,109,3,57,,*,浜中俊,(栗),奥村豊,ゴールドドリーム,スウェプトオーヴァーボード,,ネイティヴダンサー系,4,25,3京1,初,未勝利,ダ,1800,稍,,団野,57.0,,5,22.1,9,2.6,12,1,1,1,1,36.75,43.1,14,バケラッタ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010502,2026.5.16,土,新潟,1新5,2,,未勝利,ダート,1200,,2,良(暫定),晴(暫定),15,10:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アシャカバッハ,牡,3,14,97.2, , 94,10,57,,*,武藤雅,(美),小笠倫弘,モーニン,ハーツクライ,,ロイヤルチャージャー系,3,14,2中5,8,未勝利,ダ,1200,良,,石田,54.0,▲,11,148.7,13,2.2,15,,,7,7,34.70,39.3,14,ミルトハーバー
2,,2,メイショウボンテン,牡,3,12,90.3, , 94,10,57,,*,小沢大仁,(栗),飯田祐史,キセキ,メイショウボーラー,,ロイヤルチャージャー系,2,22,1阪2,2,未勝利,ダ,1200,良,,角田,57.0,,13,312.9,14,2.7,16,,,6,4,36.70,38.5,15,ゼンノフォトン
2,,3,フィールマイプラン,牡,3,5,11.7, ,109,4,57,,,荻野極,(美),岩戸孝樹,サトノクラウン,ブラックタイド,,ロイヤルチャージャー系,4,25,1福5,5,未勝利,ダ,1150,良,,荻野,57.0,,3,7.2,5,0.7,3,,,6,6,35.45,37.2,3,ブレイヴソルジャー
3,,4,フローライト,牝,3,6,17.9, ,110,3,55,,*,菊沢一樹,(美),池上昌和,ルヴァンスレーヴ,"Pioneerof the Nile",,ネイティヴダンサー系,2,7,1東3,8,未勝利,ダ,1300,良,,横山,55.0,,2,5.7,8,1.2,3,,,4,4,36.86,38.5,10,ジャスフォール
3,,5,ヨウリンケイジュ,牝,3,7,20.6, , 99,9,55,,*,ゴンサル,(栗),吉村圭司,マジェスティックウォリアー,シンボリクリスエス,,ロイヤルチャージャー系,3,15,1阪8,4,未勝利,ダ,1200,良,,川又,55.0,,10,27.1,9,1.7,13,,,8,8,36.30,38.2,11,セイウンバジリスク
4,B,6,ロードベルファスト,牡,3,10,28.5, ,106,8,57,,*,丹内祐次,(栗),畑端省吾,ロジャーバローズ,キングカメハメハ,,ネイティヴダンサー系,1,17,1京6,3,未勝利,ダ,1200,良,B,高杉,57.0,,5,15.7,8,0.7,7,,,5,6,36.40,38.0,9,グラスゴー
4,,7,カフェプラウド,牡,3,11,80.7, ,  0,,54,▲,,石神深道,(美),柄崎将寿,ドレフォン,カフェラピード,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,フェアリーキャット,牝,3,4,10.9, , 86,12,53,◇,*,古川奈穂,(美),鈴木慎太,ディスクリートキャット,パイロ,,ナスルーラ系,2,1,1東2,初,新馬,芝,1600,良,,菅原,55.0,,16,195.7,14,1.6,10,,,6,7,37.20,35.3,15,アスクイキゴミ
5,,9,ヴェロシスタ,牡,3,9,27.2, ,108,5,57,,*,横山琉人,(美),池上昌和,ファインニードル,タートルボウル,,ニアークティック系,1,31,1東1,初,新馬,ダ,1400,良,,木幡,57.0,,7,33.2,7,1.4,4,,,2,2,37.80,38.7,13,ユキノグラス
6,,10,ポッポヘジュセヨ,牝,3,13,92.5, , 82,13,51,★,*,河原田菜,(美),的場均,サトノアラジン,ハービンジャー,,ニアークティック系,2,22,1東8,初,新馬,ダ,1400,良,,柴田,55.0,,15,143.3,15,5.6,14,,,15,15,39.98,39.9,8,ローズブーケ
6,,11,キタノソブリン,牡,3,15,99.8, ,  0,,57,,,木幡育也,(美),本間忍,ディープブリランテ,ロジユニヴァース,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,12,ナムラロダン,牡,3,2,4.5, ,113,2,57,,,西村淳也,(栗),長谷川浩,ミッキーアイル,"Storm Cat",,ニアークティック系,4,25,3京1,4,未勝利,ダ,1400,稍,,西村,57.0,,2,3.8,4,1.0,3,,,4,4,35.48,38.4,7,リアライズブライト
7,,13,ピョイットハレルヤ,牝,3,3,6.4, ,108,5,53,△,*,舟山瑠泉,(栗),浜田多実,フォーウィールドライブ,ダンスインザダーク,,ロイヤルチャージャー系,4,26,2東2,連,未勝利,ダ,1600,稍,,松若,55.0,,8,49.1,3,0.2,5,,,3,3,37.38,37.4,3,サトノフェンサー
8,,14,シュヴァルツシルト,牡,3,1,2.3, ,121,1,54,▲,*,小林美駒,(美),田島俊明,ミスチヴィアスアレックス,ワークフォース,,ネイティヴダンサー系,3,7,2中3,3,未勝利,ダ,1200,重,,津村,57.0,,2,3.2,2,0.3,2,,,1,1,34.30,37.0,2,トヨサカエ
8,,15,アンジュレーヌ,牝,3,8,21.0, ,108,5,55,,,野中悠太,(美),宮田敬介,クリソベリル,タートルボウル,,ニアークティック系,3,8,2中4,8,未勝利・牝,ダ,1800,稍,,野中,55.0,,4,8.9,9,1.2,7,1,1,1,1,38.05,43.0,14,ステイグローリアス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010503,2026.5.16,土,新潟,1新5,3,,未勝利,芝,1600,B,2,良(暫定),晴(暫定),16,11:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ランウェイミューズ,牝,3,4,8.5, ,105,8,55,,*,浜中俊,(美),竹内正洋,シルバーステート,ストロングリターン,,,3,8,2中4,12,未勝利,芝,1800,良,,戸崎,55.0,,4,11.8,3,0.9,2,4,4,3,3,35.70,36.5,6,ラベルセーヌ
1,,2,ピコパープル,牝,3,14,114.9, , 84,14,52,▲,,上里直汰,(美),上原博之,キタサンブラック,タニノギムレット,,ロイヤルチャージャー系,2,28,2中1,12,未勝利,芝,2000,良,,上里,52.0,▲,18,321.8,18,1.3,18,6,7,7,10,37.07,36.5,18,セットエトワール
2,,3,ショウナンバーボン,牡,3,8,22.9, ,118,2,57,,*,ゴンサル,(美),加藤士津,サートゥルナーリア,ハーツクライ,,ロイヤルチャージャー系,4,18,3中7,4,未勝利,芝,1600,良,,佐々,57.0,,4,15.6,2,0.1,1,,1,2,2,35.46,35.2,8,セイウンラピス
2,,4,ミセスジョーンズ,牝,3,12,76.2, ,104,9,52,▲,*,石神深道,(美),松永康利,ヴァンセンヌ,アイルハヴアナザー,,ネイティヴダンサー系,11,9,5東2,7,未勝利・牝*,芝,1600,良,,原優,55.0,,6,11.6,6,0.7,5,,,3,3,36.48,34.8,10,マカレイ
3,,5,オレンジフィールド,牝,3,13,113.1, , 96,11,55,,,亀田温心,(栗),北出成人,サトノクラウン,"Quality Road",,ネイティヴダンサー系,1,10,1京3,3,未勝利・牝,ダ,1800,良,,亀田,55.0,,5,15.2,15,3.4,5,3,3,5,7,38.65,40.9,14,クイーンズドリーム
3,,6,トリトマフロックス,牝,3,15,124.8, , 87,13,52,☆,*,長浜鴻緒,(美),伊藤大士,Maurice,"Tale of the Cat",,ニアークティック系,1,18,1中7,初,新馬,芝,1600,良,,石田,50.0,▲,14,170.3,12,2.7,12,,13,12,11,36.72,35.9,13,サンプレクス
4,,7,ココネ,牝,3,9,29.6, ,  0,,55,,,荻野極,(美),上原佑紀,アドマイヤマーズ,"Le Havre",,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,リアライズガイザー,牡,3,1,1.9, ,111,4,57,,*,ルメール,(栗),杉山晴紀,コントレイル,"City Zip",,,10,25,3京8,3,未勝利*,ダ,1400,良,,西村,56.0,,1,2.5,6,0.8,2,,,2,1,35.03,40.4,7,ホールオブミラーズ
5,,9,バンオンタイム,牝,3,2,6.2, ,115,3,53,△,*,舟山瑠泉,(美),田中博康,ロードカナロア,"Raven's Pass",,ネイティヴダンサー系,2,15,1小8,2,未勝利,芝,1800,稍,,丹内,55.0,,1,1.3,4,0.6,1,4,3,5,4,37.35,35.7,7,モウエエデショー
5,,10,ポセイドンテソーロ,牡,3,16,147.8, , 89,12,57,,*,富田暁,(美),牧光二,シュヴァルグラン,Shirocco,,その他のエクリプス系,12,20,5名5,2,未勝利*,ダ,1200,稍,,野中,56.0,,11,62.7,14,1.6,14,,,10,10,36.70,38.5,9,ミヤラティーニ
6,,11,ドラリズム,牡,3,5,14.3, ,109,5,57,,,武藤雅,(美),武藤善則,コパノリッキー,ネオユニヴァース,,ロイヤルチャージャー系,4,18,3中7,3,未勝利,芝,1600,良,,武藤,57.0,,8,58.7,4,0.2,9,,13,14,13,36.24,34.0,2,セイウンラピス
