レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051704010601,2026.5.17,日,新潟,1新6,1,,未勝利,障害,2890,B,,良(暫定),晴(暫定),14,09:45,,定量,４上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ナスノソナタ,牡,4,6,13.1, , 87,14,57,▲,*,水沼元輝,(美),武井亮,レイデオロ,ハーツクライ,,ロイヤルチャージャー系,3,29,1名6,10,１勝ｸﾗｽ,芝,2200,良,,酒井,57.0,,13,435.3,9,1.0,12,7,6,6,6,36.56,35.1,9,メイショウアイル
2,,2,サマーアゲイン,牡,5,7,14.8, , 99,5,60,,,高田潤,(栗),渡辺薫彦,キズナ,キングカメハメハ,,ネイティヴダンサー系,2,7,1小5,18,障害未勝利,障芝,2860,稍,,高田,60.0,,6,30.0,8,6.7,10,9,9,10,9,,14.3,,シルヴァーデューク
3,,3,ゲレル,牝,4,4,8.5, , 99,5,57,,,上野翔,(美),小野次郎,ブラックタイド,キングカメハメハ,ロイヤルチャージャー系,ネイティヴダンサー系,2,28,1小B,6,障害未勝利,障芝,2860,稍,,上野,57.0,,7,26.1,6,6.5,8,10,10,9,8,,14.1,,ホウオウプロサンゲ
3,,4,ジュリアスローズ,牝,5,13,24.1, , 92,11,58,,*,大江原圭,(美),粕谷昌央,エピファネイア,コロナドズクエスト,,ネイティヴダンサー系,9,6,4中1,5,障害未勝利,障ダ,2880,稍,,江田,58.0,,8,58.9,8,4.2,6,2,2,3,4,,14.0,,ネロコルヴィーノ
4,,5,エポカスピーガ,牝,4,9,15.6, , 90,12,57,,*,草野太郎,(美),田中剛,エポカドーロ,"Stormy Atlantic",,ニアークティック系,3,28,1名5,16,１勝ｸﾗｽ,ダ,1400,稍,B,柴田,54.0,△,15,134.0,15,2.6,15,,,1,1,35.33,39.6,16,ホウオウゴールド
4,,6,ライツフォル,牡,6,1,3.7, ,114,1,60,,,難波剛健,(栗),高橋義忠,ミッキーアイル,エンパイアメーカー,,ネイティヴダンサー系,4,26,3京2,9,障害未勝利,障ダ,2910,良,,難波,60.0,,5,7.4,4,1.4,6,8,8,5,5,,13.8,,スノーディーヴァ
5,,7,ナヴァラトゥナ,牡,4,12,21.4, ,103,3,57,▲,*,坂口智康,(美),手塚貴徳,フィエールマン,"Not For Sale",,ナスルーラ系,11,29,5東7,15,１勝ｸﾗｽ,芝,2400,良,,マー,56.0,,7,27.7,10,1.7,9,4,4,4,5,36.30,36.3,11,サトノパトリオット
5,,8,アヴニールドブリエ,セ,6,2,6.8, , 94,9,60,,*,伴啓太,(美),大和田成,エピファネイア,ゼンノロブロイ,,ロイヤルチャージャー系,2,14,1東5,12,箱根特別･2勝,芝,2400,良,,池添,58.0,,6,92.8,6,2.1,5,6,6,6,6,37.43,34.5,4,レッドバンデ
6,,9,イモータルバード,牡,5,14,32.1, , 90,12,60,,*,中村将之,(美),栗田徹,レイデオロ,ブラックタイド,,ロイヤルチャージャー系,4,18,3中7,19,葛飾特別･2勝,ダ,1200,良,,原優,58.0,,10,57.1,11,1.6,11,,,8,8,35.50,36.9,13,ハヤテノツバサ
6,B,10,アンノウンウォリア,牡,7,11,16.5, , 95,8,60,,*,黒岩悠,(栗),平田修,マジェスティックウォリアー,ハーツクライ,,ロイヤルチャージャー系,4,19,2阪8,14,障害未勝利,障ダ,2970,良,B,小坂,60.0,,11,52.5,8,3.0,8,11,11,11,11,,13.9,,ネイチャーシップ
