レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052304010702,2026.5.23,土,新潟,1新7,2,,未勝利,ダート,1800,,4,不(暫定),曇(暫定),15,10:20,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ディジョネット,牝,3,12,106.5, , 86,15,52,▲,*,石田拓郎,(美),松山将樹,モーニン,プリサイスエンド,,ネイティヴダンサー系,2,10,1東4,初,新馬,ダ,1600,稍,,上里,52.0,▲,16,200.6,13,3.9,14,,,12,13,37.98,40.3,10,ステラデルークス
2,B,2,スマートコーラル,牝,3,1,1.2, ,115,1,53,△,,舟山瑠泉,(栗),石坂公一,マジェスティックウォリアー,ドリームジャーニー,,ロイヤルチャージャー系,5,2,1新1,3,未勝利・牝,ダ,1800,不,B,舟山,53.0,△,9,24.7,2,0.0,7,2,2,1,1,37.05,40.7,2,ミアルーチェ
2,,3,マッドヘッドラブ,牝,3,11,76.8, ,104,3,55,,*,武藤雅,(美),戸田博文,パイロ,コマンズ,ナスルーラ系,ニアークティック系,2,10,1東4,初,新馬,ダ,1600,稍,,岩田,55.0,,6,20.6,11,3.3,9,,,1,2,36.66,41.9,15,ステラデルークス
3,,4,ランランリンリン,牝,3,10,69.4, , 89,9,52,▲,,上里直汰,(美),辻哲英,モズアスコット,ディープインパクト,,ロイヤルチャージャー系,3,14,1名1,初,未勝利・若,芝,1600,良,,上里,52.0,▲,12,79.7,13,2.1,16,,15,15,15,36.96,34.7,11,ルージュリリック
3,,5,エレーデサンライズ,牝,3,2,8.3, ,104,3,53,◇,,永島まな,(栗),平田修,エピファネイア,Curlin,,ネイティヴダンサー系,4,26,1福6,3,未勝利・若,ダ,1700,良,,永島,53.0,◇,4,9.0,4,1.0,9,12,12,10,9,38.07,37.6,2,エリーニック
4,,6,メイショウミズホ,牝,3,13,124.8, , 88,12,52,▲,*,大久保友,(美),和田勇介,ダンカーク,ゴールドアリュール,,ロイヤルチャージャー系,3,21,2中7,連,未勝利,ダ,1800,良,,野中,55.0,,11,333.3,11,5.1,12,7,7,9,10,38.90,42.8,12,ビービーアジャイル
4,,7,オーシャンミューズ,牝,3,14,137.7, , 89,9,52,▲,*,石神深道,(美),堀内岳志,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,4,12,1福2,初,未勝利,ダ,1700,良,,上里,52.0,▲,11,132.7,13,5.0,13,13,13,13,13,38.35,40.4,13,イサチルシーキング
5,,8,ラミアスペランツァ,牝,3,3,15.6, ,102,6,55,,*,小沢大仁,(栗),宮地貴稔,キタサンブラック,Songandaprayer,,ネイティヴダンサー系,3,21,1名3,初,未勝利,芝,1400,良,,団野,55.0,,4,8.7,10,0.9,6,,,14,13,35.55,34.6,5,ペアレンツギフト
5,B,9,アジャイブ,牝,3,15,147.9, , 87,14,52,▲,*,遠藤汰月,(美),小笠倫弘,キセキ,ダイワメジャー,,ロイヤルチャージャー系,5,3,2東4,8,未勝利・牝,ダ,1600,稍,B,長浜,53.0,△,13,124.2,14,3.0,12,,,10,10,37.26,39.6,15,ブルーサーマル
6,,10,オコリンボーマミー,牝,3,6,28.6, , 95,8,53,◇,*,今村聖奈,(栗),石坂公一,キタサンブラック,ワークフォース,,ネイティヴダンサー系,5,10,1新4,14,未勝利・牝,芝,1800,良,,小沢,55.0,,13,124.4,12,1.3,11,,,2,2,37.45,35.5,12,ファストフォワード
6,,11,エリザベスタウン,牝,3,7,47.0, , 99,7,52,▲,*,小林美駒,(美),池上昌和,ホッコータルマエ,ディープインパクト,,ロイヤルチャージャー系,3,1,2中2,10,未勝利・牝,ダ,1800,稍,,原優,55.0,,9,71.7,11,2.8,9,5,6,5,5,37.65,42.7,11,ピュアエンブレム
7,,12,エバーウインド,牝,3,8,60.0, , 88,12,52,▲,*,和田陽希,(栗),藤野健太,レイデオロ,ディープインパクト,,ロイヤルチャージャー系,5,10,3京6,7,未勝利,芝,1600,良,,長岡,55.0,,13,247.0,15,2.0,12,,,8,12,35.70,35.6,15,パーシャングレー
7,,13,タガノアルテミス,牝,3,4,15.9, ,103,5,55,,*,丹内祐次,(栗),西園翔太,サンダースノー,コマンズ,,ニアークティック系,3,28,1名5,2,未勝利・牝,ダ,1800,稍,,高杉,55.0,,5,6.4,7,1.4,7,6,7,7,7,38.50,39.6,7,キタノサリスカ
8,,14,エロイーズ,牝,3,9,64.9, , 89,9,55,,*,西塚洸二,(栗),吉田直弘,ラブリーデイ,クロフネ,,ニアークティック系,1,24,1京8,7,未勝利,芝,1400,良,,岩田,55.0,,12,103.8,16,2.3,9,,,12,13,35.85,36.5,17,メルメラーダ
8,,15,ウェルム,牝,3,5,17.3, ,109,2,55,,*,ゴンサル,(栗),小栗実,スワーヴリチャード,Pivotal,,ニアークティック系,3,15,1名2,2,未勝利,ダ,1400,良,,ディ,55.0,,4,8.0,6,1.4,11,,,5,5,36.00,38.4,8,タイセイモノリス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052304010703,2026.5.23,土,新潟,1新7,3,,未勝利,ダート,1200,,2,不(暫定),曇(暫定),15,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マイネルテオドロス,牡,3,6,12.3, ,106,7,54,▲,*,石神深道,(美),菊川正達,ダノンバラード,アグネスデジタル,,ネイティヴダンサー系,5,3,2東4,3,未勝利,ダ,1400,稍,,高杉,57.0,,8,30.3,5,0.8,6,,,2,2,36.45,37.8,9,レピュニット
2,,2,サリーアン,牡,3,4,6.5, ,109,5,54,▲,*,小林美駒,(美),鈴木伸尋,ダノンプレミアム,ヘニーヒューズ,,,5,9,2東5,2,未勝利,ダ,1300,良,,横山,57.0,,6,21.6,4,1.3,8,,,9,7,36.51,38.4,7,ショコラキュイ
2,,3,オッピポイカ,牡,3,13,62.0, , 97,11,57,,*,菅原隆一,(美),鈴木慎太,ダノンレジェンド,ブラックタイド,,ロイヤルチャージャー系,1,12,1中5,2,未勝利,ダ,1200,良,,菊沢,57.0,,11,89.6,10,2.0,6,,,16,16,37.20,37.6,3,アイスメルティング
3,,4,リオンアンサー,牝,3,15,88.3, , 94,12,55,,*,杉原誠人,(美),佐藤吉勝,リオンディーズ,ハービンジャー,,ニアークティック系,3,7,2中3,5,未勝利,ダ,1200,重,,柴田,55.0,,11,283.7,13,3.6,13,,,6,6,34.90,39.7,16,トヨサカエ
3,,5,シンクシビリティ,牝,3,14,76.5, , 89,14,51,★,,河原田菜,(美),青木孝文,ミスチヴィアスアレックス,クロフネ,,ニアークティック系,3,22,1名4,7,未勝利,ダ,1400,良,,河原,51.0,★,16,379.8,11,2.7,9,,,7,9,35.70,40.2,13,スタームーンナイト
4,,6,サンライズロイ,牡,3,2,5.9, ,110,4,57,,*,丹内祐次,(栗),牧浦充徳,フォーウィールドライブ,ブライアンズタイム,,ロイヤルチャージャー系,5,2,3京3,2,未勝利,ダ,1200,重,,国分,57.0,,5,19.7,4,0.8,3,,,2,2,36.10,36.2,6,スターフュージョン
4,,7,ヒエンジョー,牡,3,11,25.2, , 91,13,55,△,*,柴田裕一,(栗),岡田稲男,ジャスタウェイ,ロードカナロア,,,9,28,4阪9,初,新馬,芝,1400,良,,国分,55.0,,12,50.2,17,1.2,6,,,17,16,37.58,35.4,9,プレダトゥール
5,,8,クリコファルコン,牡,3,3,6.3, ,112,2,55,◇,*,永島まな,(栗),谷潔,アジアエクスプレス,ゴールドヘイロー,,ロイヤルチャージャー系,5,2,3京3,3,未勝利,ダ,1200,重,,菱田,57.0,,3,13.6,3,0.7,4,,,7,7,36.40,35.8,4,スターフュージョン
