レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ウレシイゴサン,牡,3,4,8.5, , 99,8,57,,*,嶋田純次,(美),伊藤大士,ベンバトル,ストーミングホーム,,ネイティヴダンサー系,10,13,4東5,2,未勝利*,芝,1400,良,,杉原,56.0,,4,14.9,8,0.8,5,,,4,5,36.08,34.7,6,シャオママル
1,,2,ブライティアロード,牝,3,12,54.3, ,105,5,52,▲,,石神深道,(美),和田正一,ダノンスマッシュ,エンパイアメーカー,,ネイティヴダンサー系,2,1,1小4,初,新馬,芝,1200,良,,石神,52.0,▲,5,12.4,10,1.5,14,,,15,13,35.50,34.6,4,ケイアイクウガ
2,,3,グランフォワイエ,牡,3,16,102.6, , 84,15,54,▲,*,上里直汰,(美),室井潔,ロゴタイプ,ヴィクトワールピサ,,ロイヤルチャージャー系,12,14,5中4,7,未勝利*,芝,1200,良,,石田,53.0,▲,13,233.2,16,2.5,12,,,5,13,35.10,37.5,16,ニルマーネル
2,,4,アンコ,牝,3,14,66.7, , 90,12,52,▲,*,石田拓郎,(栗),武英智,フィレンツェファイア,ジャングルポケット,,ナスルーラ系,1,18,1京7,3,未勝利,ダ,1400,良,,高倉,55.0,,11,69.4,15,4.0,12,,,4,7,36.23,42.0,15,カフジクロミエ
3,,5,ピコバレット,牡,3,8,22.0, ,  0,,55,,,富田暁,(美),牧光二,"Stay Inside",Burgundy,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ウインラブソング,牝,3,13,63.7, , 92,11,52,▲,,川端海翼,(栗),宮徹,ウインブライト,ロージズインメイ,,ロイヤルチャージャー系,2,10,2京4,初,新馬,芝,1600,良,,川端,52.0,▲,9,44.3,13,1.9,16,,,10,11,38.04,35.4,9,エレガンスアスク
4,,7,ドゥボヌール,牝,3,7,16.5, ,103,6,52,▲,*,和田陽希,(栗),奥村豊,モーリス,ヴィクトワールピサ,,ロイヤルチャージャー系,1,25,1小2,初,新馬,芝,1200,良,,松本,54.0,☆,9,43.8,8,1.2,9,,,3,4,34.60,35.0,11,エンプレスケー
4,,8,シンデレラリバティ,牝,3,15,78.0, , 94,10,52,▲,*,遠藤汰月,(美),蛯名利弘,タリスマニック,トーセンホマレボシ,,ロイヤルチャージャー系,2,15,1小8,9,未勝利,芝,1200,稍,,嶋田,55.0,,17,248.1,9,1.1,13,,,7,9,34.10,36.1,13,エバーラスト
5,,9,ゲンテン,牡,3,3,8.3, ,110,4,57,,*,ゴンサル,(美),尾関知人,シルバーステート,"Tiz Wonderful",,マンノウォー系,5,16,2東7,9,未勝利,ダ,1300,良,,戸崎,57.0,,3,3.9,4,0.6,3,,,6,5,36.60,37.3,9,アヴァランチ
5,,10,マイネルユーゲント,牡,3,2,4.1, ,122,1,54,▲,,小林美駒,(美),加藤士津,インディチャンプ,サクラバクシンオー,,ナスルーラ系,5,9,1新3,3,未勝利・若,芝,1200,良,,小林,54.0,▲,1,3.1,3,0.3,1,,,1,1,33.50,37.0,14,ソードスレイプニル
6,B,11,リュウセイコウテイ,牡,3,5,8.7, ,112,2,57,,,丹内祐次,(美),奥平雅士,ウインブライト,スキャン,,ネイティヴダンサー系,5,16,1新5,11,未勝利,芝,1000,良,B,丹内,57.0,,3,8.4,2,0.7,9,,,,4,33.75,33.1,5,アカウフリューゲル
6,,12,ソワンドヴィクター,牝,3,6,11.2, ,102,7,55,,,丸田恭介,(美),高橋文雅,アメリカンペイトリオット,トーセンロレンス,,,4,26,1福6,2,未勝利・牝,芝,1200,良,,丸田,55.0,,12,84.2,4,0.3,12,,,8,7,35.40,34.1,3,カレンデュラ
7,B,13,ハルヒメ,牝,3,1,3.2, ,111,3,53,△,*,舟山瑠泉,(美),矢嶋大樹,マインドユアビスケッツ,ステイゴールド,,ロイヤルチャージャー系,5,9,1新3,10,未勝利・若,芝,1200,良,B,長浜,54.0,☆,9,20.1,2,0.0,9,,,2,2,33.70,36.5,9,ソードスレイプニル
