レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053105021201,2026.5.31,日,東京,2東C,1,,未勝利,ダート,1600,,2,良(暫定),晴(暫定),16,09:40,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ベアエクスプレス,牝,3,16,136.8, , 89,13,55,,*,松岡正海,(美),柄崎将寿,アジアエクスプレス,リンカーン,,ロイヤルチャージャー系,5,9,2東5,初,未勝利,ダ,1600,良,,黛弘,55.0,,12,301.7,13,3.3,15,,,15,15,38.10,38.3,10,アンシュウマト
1,,2,アーティラリー,牝,3,5,15.6, ,108,5,55,,*,ゴンサル,(美),松山将樹,ホッコータルマエ,ゴールドアリュール,,ロイヤルチャージャー系,5,2,1新1,3,未勝利・牝,ダ,1800,不,,菊沢,55.0,,6,8.9,4,1.2,1,6,5,4,4,37.35,41.3,5,ミアルーチェ
2,B,3,レディソフィア,牝,3,6,20.7, , 96,9,53,△,*,舟山瑠泉,(美),小笠倫弘,ニューイヤーズデイ,タニノギムレット,,ロイヤルチャージャー系,5,10,2東6,7,未勝利・牝,ダ,1600,良,B,西塚,55.0,,14,110.7,5,0.9,15,,,1,1,37.20,38.8,9,サファイアテソーロ
2,B,4,トラストレガート,牝,3,8,26.4, , 98,8,55,,,菅原明良,(美),高橋文雅,マクフィ,Tobougg,,ニアークティック系,5,10,2東6,5,未勝利・牝,ダ,1600,良,,菅原,55.0,,9,25.9,6,0.9,6,,,11,10,37.74,37.9,5,サファイアテソーロ
3,,5,エリカビアリッツ,牝,3,1,2.2, ,123,1,55,,,レーン,(美),堀宣行,キズナ,"War Front",,ニアークティック系,4,25,2東1,34,未勝利・牝,ダ,1600,稍,,レー,55.0,,1,1.8,2,0.3,4,,,10,5,36.48,38.5,2,リケアマカロニ
3,,6,フローレスカラーズ,牝,3,12,100.7, , 92,11,52,▲,*,佐藤翔馬,(美),高木登,ダノンレジェンド,スペシャルウィーク,,ロイヤルチャージャー系,3,14,2中5,3,未勝利・牝,ダ,1800,良,,丹内,55.0,,7,26.8,14,3.7,13,4,6,8,12,39.00,42.3,14,エコロストーム
4,,7,キミガハマ,牝,3,10,54.0, ,106,7,55,,,丹内祐次,(美),嘉藤貴行,ディーマジェスティ,フレンチデピュティ,,ニアークティック系,5,17,2東8,7,未勝利・牝,ダ,1600,良,,丹内,55.0,,7,16.8,5,1.6,3,,,9,8,37.14,38.4,5,ミライヘノティアラ
4,,8,パレホ,牝,3,15,115.5, , 86,14,55,,*,横山琉人,(美),中川公成,スワーヴリチャード,シニスターミニスター,,ナスルーラ系,4,11,3中5,初,未勝利・牝,ダ,1800,重,,吉田,55.0,,13,173.6,14,6.5,16,15,15,13,15,38.30,43.2,14,アスコットヴェール
5,,9,エフハリスト,牝,3,2,3.3, ,119,2,55,,,横山和生,(美),奥村武,ロードカナロア,Frankel,,ニアークティック系,5,3,2東4,4,未勝利・牝,ダ,1600,稍,,横山,55.0,,4,9.1,2,0.1,3,,,12,12,37.32,36.6,1,ブルーサーマル
5,,10,ヤマニンジェンナ,牝,3,14,104.0, ,  0,,55,,,野中悠太,(美),秋本大介,ストロングリターン,メジロマックイーン,,トゥルビヨン系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,サマースプラッシュ,牝,3,11,69.5, , 84,15,55,,*,菊沢一樹,(美),石栗龍彦,アポロケンタッキー,アポロキングダム,,ネイティヴダンサー系,4,19,3中8,5,１勝ｸﾗｽ*,芝,1600,良,,丸田,55.0,,10,281.7,10,4.1,10,,7,8,9,35.76,37.5,10,マーゴットブロー
6,,12,カスターニエ,牝,3,13,103.2, , 91,12,55,,*,原優介,(美),伊藤圭三,オルフェーヴル,プリサイスエンド,,ネイティヴダンサー系,4,11,3中5,2,未勝利・牝,ダ,1800,重,,佐藤,52.0,▲,12,125.3,10,3.8,11,5,5,5,8,37.75,41.6,10,アスコットヴェール
7,,13,ミツカネルナ,牝,3,9,41.9, , 96,9,52,▲,*,小林美駒,(美),鈴木伸尋,ミッキーロケット,ハービンジャー,,ニアークティック系,1,31,1東1,初,新馬,ダ,1400,良,,杉原,55.0,,11,98.3,6,1.1,16,,,10,9,38.63,37.3,4,ユキノグラス
