レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061302010101,2026.6.13,土,函館,1函1,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ヒャクレツケン,牡,3,12,85.1, , 89,15,53,★,*,河原田菜,(美),青木孝文,タリスマニック,ブラックタイド,,ロイヤルチャージャー系,4,5,3中4,3,未勝利,ダ,1800,不,,菊沢,57.0,,9,87.0,15,6.0,8,13,12,15,14,38.15,42.0,14,ミスターキャンベラ
1,,2,テリオスルミ,牝,3,9,42.5, ,105,6,52,▲,*,遠藤汰月,(美),高柳瑞樹,サトノダイヤモンド,タニノギムレット,,ロイヤルチャージャー系,2,21,1小9,11,未勝利・牝,芝,1200,良,,和田,52.0,▲,10,91.9,6,0.8,9,,,1,1,33.60,36.0,16,ムーンリットアイル
2,,3,ティスマイル,牝,3,15,298.0, , 90,14,55,,,黛弘人,(美),伊藤圭三,ウインブライト,スターリングローズ,,ネイティヴダンサー系,4,11,1福1,14,未勝利,芝,1200,良,,黛弘,55.0,,16,218.2,9,1.5,16,,,12,11,35.10,35.0,8,デンプシー
2,,4,スタンダールロマン,牝,3,16,596.0, , 97,13,55,,,松岡正海,(美),堀内岳志,キタサンブラック,"Rock of Gibraltar",,ニアークティック系,3,14,2中5,17,未勝利,芝,1600,良,,松岡,55.0,,8,46.1,13,1.8,8,,1,2,2,35.28,37.0,15,ホウオウギンガ
3,,5,ジャーナーリア,牡,3,4,6.6, ,118,1,57,,*,古川吉洋,(栗),本田優,サートゥルナーリア,ダイワメジャー,,ロイヤルチャージャー系,5,23,1新7,2,未勝利,ダ,1200,稍,,丸山,57.0,,1,1.8,3,0.8,1,,,1,1,34.60,38.4,10,アイアンナックル
3,,6,コスモファーブロス,牝,3,3,5.6, ,109,4,55,,*,横山武史,(栗),吉田直弘,シスキン,ハーツクライ,,ロイヤルチャージャー系,5,23,3京9,4,未勝利,芝,1200,良,,戸崎,55.0,,7,17.2,4,0.1,5,,,12,13,35.00,33.5,1,ヤマニンフェイエル
4,,7,アルサック,牝,3,2,5.4, ,115,2,55,,*,丹内祐次,(栗),柴田卓,シルバーステート,キングカメハメハ,,ネイティヴダンサー系,3,1,1小C,連,未勝利,ダ,1000,稍,,松若,55.0,,2,4.4,5,1.7,2,,,2,2,33.75,37.0,9,ファンシーフリル
4,,8,シーシェル,牝,3,11,74.5, ,101,11,53,△,*,柴田裕一,(美),武藤善則,アドマイヤマーズ,クロフネ,,ニアークティック系,3,14,2中5,7,未勝利,ダ,1200,良,,武藤,55.0,,8,52.2,7,1.4,14,,,3,4,34.30,38.9,10,ミルトハーバー
5,,9,ニシノマーレ,牝,3,1,2.5, ,112,3,52,▲,*,小林美駒,(美),伊藤大士,ダノンプレミアム,キングカメハメハ,,ネイティヴダンサー系,5,23,1新7,4,未勝利,芝,1400,稍,,菊沢,55.0,,4,7.9,4,0.1,5,,,1,1,35.63,35.9,9,ミスターマーボー
5,,10,ディーズメンフィス,牝,3,13,99.3, ,105,6,53,△,*,舟山瑠泉,(美),村田一誠,Sottsass,Awtaad,,,4,19,3中8,7,未勝利,ダ,1200,良,,横山,55.0,,5,14.4,8,2.1,3,,,5,4,34.70,38.4,12,ソニックブレイカー
6,,11,ハナイロマヒナ,牝,3,7,15.2, , 99,12,55,,*,北村友一,(栗),高橋亮,ロゴタイプ,トビーズコーナー,,その他のエクリプス系,1,31,1小3,7,未勝利・若,芝,1200,良,,田山,52.0,▲,5,7.4,13,0.8,10,,,4,5,34.00,35.3,15,カシノリアーナ
6,,12,デルマハルナ,牝,3,14,149.0, ,  0,,53,△,,鷲頭虎太,(美),天間昭一,ディーマジェスティ,サウスヴィグラス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ヨドノサファイア,牝,3,5,11.9, ,106,5,55,,*,荻野極,(美),稲垣幸雄,ジャスタウェイ,バゴ,,ナスルーラ系,12,28,5中8,7,未勝利*,芝,1200,良,,横山,55.0,,7,16.1,5,0.5,4,,,3,3,34.00,35.6,10,ニシノセイドウ
7,,14,ソレイユルヴァン,牝,3,10,42.5, ,102,10,55,,*,小沢大仁,(栗),辻野泰之,シスキン,ディープインパクト,,ロイヤルチャージャー系,2,10,2京4,初,新馬,芝,1600,良,,松山,55.0,,4,7.5,10,1.8,1,,,3,4,37.74,35.8,13,エレガンスアスク
8,,15,テンユウ,牡,3,6,12.9, ,104,9,57,,,岩田康誠,(美),奥村武,サートゥルナーリア,ダイワメジャー,,ロイヤルチャージャー系,4,11,3中5,9,未勝利,芝,1600,良,,岩田,57.0,,4,8.7,7,0.8,2,,5,7,6,36.06,35.3,9,シヴィータス
8,,16,ティンクルバレット,牝,3,8,35.0, ,105,6,55,,*,池添謙一,(栗),池添学,ミッキーアイル,Vindication,,ナスルーラ系,3,28,2阪1,7,未勝利・牝,ダ,1200,稍,,北村,55.0,,3,9.3,10,2.1,7,,,2,3,35.00,39.2,15,ゴールドヴィーナス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061302010102,2026.6.13,土,函館,1函1,2,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:35,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ワンダーアスク,牝,3,5,12.1, , 98,11,55,,,川又賢治,(栗),笹田和秀,オルフェーヴル,デヒア,,ニアークティック系,4,5,2阪4,2,未勝利・牝,ダ,1400,重,,川又,55.0,,11,64.1,6,0.7,8,,,12,11,36.08,36.7,2,ジーティーアリア
2,,2,コウソクユノ,牝,3,13,48.6, ,113,3,55,,*,横山武史,(美),中舘英二,ブリックスアンドモルタル,キングカメハメハ,,ネイティヴダンサー系,4,11,3中5,3,未勝利・牝,ダ,1800,重,,原優,55.0,,4,10.2,3,2.0,3,5,5,2,2,37.60,40.1,5,アスコットヴェール
3,,3,ベルラフィネ,牝,3,3,7.8, ,102,9,55,,*,小沢大仁,(栗),岡田稲男,ドレフォン,ゴールドアリュール,,ロイヤルチャージャー系,2,14,2京5,3,未勝利・牝,ダ,1800,稍,,田口,55.0,,6,14.0,7,2.7,8,5,4,4,3,38.45,41.7,10,リーチグローリー
3,B,4,スマートコーラル,牝,3,10,40.5, ,114,2,51,★,*,河原田菜,(栗),石坂公一,マジェスティックウォリアー,ドリームジャーニー,,ロイヤルチャージャー系,5,23,1新7,3,未勝利・牝,ダ,1800,稍,B,舟山,53.0,△,1,2.3,5,0.8,1,2,2,2,2,38.25,40.3,6,ウェルム
