レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010201,2026.6.14,日,函館,1函2,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,09:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シバノパージャン,牡,3,13,91.0, , 89,12,57,,*,小沢大仁,(栗),牧田和弥,シスキン,ネオユニヴァース,,ロイヤルチャージャー系,4,12,2阪6,初,未勝利,芝,1600,良,,田口,57.0,,17,304.0,15,2.2,16,,,9,10,35.52,36.6,14,ララファキュルテ
1,,2,アゲンストオッズ,牝,3,2,4.4, ,102,8,55,,*,斎藤新,(美),斎藤誠,キタサンブラック,アドマイヤムーン,,ネイティヴダンサー系,3,22,1名4,10,未勝利,芝,1600,良,,横山,55.0,,3,10.1,13,1.6,13,,2,2,2,35.40,36.5,15,エンヴェロップ
2,,3,サンエンジェルス,牝,3,4,8.2, ,104,3,55,,,浜中俊,(栗),谷潔,カリフォルニアクローム,ダイワメジャー,,ロイヤルチャージャー系,4,4,2阪3,3,未勝利,芝,1400,良,,浜中,55.0,,9,36.4,6,0.5,9,,,7,7,35.18,35.2,9,マイティキングダム
2,,4,ハイバーニアン,牡,3,15,125.5, , 87,15,56,☆,*,長浜鴻緒,(美),高橋文雅,タリスマニック,ハーツクライ,,ロイヤルチャージャー系,4,11,3中5,8,未勝利,ダ,1200,重,,吉田,57.0,,14,195.4,15,2.8,13,,,8,9,34.60,39.1,15,ラベンダーヘイズ
3,,5,ミルトメロディー,牝,3,6,11.0, ,106,2,51,★,,河原田菜,(美),青木孝文,インディチャンプ,アイルハヴアナザー,,ネイティヴダンサー系,5,16,1新5,連,未勝利,芝,1000,良,,河原,51.0,★,5,19.6,3,0.9,4,,,,2,33.45,33.5,10,アカウフリューゲル
3,B,6,ヴェンデボヌール,牡,3,3,7.0, ,103,5,57,,*,佐々木大,(美),久保田貴,ダノンスマッシュ,ネオユニヴァース,,ロイヤルチャージャー系,3,21,1名3,17,未勝利,芝,1400,良,,斎藤,57.0,,7,25.4,14,1.5,4,,,2,2,34.58,36.5,17,ペアレンツギフト
4,,7,コシタンタン,牝,3,8,16.1, ,104,3,52,▲,,小林美駒,(美),竹内正洋,フォーウィールドライブ,ロードカナロア,,,2,1,1小4,初,新馬,芝,1200,良,,小林,52.0,▲,8,25.3,6,0.9,10,,,4,3,34.40,35.1,8,ケイアイクウガ
4,,8,ルナノーヴァ,牡,3,10,25.1, ,103,5,57,,*,池添謙一,(栗),緒方努,ダノンレジェンド,キタサンブラック,,,2,1,2京2,3,未勝利,ダ,1200,良,,高杉,57.0,,7,33.3,6,1.3,10,,,7,7,37.30,37.7,7,ジャスパーメルチェ
5,B,9,マテンロウブリッジ,セ,3,7,15.7, , 89,12,57,,*,横山和生,(栗),昆貢,サトノクラウン,サンデーサイレンス,,ロイヤルチャージャー系,1,5,1京2,4,未勝利,芝,1600,良,,横山,57.0,,11,104.8,13,2.2,14,,,10,13,36.48,36.7,13,ベルサンローラン
5,,10,ニシノオールワン,牝,3,1,3.9, ,110,1,55,,*,鮫島克駿,(美),加藤征弘,ミッキーアイル,"Dawn Approach",,,3,29,1名6,13,未勝利,芝,1200,良,,三浦,55.0,,8,43.1,4,0.5,7,,,9,10,35.10,34.2,4,メローネ
6,,11,デルマアサマ,牡,3,16,130.8, , 88,14,57,,*,黛弘人,(栗),森田直行,サトノクラウン,ロサード,,ロイヤルチャージャー系,3,22,1名4,初,未勝利,ダ,1400,良,,松若,57.0,,13,173.6,13,3.6,13,,,12,12,36.23,40.4,14,スタームーンナイト
6,,12,ビップアリス,牝,3,14,102.9, , 99,9,55,,*,小崎綾也,(栗),松下武士,インディチャンプ,ハービンジャー,,ニアークティック系,3,29,1名6,21,未勝利,芝,1200,良,,酒井,55.0,,14,241.5,11,1.3,12,,,4,4,34.70,35.4,15,メローネ
7,,13,カガラプンツェル,牝,3,5,8.5, , 99,9,55,,,原田和真,(美),萱野浩二,タワーオブロンドン,ダイワメジャー,,ロイヤルチャージャー系,5,16,2東7,10,未勝利,芝,1400,良,,原田,55.0,,15,187.1,5,0.9,8,,,9,9,35.33,34.1,6,エラルディーク
7,,14,フリーダムスタイル,牝,3,11,34.1, , 97,11,55,,*,吉田隼人,(栗),森田直行,ダノンスマッシュ,ディープインパクト,,ロイヤルチャージャー系,3,15,1名2,21,未勝利,芝,1400,良,,松本,55.0,,11,47.5,15,1.6,9,,,2,2,34.35,36.9,16,タイキプレジール
8,,15,マメーアップル,牝,3,9,21.2, ,103,5,55,,*,横山琉人,(美),岩戸孝樹,マテラスカイ,キングカメハメハ,,ネイティヴダンサー系,4,4,3中3,4,未勝利・牝,ダ,1200,稍,,小林,52.5,▲,8,25.6,7,2.2,6,,,2,2,35.10,39.2,13,カンレイスター
8,,16,アルマフレイヤ,牝,3,12,48.6, ,  0,,52,▲,,遠藤汰月,(美),伊藤伸一,オルフェーヴル,メジロベイリー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010202,2026.6.14,日,函館,1函2,2,,未勝利,ダート,1700,,4,稍(暫定),晴(暫定),14,10:15,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ライヴマルガリータ,牝,3,9,54.1, , 97,9,55,,*,富田暁,(美),牧光二,モズアスコット,サムライハート,,ロイヤルチャージャー系,5,3,2東4,3,未勝利・牝,ダ,1600,稍,B,石橋,55.0,,11,46.1,11,1.7,6,,,3,4,36.66,39.3,14,ブルーサーマル
2,,2,ホワイトラバーズ,牝,3,10,55.8, , 91,11,55,,*,国分恭介,(栗),大根田裕,ディーマジェスティ,クロフネ,,ニアークティック系,5,16,3京7,2,未勝利,ダ,1800,良,,幸英,55.0,,10,142.8,7,1.3,11,10,10,10,10,38.55,37.6,4,ゴールドコット
3,,3,マルシュボヌール,牝,3,5,7.7, ,110,5,53,△,,舟山瑠泉,(栗),柴田卓,ドレフォン,オルフェーヴル,,,4,19,1福4,3,未勝利,ダ,1700,良,,舟山,53.0,△,7,19.0,3,1.1,9,5,5,5,5,37.36,38.9,4,アラクラン
4,,4,ダンツアラーム,牝,3,8,33.3, ,104,8,52,▲,*,遠藤汰月,(栗),本田優,リアルスティール,ノヴェリスト,,その他のエクリプス系,5,23,3京9,連,未勝利・牝,芝,1800,良,,太宰,55.0,,8,21.6,9,1.1,6,,,2,2,35.15,37.0,11,エトワールブーケ
5,,5,サトノフレイ,牡,3,1,3.6, ,116,2,54,▲,*,小林美駒,(栗),友道康夫,サートゥルナーリア,"Closing Argument",,マンノウォー系,5,17,3京8,2,未勝利,ダ,1400,良,,岩田,57.0,,2,3.3,3,0.5,2,,,3,3,35.63,37.9,5,ジャカルタバオ
6,,6,キタノオンザバス,牝,3,11,68.6, , 92,10,55,,*,原田和真,(美),蛯名利弘,シュヴァルグラン,Singspiel,,ニアークティック系,5,24,1新8,15,未勝利・牝,ダ,1200,稍,,上里,52.0,▲,14,674.3,9,1.3,12,,,13,13,36.30,37.5,1,アーガイルショア
6,B,7,テリコス,牡,3,7,10.9, ,115,3,57,,,岩田康誠,(栗),四位洋文,ダイワメジャー,"Stormy Atlantic",ロイヤルチャージャー系,ニアークティック系,5,16,1新5,2,未勝利,ダ,1800,良,B,岩田,57.0,,5,17.4,2,0.2,8,1,1,1,1,38.10,38.6,4,ボールドタワー
7,B,8,ペガサスウィンド,牝,3,6,10.4, ,110,5,55,,*,鮫島克駿,(栗),宮地貴稔,マインドユアビスケッツ,ハーツクライ,,ロイヤルチャージャー系,4,18,2阪7,8,未勝利・牝,ダ,1800,良,,吉村,55.0,,4,7.8,5,1.2,3,5,5,6,5,38.75,38.4,6,アグレイビューティ
7,,9,ユマハム,牡,3,2,4.1, ,114,4,57,,*,横山和生,(美),田中博康,コントレイル,"Rainbow Quest",,ナスルーラ系,5,3,2東4,7,未勝利,芝,1800,良,,三浦,57.0,,4,7.0,3,0.5,5,,1,1,1,36.60,34.8,11,オメガディコン
8,,10,ストロングボーイ,牡,3,4,6.8, ,122,1,57,,*,荻野琢真,(栗),野中賢二,アスクピーターパン,シンボリクリスエス,,ロイヤルチャージャー系,5,16,1新5,3,未勝利,ダ,1800,良,,西塚,57.0,,1,2.6,3,0.2,1,14,15,8,8,38.05,38.4,1,ハイロード
8,,11,セスティーナ,セ,3,3,5.3, ,107,7,57,,*,佐々木大,(栗),須貝尚介,マインドユアビスケッツ,ネオユニヴァース,,ロイヤルチャージャー系,5,10,3京6,2,未勝利,ダ,1900,良,,田山,55.0,△,1,1.4,8,1.0,1,2,2,2,2,38.26,39.2,8,カイラーサ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010203,2026.6.14,日,函館,1函2,3,,未勝利,ダート,1000,,2,稍(暫定),晴(暫定),12,10:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ビタミンドロップ,牡,3,6,11.5, ,106,3,55,△,*,舟山瑠泉,(美),松山将樹,エスポワールシチー,スターリングローズ,,ネイティヴダンサー系,4,18,3中7,2,未勝利,ダ,1200,良,,野中,57.0,,3,7.0,7,1.0,4,,,2,2,35.50,37.8,10,ベアゴーフォー
2,,2,ホウオウバトラー,牡,3,9,43.2, , 95,9,56,☆,*,長浜鴻緒,(美),尾形和幸,ダノンバラード,バトルプラン,,ネイティヴダンサー系,3,1,1小C,16,未勝利,ダ,1000,稍,,斎藤,57.0,,12,109.5,10,2.3,11,,,12,9,35.40,36.5,7,ファンシーフリル
3,,3,タマモキャロル,牝,3,11,60.4, , 99,7,55,,*,小崎綾也,(栗),井上智史,シャンハイボビー,サウスヴィグラス,,ネイティヴダンサー系,4,12,2阪6,3,未勝利,ダ,1200,稍,,吉村,55.0,,11,76.1,8,1.3,12,,,5,5,36.10,37.6,10,ミスヘンリー
4,,4,ヒューザー,牡,3,8,24.0, , 97,8,55,◇,*,古川奈穂,(栗),小林真也,ヘニーヒューズ,アイルハヴアナザー,,ネイティヴダンサー系,4,11,1福1,13,未勝利,ダ,1150,良,,森田,54.0,▲,13,125.9,8,1.4,10,,,12,12,37.09,36.8,2,ベルゼビュート
5,,5,ライトニングロッド,牝,3,7,19.7, ,107,2,55,,*,横山琉人,(栗),高橋義忠,サンダースノー,"Mark of Esteem",,ナスルーラ系,3,21,1名3,4,未勝利・牝,ダ,1200,良,,川田,55.0,,4,6.6,9,1.4,3,,,1,1,35.50,39.1,10,ヴェルジーネ
5,,6,スマートイデアル,牝,3,10,53.3, , 95,9,55,,*,小沢大仁,(栗),角田晃一,イスラボニータ,ロードカナロア,,,4,11,1福1,8,未勝利,ダ,1150,良,,石田,52.0,▲,10,66.8,10,1.5,15,,,6,6,35.35,38.5,14,ベルゼビュート
6,,7,ルクソンライト,牡,3,2,5.0, ,106,3,54,▲,*,小林美駒,(美),伊藤圭三,パイロ,ディープインパクト,ナスルーラ系,ロイヤルチャージャー系,5,24,2東A,32,未勝利,ダ,1300,稍,,岩田,57.0,,7,30.7,4,1.0,11,,,1,1,34.89,39.3,11,アイムインディ
6,,8,セラサイト,牝,3,3,6.3, ,103,5,51,★,*,河原田菜,(栗),茶木太樹,クリソベリル,Ghostzapper,,ニアークティック系,5,16,3京7,3,未勝利・牝,ダ,1400,良,,吉村,55.0,,9,37.0,4,0.9,6,,,5,4,36.15,37.7,6,ルージュバロン
7,,9,エコロセレナ,牝,3,1,2.5, ,120,1,55,,,斎藤新,(美),斎藤誠,コントレイル,アドマイヤムーン,,ネイティヴダンサー系,5,17,1新6,4,未勝利・牝,ダ,1200,良,,斎藤,55.0,,1,2.7,3,0.3,1,,,3,3,35.00,38.0,5,マジンタクシー
7,,10,クインズスズラン,牝,3,5,8.8, , 95,9,55,,*,横山和生,(美),村田一誠,パイロ,シンボリクリスエス,ナスルーラ系,ロイヤルチャージャー系,4,12,3中6,2,未勝利,ダ,1200,稍,,横山,55.0,,8,40.0,12,2.1,4,,,13,13,35.40,38.3,8,ロードトライデント
8,,11,エトワールフィーユ,牝,3,4,7.3, ,103,5,53,◇,*,今村聖奈,(美),西田雄一,マインドユアビスケッツ,ブラックタイド,,ロイヤルチャージャー系,3,28,3中1,6,未勝利,ダ,1200,重,,上里,52.0,▲,10,130.0,6,1.4,8,,,3,3,34.30,38.4,10,マサノピンクレディ
