レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010401,2026.6.21,日,函館,1函4,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ソルトアイリス,牝,3,3,6.6, ,120,1,53,△,*,舟山瑠泉,(栗),四位洋文,アドマイヤマーズ,ルーラーシップ,,ネイティヴダンサー系,4,12,2阪6,3,未勝利,芝,1600,良,,武豊,55.0,,2,7.1,4,0.1,4,,,6,5,35.28,34.9,7,ララファキュルテ
1,,2,キミノナハオリョウ,牝,3,12,44.9, ,103,7,55,,*,国分恭介,(栗),千田輝彦,アドマイヤマーズ,フレンチデピュティ,,ニアークティック系,2,22,1小A,9,未勝利,芝,1200,良,,松本,55.0,,11,65.3,7,1.1,12,,,9,7,33.80,35.2,5,ロジケープ
2,,3,バレンタインビスタ,牝,3,1,3.4, ,115,3,55,,*,武豊,(美),蛯名正義,ロードカナロア,オルフェーヴル,,,3,15,1名2,3,未勝利,芝,1400,良,,松山,55.0,,1,3.3,7,0.5,1,,,4,4,34.50,35.6,10,タイキプレジール
2,B,4,スワトウ,牝,3,6,12.4, ,103,7,55,,*,小沢大仁,(栗),牧田和弥,アルアイン,"Empire Maker",,ネイティヴダンサー系,4,11,1福1,18,未勝利・牝,芝,1800,良,,松若,55.0,,6,12.9,7,0.5,3,13,12,7,6,36.10,35.9,6,サフランルージュ
3,,5,エビスディアーナ,牝,3,15,117.9, , 88,15,53,◇,*,古川奈穂,(美),加藤征弘,マジェスティックウォリアー,"Chief Seattle",,ナスルーラ系,4,18,3中7,12,未勝利・牝,ダ,1200,良,,ディ,55.0,,11,127.8,13,2.9,14,,,13,13,36.80,38.2,11,クアロアランチ
3,,6,クリーンブーケ,牝,3,8,14.7, , 96,12,55,,*,吉田隼人,(栗),荒川義之,シルバーステート,ロードカナロア,,,2,10,2京4,2,未勝利,ダ,1200,良,,酒井,55.0,,9,62.7,9,1.7,12,,,10,9,36.70,38.7,9,スリーコーズ
4,,7,ルージュフローラ,牝,3,5,11.0, ,109,4,55,,*,古川吉洋,(美),森一誠,モーリス,ディープインパクト,,ロイヤルチャージャー系,3,29,1名6,10,未勝利,芝,1200,良,,石神,52.0,▲,6,28.1,5,0.5,5,,,15,12,35.30,34.0,1,メローネ
4,,8,ファインコンダクト,牝,3,4,10.5, , 98,11,55,,*,横山武史,(美),久保田貴,ファインニードル,Henrythenavigator,,ネイティヴダンサー系,2,21,1東7,19,未勝利,芝,1600,良,,田辺,55.0,,8,25.5,12,1.9,4,,,3,3,35.82,36.3,15,マツリダイコ
5,,9,エコロアビス,牝,3,7,13.2, ,107,5,55,,*,丹内祐次,(栗),牧浦充徳,ロジャーバローズ,ブライアンズタイム,,ロイヤルチャージャー系,4,11,1福1,9,未勝利,ダ,1150,良,,斎藤,55.0,,4,7.0,7,1.1,4,,,4,3,35.13,38.3,13,ベルゼビュート
5,,10,スプリングドリーム,牝,3,9,14.8, ,103,7,55,,*,佐々木大,(美),加藤士津,モズアスコット,クロフネ,,ニアークティック系,4,19,1福4,4,未勝利,ダ,1150,良,,上里,52.0,▲,2,4.6,9,0.9,1,,,1,1,33.49,39.2,16,ヨドノティアラ
