レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010601,2026.6.28,日,函館,1函6,1,,未勝利,芝,1200,A,2,稍(暫定),晴(暫定),16,09:50,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,チカバリエンテ,牝,2,3,7.3, ,104,5,52,▲,,小林美駒,(栗),藤野健太,シルバーステート,エンパイアメーカー,,ネイティヴダンサー系,6,20,1函3,初,新馬・牝,芝,1200,良,,小林,52.0,▲,6,18.1,4,1.1,7,,,9,9,36.30,33.8,3,イモージェン
2,,2,パンジャケリー,牡,2,4,7.6, ,106,4,55,,*,岩田望来,(栗),橋田宜長,ディスクリートキャット,アサクサキングス,,ニアークティック系,6,14,1函2,初,新馬,芝,1000,良,,佐々,55.0,,2,4.2,4,0.8,1,,,2,3,36.30,34.3,5,セタキト
3,,3,ウィルレーヴィア,牡,2,7,67.1, , 85,8,55,,,横山琉人,(美),尾形和幸,トーセンレーヴ,ゴールドシップ,,,6,13,1函1,初,新馬,芝,1200,稍,,横山,55.0,,12,119.2,11,1.5,7,,,11,12,35.50,35.4,6,ダイメイビッグボス
4,,4,キセキノユニコーン,牡,2,1,1.8, ,111,2,53,◇,,古川奈穂,(美),伊坂重信,キセキ,スウェプトオーヴァーボード,,ネイティヴダンサー系,6,13,1函1,初,新馬,芝,1200,稍,,古川,53.0,◇,8,48.1,3,0.3,12,,,9,7,34.80,34.9,2,ダイメイビッグボス
5,,5,シークレットタワー,牡,2,5,8.9, ,109,3,55,,*,丹内祐次,(美),金成貴史,タワーオブロンドン,フェノーメノ,,,6,14,1函2,初,新馬,芝,1000,良,,古川,53.0,◇,1,2.7,3,0.7,5,,,4,5,36.45,34.1,3,セタキト
6,,6,ガーシュウィン,牡,2,8,78.3, , 88,7,51,★,*,河原田菜,(美),和田雄二,ロジャーバローズ,ファルブラヴ,,ニアークティック系,6,14,1函2,初,新馬,芝,1000,良,,舟山,53.0,△,5,13.8,8,2.8,3,,,8,8,37.50,35.5,8,セタキト
7,,7,ダイシンドラゴン,牡,2,2,3.5, ,118,1,55,,,佐々木大,(栗),高橋一哉,ビッグアーサー,ハーツクライ,,ロイヤルチャージャー系,6,13,1函1,初,新馬,芝,1200,稍,,佐々,55.0,,1,3.0,5,0.4,2,,,5,2,34.30,35.5,7,ダイメイビッグボス
8,,8,アイルドフルール,牝,2,6,28.3, , 98,6,55,,,北村友一,(栗),田中克典,ミッキーアイル,ゴールドアリュール,,ロイヤルチャージャー系,6,13,1函1,初,新馬,芝,1200,稍,,北村,55.0,,6,19.2,8,1.1,4,,,10,10,35.20,35.3,5,ダイメイビッグボス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010602,2026.6.28,日,函館,1函6,2,,未勝利,ダート,1700,,4,重(暫定),晴(暫定),14,10:20,,馬齢,３歳
