レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026070402010701,2026.7.4,土,函館,1函7,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,09:50,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,テイクケア,牝,2,7,24.6, , 86,9,55,,,横山琉人,(美),和田正一,ジャンダルム,ヘニーヒューズ,ロイヤルチャージャー系,,6,14,1函2,初,新馬,芝,1000,良,,横山,55.0,,8,39.4,5,0.9,2,,,6,5,36.60,34.2,4,セタキト
2,,2,アルテクィーン,牝,2,1,1.8, ,116,1,55,,,鮫島克駿,(栗),杉山晴紀,カラヴァッジオ,アドマイヤムーン,,ネイティヴダンサー系,6,13,1函1,初,新馬,芝,1200,稍,,鮫島,55.0,,4,6.1,2,0.3,10,,,2,2,34.10,35.6,8,ダイメイビッグボス
3,,3,ヌーンベルク,牝,2,2,2.9, ,113,2,55,,,横山武史,(美),武井亮,タワーオブロンドン,ハービンジャー,,ニアークティック系,6,27,1函5,初,新馬,芝,1200,稍,,横山,55.0,,3,3.9,3,0.1,2,,,1,1,34.40,35.5,4,アゴルディーノ
4,,4,イチゴワタアメ,牝,2,5,19.0, ,100,4,52,▲,,小林美駒,(美),中舘英二,マテラスカイ,ハービンジャー,,ニアークティック系,6,20,1函3,初,新馬,ダ,1000,良,,小林,52.0,▲,5,8.3,7,3.3,4,,,11,10,38.25,37.0,6,ノリヤンモーニン
5,,5,トーセンルルド,牝,2,4,12.8, , 98,5,55,,*,佐々木大,(美),杉浦宏昭,ハイランドリール,"Red Runner",,,6,21,1函4,初,新馬,芝,1200,良,,横山,55.0,,7,25.5,5,0.9,8,,,4,4,35.40,35.0,4,フェリチタ
6,,6,アズライトティアラ,牝,2,6,21.8, , 91,7,55,,,小沢大仁,(栗),浜田多実,ニューイヤーズデイ,アグネスタキオン,,ロイヤルチャージャー系,6,28,1函6,初,新馬,芝,1200,良,,小沢,55.0,,6,50.7,4,1.6,6,,,4,4,36.30,34.6,1,シグレ
7,,7,ショウナンカノア,牝,2,3,8.0, ,105,3,55,,,池添謙一,(栗),清水久詞,ドレフォン,キンシャサノキセキ,,ロイヤルチャージャー系,6,13,1函1,初,新馬,芝,1200,稍,,池添,55.0,,3,4.9,6,0.7,6,,,6,7,34.40,35.7,9,ダイメイビッグボス
8,,8,ゴートゥービッツン,牝,2,9,49.2, , 91,7,52,▲,,遠藤汰月,(美),伊藤伸一,ダノンスマッシュ,ハービンジャー,,ニアークティック系,6,21,1函4,初,新馬,芝,1200,良,,遠藤,52.0,▲,10,137.5,7,1.2,3,,,8,8,35.70,35.0,4,フェリチタ
8,,9,アイシテルヨナオミ,牝,2,8,39.7, , 94,6,55,,*,吉田隼人,(栗),畑端省吾,マインドユアビスケッツ,ハーツクライ,,ロイヤルチャージャー系,6,14,1函2,初,新馬,芝,1000,良,,今村,53.0,◇,4,4.5,7,1.3,6,,,4,3,36.45,34.7,7,セタキト
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026070402010702,2026.7.4,土,函館,1函7,2,,未勝利,芝,1800,A,4,良(暫定),晴(暫定),16,10:20,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ヒメヒオウギ,牝,3,5,9.2, ,101,8,51,★,*,河原田菜,(栗),中竹和也,コントレイル,ステイゴールド,,ロイヤルチャージャー系,6,14,1函2,5,未勝利,芝,2000,良,,柴田,53.0,△,11,97.5,4,0.3,5,6,5,6,5,36.13,35.6,3,エイカイコバチ
1,,2,デイズインザサン,牝,3,13,53.1, , 96,12,52,▲,,大久保友,(美),小野次郎,シルバーステート,ダンスインザダーク,,ロイヤルチャージャー系,6,20,1函3,5,未勝利,芝,2000,良,,大久,52.0,▲,12,103.6,5,0.9,11,15,15,9,8,36.64,34.9,3,ジャケットポケット
2,,3,トリニタリオ,牡,3,1,3.5, ,123,1,57,,*,横山和生,(美),勢司和浩,ウインブライト,ブラックタイド,,ロイヤルチャージャー系,6,14,1函2,4,未勝利,芝,1800,良,,斎藤,57.0,,2,3.9,2,0.0,9,7,7,4,4,36.80,35.0,3,ブランヴァンダイク
2,,4,ホウショウリュウ,牡,3,15,62.8, , 87,14,57,,,岩田康誠,(美),本間忍,アメリカンペイトリオット,シンボリクリスエス,,ロイヤルチャージャー系,6,14,1函2,25,未勝利,芝,1800,良,,岩田,57.0,,15,309.0,11,0.7,16,10,10,13,13,37.15,35.0,3,ブランヴァンダイク
3,,5,コワンニシタガウ,牡,3,3,6.0, ,107,4,57,,,武豊,(栗),庄野靖志,スワーヴリチャード,"Distorted Humor",,ネイティヴダンサー系,6,21,1函4,10,未勝利,芝,1800,良,,武豊,57.0,,6,13.3,7,0.3,6,7,7,7,8,36.50,35.6,6,ベアサナエチャン
3,,6,アウェイクネス,牝,3,16,86.3, , 96,12,53,△,*,鷲頭虎太,(栗),前川恭子,Frankel,Observatory,ニアークティック系,ネイティヴダンサー系,1,5,1京2,連,未勝利,芝,2000,良,,高杉,55.0,,9,63.1,12,1.2,12,8,10,10,10,37.29,36.5,13,タガノアルトゥーラ
4,B,7,スワトウ,牝,3,9,27.9, , 99,9,52,▲,*,和田陽希,(栗),牧田和弥,アルアイン,"Empire Maker",,ネイティヴダンサー系,6,21,1函4,10,未勝利・牝,芝,1200,良,B,小沢,55.0,,7,30.7,7,0.7,6,,,14,13,34.20,34.8,1,ファインコンダクト
4,,8,マイネルディザイア,牡,3,10,37.9, , 86,15,57,,*,丹内祐次,(美),室井潔,イスラボニータ,アグネスデジタル,,ネイティヴダンサー系,6,21,1函4,4,未勝利,芝,1800,良,,長浜,56.0,☆,13,117.8,14,1.3,8,13,13,8,11,36.55,36.5,16,ベアサナエチャン
5,,9,ヴァールザーゲン,牝,3,12,43.7, , 82,16,52,▲,*,小林美駒,(美),松山将樹,サトノダイヤモンド,スクリーンヒーロー,,ロイヤルチャージャー系,6,14,1函2,4,未勝利,芝,2000,良,,斎藤,55.0,,13,185.8,15,3.7,10,6,7,11,15,36.43,38.3,15,エイカイコバチ
5,B,10,ボーントゥラブユー,牝,3,4,9.0, ,102,7,55,,,横山琉人,(美),小笠倫弘,コントレイル,"Street Cry",,ネイティヴダンサー系,6,14,1函2,4,未勝利,芝,2000,良,,横山,55.0,,8,56.2,5,0.8,4,4,3,4,3,36.04,36.3,6,エイカイコバチ
6,,11,タイセイルビー,牝,3,14,55.7, , 99,9,55,,*,鮫島克駿,(美),千葉直人,サトノダイヤモンド,"Awesome Again",,ニアークティック系,6,20,1函3,2,未勝利,ダ,1700,良,,北村,55.0,,7,16.8,6,0.8,2,10,10,10,9,37.64,38.5,3,ミリオンアップ
6,,12,メイショウローゼ,牝,3,2,5.9, ,117,3,55,,,吉田隼人,(栗),本田優,ロジャーバローズ,タニノギムレット,,ロイヤルチャージャー系,6,20,1函3,6,未勝利・牝,芝,1800,良,,吉田,55.0,,3,8.1,2,0.3,3,11,10,11,8,35.90,35.7,1,ダーリンダーリン
7,,13,ユマハム,牡,3,6,10.3, ,106,5,56,☆,*,舟山瑠泉,(美),田中博康,コントレイル,"Rainbow Quest",,ナスルーラ系,6,14,1函2,6,未勝利,ダ,1700,良,,横山,57.0,,4,7.6,4,1.3,6,11,11,9,8,37.15,38.7,3,ストロングボーイ
7,,14,ワダツミ,牝,3,8,15.7, ,105,6,55,,,川又賢治,(栗),笹田和秀,セイウンコウセイ,"Sadler's Wells",,ニアークティック系,6,21,1函4,5,未勝利,芝,1800,良,,川又,55.0,,10,42.2,5,0.2,11,7,7,8,6,36.55,35.4,3,ベアサナエチャン
8,,15,エイシンリーガル,牡,3,11,42.6, , 99,9,57,,*,松本大輝,(栗),高橋康之,ルーラーシップ,フレンチデピュティ,ネイティヴダンサー系,ニアークティック系,6,13,3阪3,3,未勝利,芝,1800,良,,酒井,57.0,,11,134.1,6,0.6,7,,,7,7,35.20,36.1,5,ラパンドール
8,,16,ニシノマルガリート,牡,3,7,12.5, ,119,2,57,,,横山武史,(美),鈴木伸尋,フィレンツェファイア,チチカステナンゴ,,ナスルーラ系,5,17,2東8,3,未勝利,芝,1800,良,,横山,57.0,,6,33.9,2,0.1,8,,4,3,2,36.60,34.0,10,クカイリモク
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026070402010703,2026.7.4,土,函館,1函7,3,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:50,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ハスカップジャム,牝,3,10,30.1, , 93,11,54,☆,*,長浜鴻緒,(美),中舘英二,フィエールマン,"Fusaichi Pegasus",,ネイティヴダンサー系,6,6,3東1,16,未勝利,芝,2000,良,,丹内,55.0,,9,95.9,16,3.6,3,,3,3,3,36.64,37.7,16,イニスフェイル
2,B,2,マスカルポーネ,牝,3,8,16.6, ,100,7,54,☆,*,舟山瑠泉,(美),水野貴広,リオンディーズ,キズナ,,,6,7,3東2,4,未勝利,ダ,2100,良,B,武藤,55.0,,8,24.4,11,3.8,6,1,1,1,1,37.92,41.7,15,インナーパッション
3,,3,テリオスリコ,牝,3,12,97.1, , 91,12,55,,,古川吉洋,(栗),松下武士,ルーラーシップ,ハーツクライ,ネイティヴダンサー系,ロイヤルチャージャー系,6,20,1函3,連,未勝利,ダ,1700,良,,古川,55.0,,14,236.6,9,1.3,7,12,12,12,10,37.75,38.8,6,ミリオンアップ
4,B,4,ペガサスウィンド,牝,3,3,4.9, ,112,4,55,,,鮫島克駿,(栗),宮地貴稔,マインドユアビスケッツ,ハーツクライ,,ロイヤルチャージャー系,6,14,1函2,8,未勝利,ダ,1700,良,B,鮫島,55.0,,6,8.3,2,0.3,3,1,1,1,1,36.33,39.2,4,ストロングボーイ
5,,5,ラショナルポイント,牝,3,2,4.5, ,121,1,55,,,横山武史,(美),大竹正博,ダノンキングリー,"Awesome Gambler",,ネイティヴダンサー系,6,6,3東1,12,未勝利・牝,ダ,1600,稍,,横山,55.0,,1,1.8,3,0.2,1,,,9,9,36.96,37.3,1,ライトハウス
5,,6,ルージュリヴィエラ,牝,3,5,13.7, , 99,8,55,,*,横山和生,(美),嘉藤貴行,ニューイヤーズデイ,キングカメハメハ,,ネイティヴダンサー系,5,24,2東A,4,未勝利・牝,ダ,1400,稍,,ディ,55.0,,8,36.1,8,0.6,7,,,11,10,36.30,37.6,4,オテンバプリンセス
