レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071102010901,2026.7.11,土,函館,1函9,1,,未勝利,ダート,1000,,2,重(暫定),曇(暫定),12,09:50,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ラピッドテソーロ,牝,2,2,3.5, ,113,1,55,,,丹内祐次,(美),畠山吉宏,キタサンブラック,Speightstown,,ネイティヴダンサー系,6,20,1函3,初,新馬・牝,芝,1200,良,,丹内,55.0,,1,3.3,3,0.7,3,,,1,1,35.10,34.6,6,イモージェン
2,,2,タイガーストリート,牝,2,6,19.7, , 96,6,55,,,小沢大仁,(栗),大橋勇樹,フィレンツェファイア,ストリートセンス,,ネイティヴダンサー系,6,20,1函3,初,新馬・牝,芝,1200,良,,小沢,55.0,,7,48.8,8,2.0,1,,,2,2,35.20,35.8,9,イモージェン
3,,3,ラストモーメント,牡,2,9,46.7, , 90,9,55,,,古川吉洋,(栗),北出成人,ゴールドドリーム,タイキシャトル,,ロイヤルチャージャー系,6,21,1函4,初,新馬,芝,1200,良,,古川,55.0,,8,55.5,9,1.9,7,,,4,7,35.40,36.0,9,フェリチタ
4,,4,ブルドッグミトス,牝,2,5,19.6, , 88,11,54,☆,*,舟山瑠泉,(栗),安達昭夫,ブルドッグボス,エイシンフラッシュ,,,6,13,1函1,初,新馬,芝,1200,稍,,丹内,55.0,,11,77.3,12,2.2,11,,,2,5,34.20,37.4,12,ダイメイビッグボス
5,,5,クラウスーラ,牝,2,1,2.0, ,113,1,55,,,横山武史,(栗),小栗実,ニューイヤーズデイ,スクリーンヒーロー,,ロイヤルチャージャー系,6,20,1函3,初,新馬,ダ,1000,良,,横山,55.0,,1,3.3,2,0.9,6,,,3,3,36.15,36.0,2,ノリヤンモーニン
6,,6,セイウンコハルタ,牝,2,10,48.5, , 90,9,54,☆,,長浜鴻緒,(美),柄崎将寿,リーチザクラウン,キンシャサノキセキ,ロイヤルチャージャー系,ロイヤルチャージャー系,6,20,1函3,初,新馬・牝,芝,1200,良,,長浜,54.0,☆,9,67.2,9,2.2,5,,,2,3,35.20,36.0,10,イモージェン
6,,7,ウメヒナタ,牝,2,4,7.9, ,103,4,55,,,佐々木大,(栗),橋田宜長,デクラレーションオブウォー,"Milt's Overture",,ロイヤルチャージャー系,6,28,1函6,初,新馬,芝,1200,良,,佐々,55.0,,4,12.0,3,1.4,4,,,2,2,35.10,35.6,5,シグレ
7,,8,ベイビーブラザー,牡,2,7,33.4, , 99,5,55,,,吉田隼人,(栗),安達昭夫,ホットロッドチャーリー,ハーツクライ,,ロイヤルチャージャー系,6,20,1函3,初,新馬,ダ,1000,良,,吉田,55.0,,8,22.3,6,2.4,10,,,6,6,36.45,37.3,7,ノリヤンモーニン
7,,9,ロゼハイスクール,牝,2,8,43.4, , 92,8,53,◇,,古川奈穂,(栗),小崎憲,ミスチヴィアスアレックス,ワークフォース,,ネイティヴダンサー系,7,4,1函7,初,新馬,ダ,1000,良,,古川,53.0,◇,4,10.2,5,2.0,5,,,5,4,38.40,37.8,5,ダマスク
8,,10,ワイドウィンザー,牡,2,3,6.8, ,108,3,55,,,斎藤新,(栗),西園翔太,ワイドファラオ,アドマイヤマックス,,ロイヤルチャージャー系,6,20,1函3,初,新馬,ダ,1000,良,,斎藤,55.0,,7,20.2,3,1.5,7,,,2,2,35.85,36.8,4,ノリヤンモーニン
8,,11,カクシンゴールド,牡,2,11,51.2, , 96,6,51,★,*,河原田菜,(栗),中竹和也,マテラスカイ,ステイゴールド,,ロイヤルチャージャー系,6,20,1函3,初,新馬,ダ,1000,良,,柴田,53.0,△,6,12.2,9,3.6,8,,,3,7,36.15,38.7,10,ノリヤンモーニン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071102010902,2026.7.11,土,函館,1函9,2,,未勝利,ダート,1700,,4,重(暫定),曇(暫定),14,10:20,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シルフ,牝,3,6,11.8, , 97,13,52,▲,,和田陽希,(栗),藤野健太,ルヴァンスレーヴ,ヘニーヒューズ,,,6,27,1函5,41,未勝利・牝,ダ,1000,不,,和田,52.0,▲,12,93.8,4,1.1,12,,,8,8,35.85,35.0,2,マリブサーフ
2,,2,ワンダーアスク,牝,3,10,18.4, ,101,11,55,,,川又賢治,(栗),笹田和秀,オルフェーヴル,デヒア,,ニアークティック系,6,27,1函5,2,未勝利・牝,ダ,1700,重,,川又,55.0,,10,42.0,3,0.4,11,6,7,7,6,36.87,37.0,2,プリンセスアツコ
3,B,3,タガノシルフィー,牝,3,2,4.9, ,114,2,55,,,浜中俊,(栗),石橋守,モーニン,アイルハヴアナザー,,ネイティヴダンサー系,6,20,1函3,5,未勝利,ダ,1700,良,,浜中,55.0,,1,3.3,5,0.6,3,3,2,2,2,37.04,39.4,11,ミリオンアップ
3,,4,フレンチブラッサム,牝,3,7,12.2, ,111,5,55,,*,横山和生,(美),柄崎将寿,ホッコータルマエ,ゴールドアリュール,,ロイヤルチャージャー系,5,23,2東9,3,未勝利・牝,ダ,1600,重,,木幡,55.0,,4,11.1,4,0.5,4,,,7,8,36.78,37.5,6,サーロー
4,,5,コイバナ,牝,3,11,30.2, ,106,8,55,,*,岩田康誠,(栗),渡辺薫彦,モズアスコット,ルーラーシップ,,ネイティヴダンサー系,6,6,3阪1,11,未勝利・牝,ダ,1400,良,,田山,53.0,△,5,14.0,6,1.9,4,,,13,12,36.53,37.7,4,アクアアイ
4,,6,マーゴットクリュグ,牝,3,8,16.7, ,112,4,55,,,松本大輝,(栗),小林真也,ゴールドドリーム,ワイルドラッシュ,,ニアークティック系,6,20,1函3,7,未勝利・牝,ダ,1700,良,,松本,55.0,,9,36.0,2,0.1,12,6,5,4,4,37.31,38.4,4,コイタマチャン
5,,7,サラサチャチャチャ,牝,3,4,7.8, ,115,1,55,,,丹内祐次,(美),田中剛,ダノンスマッシュ,"High Yield",,ニアークティック系,6,20,1函3,12,未勝利・牝,ダ,1700,良,,丹内,55.0,,3,4.5,5,0.5,2,9,11,10,7,37.69,38.1,2,コイタマチャン
5,,8,メリオルヴィア,牝,3,5,10.0, ,103,9,55,,*,佐々木大,(栗),辻野泰之,ロードカナロア,Starspangledbanner,,,6,13,3阪3,3,未勝利・牝,ダ,1200,良,,西塚,55.0,,7,16.8,7,1.2,3,,,8,7,36.40,37.2,5,エイユーサクラ
6,,9,チカマヨルキーナ,牝,3,13,70.1, ,102,10,54,☆,*,長浜鴻緒,(栗),藤岡健一,ナダル,ハーツクライ,,ロイヤルチャージャー系,4,25,1福5,8,未勝利・牝,ダ,1700,良,,松本,55.0,,6,9.6,9,1.9,5,6,6,7,9,37.80,40.3,10,ゴールドドレッサ
6,B,10,ジーティービキニ,牝,3,1,3.9, ,114,2,55,,,北村友一,(栗),松下武士,キズナ,"Treasure Beach",,,5,3,3京4,2,未勝利・牝,ダ,1800,稍,B,北村,55.0,,2,4.3,6,0.9,1,2,2,2,2,37.65,39.3,10,レザーアンドレース
7,B,11,ウォータースパウト,牝,3,3,6.4, ,111,5,55,,*,横山武史,(美),小笠倫弘,ルヴァンスレーヴ,ハーツクライ,,ロイヤルチャージャー系,7,4,1函7,2,未勝利・牝,ダ,1700,良,B,国分,55.0,,4,12.8,3,0.4,4,6,7,6,4,37.42,38.5,3,ギンケイ
7,,12,ブエノスオプティマ,牝,3,9,18.0, ,111,5,55,,,横山琉人,(栗),高橋義忠,オルフェーヴル,グランデラ,,ニアークティック系,5,17,1新6,4,未勝利・牝,ダ,1800,良,,横山,55.0,,6,15.1,3,0.1,9,5,5,5,5,38.10,39.5,3,オーケーリアン
8,,13,サマースプラッシュ,牝,3,12,66.5, , 98,12,53,◇,*,古川奈穂,(美),石栗龍彦,アポロケンタッキー,アポロキングダム,,ネイティヴダンサー系,6,20,3東5,3,未勝利・牝,ダ,1600,不,,菊沢,55.0,,12,133.3,8,2.0,13,,,8,8,36.60,37.5,8,ダノンプレサージュ
8,B,14,ベッラモレーン,牝,3,14,81.5, , 94,14,53,△,*,鷲頭虎太,(美),矢野英一,アジアエクスプレス,エンパイアメーカー,,ネイティヴダンサー系,6,20,3東5,4,未勝利・牝,ダ,1600,不,B,石橋,55.0,,8,51.0,14,3.9,9,,,8,10,36.72,39.2,14,ダノンプレサージュ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071102010903,2026.7.11,土,函館,1函9,3,,未勝利,芝,1200,B,2,稍(暫定),曇(暫定),16,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,テンユウ,牡,3,4,6.5, ,112,3,57,,,岩田康誠,(美),奥村武,サートゥルナーリア,ダイワメジャー,,ロイヤルチャージャー系,6,13,1函1,9,未勝利,芝,1200,稍,,岩田,57.0,,5,8.1,3,0.5,2,,,12,10,35.30,33.7,1,ディーズメンフィス
1,,2,ハッピーローヴァー,牝,3,1,4.2, ,112,3,55,,,武豊,(栗),渡辺薫彦,リアルスティール,キンシャサノキセキ,,ロイヤルチャージャー系,6,20,1函3,8,未勝利,芝,1200,良,,武豊,55.0,,1,3.3,6,0.5,5,,,15,13,34.80,34.3,2,グランフィエルテ
2,,3,スピットブレイク,牡,3,7,17.5, ,107,5,57,,*,池添謙一,(美),新開幸一,モズアスコット,"Storm Cat",,ニアークティック系,5,30,2東B,14,未勝利,芝,1400,良,,津村,57.0,,5,14.8,8,0.7,5,,,8,6,35.33,34.6,11,ワディアルリヤハ
2,,4,ロンドンプライド,牝,3,8,20.8, ,100,10,51,★,*,河原田菜,(美),竹内正洋,リオンディーズ,ディープインパクト,,ロイヤルチャージャー系,5,10,2東6,2,未勝利,ダ,1400,良,,大野,55.0,,10,39.7,9,1.2,11,,,1,1,36.30,39.1,13,フルールサシェ
3,,5,スノーガーネット,牝,3,11,35.9, ,105,7,55,,,横山琉人,(栗),中尾秀正,フィレンツェファイア,アドマイヤムーン,,ネイティヴダンサー系,6,27,1函5,14,未勝利,芝,1200,重,,横山,55.0,,8,20.7,4,0.6,15,,,13,11,35.30,34.5,2,スイープセレニティ
3,,6,アルサック,牝,3,3,6.1, ,123,1,55,,,丹内祐次,(栗),柴田卓,シルバーステート,キングカメハメハ,,ネイティヴダンサー系,6,27,1函5,2,未勝利,芝,1200,重,,丹内,55.0,,1,2.8,3,0.2,14,,,3,3,34.50,34.9,5,スイープセレニティ
4,B,7,テイクマイハート,牝,3,10,31.0, ,104,8,54,☆,*,長浜鴻緒,(栗),森田直行,サートゥルナーリア,スウェプトオーヴァーボード,,ネイティヴダンサー系,6,20,1函3,8,未勝利,芝,1200,良,B,池添,55.0,,9,36.9,6,0.5,9,,,2,2,33.20,35.9,15,グランフィエルテ
4,B,8,アゲンストオッズ,牝,3,5,7.8, ,104,8,55,,,斎藤新,(美),斎藤誠,キタサンブラック,アドマイヤムーン,,ネイティヴダンサー系,6,14,1函2,12,未勝利,芝,1200,良,,斎藤,55.0,,1,3.6,15,1.5,6,,,2,2,33.90,36.1,15,カガラプンツェル
5,,9,ダノンルミエール,牝,3,9,23.1, , 95,13,54,☆,*,舟山瑠泉,(美),久保田貴,ダノンスマッシュ,ダイワメジャー,,ロイヤルチャージャー系,5,23,1新7,4,未勝利,芝,1400,稍,,今村,53.0,◇,6,11.4,12,1.2,2,,,10,11,36.00,36.5,12,ミスターマーボー
5,,10,クリオロゴールド,牡,3,2,4.9, ,114,2,57,,,横山武史,(美),高柳瑞樹,ロードカナロア,オルフェーヴル,,,6,20,1函3,9,未勝利,芝,1200,良,,横山,57.0,,2,4.4,5,0.3,4,,,8,8,34.00,34.9,4,グランフィエルテ
6,,11,ユナダイヤ,牝,3,15,114.9, , 91,15,55,,*,小沢大仁,(栗),岡田稲男,サトノクラウン,ダイワメジャー,,ロイヤルチャージャー系,5,10,3京6,2,未勝利,ダ,1200,良,,幸英,55.0,,15,236.3,9,1.1,16,,,11,10,35.90,37.5,7,ビサーロ
6,,12,トゥントゥントゥン,牡,3,16,123.3, , 98,12,57,,,嶋田純次,(美),手塚貴久,ダノンバラード,ロードカナロア,,,6,20,3東5,7,未勝利,ダ,1400,不,,嶋田,57.0,,10,102.2,9,1.6,16,,,4,4,36.23,37.4,11,ブルーミーティア
7,,13,ブルーハーツ,牡,3,14,98.1, , 88,16,57,,*,黛弘人,(美),勢司和浩,エポカドーロ,ネオユニヴァース,,ロイヤルチャージャー系,6,20,1函3,8,未勝利,芝,1200,良,,吉田,57.0,,15,89.8,11,0.7,15,,,12,13,34.40,34.9,4,グランフィエルテ
7,,14,ウインドトリック,牡,3,13,77.7, , 92,14,54,▲,,和田陽希,(栗),鈴木孝志,エイシンヒカリ,ローレルゲレイロ,,ニアークティック系,6,20,1函3,12,未勝利,芝,1200,良,,和田,54.0,▲,10,43.2,12,0.9,13,,,8,8,34.00,35.5,10,グランフィエルテ
8,,15,ルージュフローラ,牝,3,6,9.9, ,107,5,55,,,古川吉洋,(美),森一誠,モーリス,ディープインパクト,,ロイヤルチャージャー系,7,5,1函8,2,未勝利・牝,芝,1200,良,,古川,55.0,,9,19.8,3,0.3,8,,,8,10,34.50,34.6,3,バレンタインビスタ
8,,16,ナオミニオールイン,牝,3,12,40.2, , 99,11,55,,*,川又賢治,(栗),佐藤悠太,シルバーステート,Eltish,,ロイヤルチャージャー系,6,20,1函3,11,未勝利,芝,1200,良,,北村,55.0,,4,5.1,16,1.9,14,,,1,1,33.10,37.4,16,グランフィエルテ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071102010904,2026.7.11,土,函館,1函9,4,,未勝利,芝,1800,B,4,稍(暫定),曇(暫定),14,11:20,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ミリオングローリー,牡,3,7,9.1, ,102,10,57,,*,岩田康誠,(美),蛯名正義,ミッキーグローリー,コロナドズクエスト,,ネイティヴダンサー系,7,5,1函8,3,未勝利,ダ,1700,良,,長浜,56.0,☆,6,18.4,7,1.5,8,8,8,10,9,37.58,39.5,5,クッカユフラ
2,,2,インフィオラータ,牝,3,5,8.6, ,112,6,55,,,浜中俊,(栗),須貝尚介,サートゥルナーリア,エンパイアメーカー,,ネイティヴダンサー系,6,27,1函5,5,未勝利,芝,1800,稍,,浜中,55.0,,7,11.1,4,0.1,6,8,8,8,7,36.50,35.1,4,アイムイン
3,,3,ヘクセンハウス,牝,3,8,10.2, ,108,8,55,,*,斎藤新,(栗),吉田直弘,ウインブライト,マイネルラヴ,,ネイティヴダンサー系,6,21,1函4,6,未勝利,芝,1800,良,,国分,55.0,,7,16.1,6,0.3,1,6,5,5,4,36.40,35.8,7,ベアサナエチャン
3,,4,エグジスタンス,牡,3,3,6.4, ,115,3,57,,,佐々木大,(栗),奥村豊,フィエールマン,Kingman,,,6,27,1函5,2,未勝利,芝,1800,稍,,佐々,57.0,,6,10.0,5,0.2,2,1,1,1,1,36.20,35.8,11,アイムイン
4,,5,ケナゲ,牝,3,6,8.9, ,109,7,51,★,,河原田菜,(美),和田雄二,アニマルキングダム,バゴ,,ナスルーラ系,6,27,1函5,4,未勝利,芝,1800,稍,,河原,51.0,★,14,123.3,2,0.1,12,14,14,16,15,36.75,34.6,1,アイムイン
4,,6,カネトシパンドラ,牝,3,13,64.1, , 93,13,55,,*,横山琉人,(美),稲垣幸雄,レッドファルクス,"Pioneerof the Nile",,ネイティヴダンサー系,3,28,3中1,5,未勝利,ダ,1800,重,,横山,55.0,,12,115.9,11,3.9,16,11,11,11,13,38.75,40.0,11,グランドスウェル
5,,7,アスコットダンス,牝,3,9,25.6, , 97,12,55,,*,小沢大仁,(栗),高橋康之,モズアスコット,ホワイトマズル,,ニアークティック系,5,17,3京8,3,未勝利・牝,芝,1600,良,,酒井,55.0,,11,41.4,13,1.1,6,,,3,3,35.16,35.9,13,ペプチドブッドレア
5,,8,メメボス,牝,3,11,32.2, ,104,9,55,,*,古川吉洋,(栗),飯田祐史,コントレイル,ノヴェリスト,,その他のエクリプス系,6,20,1函3,14,未勝利・牝,芝,1800,良,,横山,55.0,,6,17.6,12,1.4,4,2,2,2,2,35.65,37.3,12,ダーリンダーリン
6,,9,シアワセチョウサン,牝,3,14,119.0, , 86,14,52,▲,*,遠藤汰月,(美),小島茂之,ホークビル,ファルブラヴ,,ニアークティック系,6,6,3東1,10,未勝利,芝,2000,良,,舟山,53.0,△,15,426.7,15,3.0,16,,10,9,10,36.90,36.5,15,イニスフェイル
6,,10,アーデルブリックス,牡,3,4,6.5, ,114,5,56,☆,,舟山瑠泉,(栗),坂口智康,ブリックスアンドモルタル,アグネスタキオン,,ロイヤルチャージャー系,6,21,1函4,10,未勝利,芝,1800,良,,舟山,55.0,△,8,16.3,2,0.1,12,1,1,1,1,36.05,36.3,14,ベアサナエチャン
