レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010401,2026.8.2,日,札幌,1札4,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,タガノシルフィー,牝,3,1,2.3, ,122,1,55,,,浜中俊,(栗),石橋守,モーニン,アイルハヴアナザー,,ネイティヴダンサー系,7,11,1函9,3,未勝利・牝,ダ,1700,重,B,浜中,55.0,,2,4.9,2,0.2,5,1,1,1,1,35.07,38.8,11,サラサチャチャチャ
2,,2,ヒマラヤミュサ,牝,3,10,33.0, , 94,9,55,,*,石川倭,(栗),畑端省吾,アジアエクスプレス,シニスターミニスター,,ナスルーラ系,5,16,3京7,初,未勝利・牝,ダ,1400,良,,太宰,55.0,,13,187.9,10,2.0,13,,,13,12,37.13,37.5,5,ルージュバロン
3,,3,ワンダーアスク,牝,3,5,10.4, ,106,5,55,,,川又賢治,(栗),笹田和秀,オルフェーヴル,デヒア,,ニアークティック系,7,11,1函9,2,未勝利・牝,ダ,1700,重,,川又,55.0,,5,8.5,7,1.1,11,5,4,5,4,35.84,38.3,8,サラサチャチャチャ
3,B,4,ダノンルミエール,牝,3,7,18.6, ,102,8,54,☆,,舟山瑠泉,(美),久保田貴,ダノンスマッシュ,ダイワメジャー,,ロイヤルチャージャー系,7,11,1函9,7,未勝利,芝,1200,稍,,舟山,54.0,☆,7,17.5,7,0.8,1,,,5,5,34.20,35.7,10,アルサック
4,,5,ローゾフィア,牝,3,6,17.1, , 93,10,55,,*,荻野琢真,(栗),宮本博,シニスターミニスター,"Distorted Humor",ナスルーラ系,ネイティヴダンサー系,5,31,3京C,3,未勝利・牝,ダ,1800,良,,松若,55.0,,7,15.5,14,3.3,6,8,8,11,13,38.30,40.2,15,グロリアス
4,,6,フレンチブラッサム,牝,3,2,6.5, ,107,4,55,,,横山和生,(美),柄崎将寿,ホッコータルマエ,ゴールドアリュール,,ロイヤルチャージャー系,7,11,1函9,7,未勝利・牝,ダ,1700,重,,横山,55.0,,6,9.7,3,0.7,6,10,9,8,7,36.05,37.5,3,サラサチャチャチャ
5,,7,ザンシュトーム,牝,3,4,8.8, ,108,3,55,,*,斎藤新,(美),辻哲英,ナダル,ネオユニヴァース,,ロイヤルチャージャー系,7,4,2福3,初,未勝利,ダ,1700,重,,原優,55.0,,5,18.0,5,0.6,8,8,7,7,7,38.29,37.6,4,オリジナルアポジー
5,,8,ストリートクイーン,牝,3,3,7.6, ,116,2,55,,,丹内祐次,(栗),高橋一哉,ルヴァンスレーヴ,アドマイヤムーン,,ネイティヴダンサー系,7,4,1函7,2,未勝利,ダ,1700,良,,丹内,55.0,,7,20.0,2,0.1,5,3,3,4,4,37.47,37.5,2,レッドフロイデ
6,,9,ドゥブルヴェ,牝,3,14,78.3, , 88,14,51,★,,河原田菜,(栗),池添学,ルヴァンスレーヴ,ダイワメジャー,,ロイヤルチャージャー系,7,19,1函C,5,未勝利,ダ,1700,不,,河原,51.0,★,13,185.4,12,2.7,14,12,13,13,14,37.09,39.2,9,ブレイズランナー
6,,10,アインプロージット,牝,3,12,35.4, ,105,6,55,,*,佐々木大,(美),小笠倫弘,クリソベリル,Shamardal,,ニアークティック系,7,11,2福5,15,未勝利・牝,ダ,1700,良,,坂井,55.0,,8,27.0,5,1.6,8,5,5,5,5,37.36,38.8,6,サイモンセレーノ
7,,11,クルサール,牝,3,13,42.5, ,103,7,55,,,富田暁,(栗),武英智,コントレイル,"Medaglia d'Oro",,ニアークティック系,3,21,1名3,初,未勝利,芝,2000,良,,富田,55.0,,5,36.1,11,2.3,14,15,15,14,14,37.84,35.4,6,エイシンウィスパー
7,,12,ヨドノサファイア,牝,3,8,19.3, , 93,10,55,,,横山武史,(美),稲垣幸雄,ジャスタウェイ,バゴ,,ナスルーラ系,7,18,1函B,5,未勝利,芝,1200,良,,横山,55.0,,9,32.8,16,2.9,5,,,2,5,34.20,37.3,16,ホウオウザロイヤル
8,,13,レーヌペスカ,牝,3,11,33.0, , 89,13,55,,,吉田隼人,(栗),角田晃一,クリソベリル,チーフベアハート,,ニアークティック系,6,6,3阪1,8,未勝利,ダ,1200,良,,吉田,55.0,,15,300.7,10,2.0,14,,,13,13,36.50,37.7,10,ビスケットアソート
8,,14,テリオスリコ,牝,3,9,28.6, , 93,10,55,,,古川吉洋,(栗),松下武士,ルーラーシップ,ハーツクライ,ネイティヴダンサー系,ロイヤルチャージャー系,7,4,1函7,2,未勝利・牝,ダ,1700,良,,古川,55.0,,11,302.1,4,1.0,8,9,8,8,6,37.58,38.8,4,ギンケイ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010402,2026.8.2,日,札幌,1札4,2,,未勝利,芝,1500,A,3,稍(暫定),曇(暫定),14,10:30,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,スカイピア,牝,3,5,9.0, ,109,4,52,▲,*,小林美駒,(栗),前川恭子,"Palace Pier",Dubawi,,ネイティヴダンサー系,5,16,3京7,2,未勝利,芝,1400,良,,森田,52.0,▲,8,43.8,6,0.5,13,,,3,2,35.10,34.6,9,キシャール
2,,2,ニシノマーレ,牝,3,7,15.0, ,109,4,55,,*,横山武史,(美),伊藤大士,ダノンプレミアム,キングカメハメハ,,ネイティヴダンサー系,6,13,1函1,3,未勝利,芝,1200,稍,,小林,52.0,▲,1,3.2,9,1.5,4,,,3,4,34.20,35.8,11,ディーズメンフィス
3,,3,ペカリーナ,牝,3,1,2.8, ,121,1,55,,*,丹内祐次,(美),竹内正洋,ルーラーシップ,ブラックタイド,ネイティヴダンサー系,ロイヤルチャージャー系,7,25,1札1,10,未勝利・牝,芝,1500,良,,小林,52.0,▲,2,4.3,2,0.0,3,,1,1,1,35.13,35.2,5,フレッチャアズーラ
3,,4,シーシェル,牝,3,14,223.7, , 96,12,55,,*,黛弘人,(美),武藤善則,アドマイヤマーズ,クロフネ,,ニアークティック系,6,13,1函1,13,未勝利,芝,1200,稍,,柴田,53.0,△,11,122.8,8,1.2,14,,,9,10,35.00,34.7,6,ディーズメンフィス
4,,5,モンテール,セ,3,3,6.9, ,102,7,57,,,横山琉人,(美),栗田徹,オルフェーヴル,"Gone West",,ネイティヴダンサー系,5,2,1新1,19,未勝利,芝,1400,稍,,横山,57.0,,12,58.1,6,0.3,7,,,10,10,35.25,36.9,2,アイアムアヒーロー
4,,6,ロックフラワー,牝,3,9,30.5, ,  0,,55,,,石川倭,(美),西田雄一,ゴールドシップ,ローエングリン,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,7,ポセイドンテソーロ,牡,3,10,30.5, , 98,10,56,☆,*,長浜鴻緒,(美),牧光二,シュヴァルグラン,Shirocco,,その他のエクリプス系,5,16,1新5,21,未勝利,芝,1600,良,,富田,57.0,,14,203.3,7,0.6,12,,,1,1,35.94,35.5,13,ミラキュラスアース
5,,8,エグジスタンス,牡,3,6,13.9, ,116,2,57,,,佐々木大,(栗),奥村豊,フィエールマン,Kingman,,,7,11,1函9,2,未勝利,芝,1800,稍,,佐々,57.0,,3,5.8,2,0.4,1,5,5,3,3,36.00,35.9,7,ウインアプローチ
6,,9,ミアエッテ,牡,3,12,44.7, , 98,10,56,☆,*,舟山瑠泉,(美),田中剛,シルバーステート,アドマイヤムーン,,ネイティヴダンサー系,5,3,2東4,17,未勝利,芝,1600,良,,岩田,57.0,,12,53.1,16,1.7,4,,,5,4,36.84,35.1,16,モントゥリエ
6,,10,グローリーバローズ,セ,3,11,39.4, , 96,12,57,,,鮫島克駿,(栗),辻野泰之,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,7,18,1函B,4,未勝利,芝,1800,良,,鮫島,57.0,,10,41.9,5,1.1,8,5,5,6,6,36.30,36.4,6,ショウナンマルチ
7,,11,ショウナンバーボン,牡,3,4,7.1, ,112,3,57,,*,西村淳也,(美),加藤士津,サートゥルナーリア,ハーツクライ,,ロイヤルチャージャー系,5,30,2東B,2,未勝利,芝,1400,良,,ゴン,57.0,,3,7.8,6,0.5,1,,,6,7,35.40,34.3,7,ワディアルリヤハ
7,,12,ブルーエ,牝,3,8,20.9, ,108,6,55,,*,原田和真,(美),中舘英二,トーセンレーヴ,Galileo,,ニアークティック系,7,5,1函8,2,未勝利・牝,芝,1200,良,,横山,55.0,,4,6.8,6,0.5,2,,,8,6,34.50,34.8,6,バレンタインビスタ
8,B,13,アトリ,牝,3,2,5.1, ,101,8,55,,,北村友一,(栗),清水久詞,シスキン,Congrats,,ナスルーラ系,6,20,1函3,7,未勝利・牝,芝,1800,良,,北村,55.0,,7,22.4,13,1.7,14,1,1,1,1,35.60,37.7,14,ダーリンダーリン
8,B,14,メイショウタダツグ,牡,3,13,103.2, ,101,8,57,,*,西塚洸二,(栗),藤岡健一,シルバーステート,Corinthian,,ナスルーラ系,6,7,3阪2,11,未勝利,ダ,1400,良,B,吉村,57.0,,7,40.2,9,2.2,5,,,11,11,36.75,38.1,11,ゼルダ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010403,2026.8.2,日,札幌,1札4,3,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,11:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,モズヴイ,牡,3,1,2.7, ,107,3,57,,*,西塚洸二,(栗),藤岡健一,モズアスコット,"Declaration of War",,,7,26,1札2,4,未勝利,芝,1200,良,,西村,57.0,,3,7.2,9,0.4,7,,,7,7,35.00,34.5,6,ハルヒメ
2,B,2,ワンダーゾルダート,牡,3,5,12.2, , 96,6,57,,,松本大輝,(栗),羽月友彦,ゴールドドリーム,エイシンフラッシュ,,,7,25,1札1,6,未勝利,ダ,1700,良,,松本,57.0,,5,13.0,9,2.4,2,2,3,5,7,37.80,39.7,9,ヤマメイッカ
3,B,3,ワンダーブリッツ,牡,3,2,2.8, ,131,1,57,,*,横山武史,(美),久保田貴,クリソベリル,ワイルドワンダー,,ロイヤルチャージャー系,7,4,2福3,4,未勝利,ダ,1700,重,B,戸崎,57.0,,1,2.1,2,0.1,1,4,4,5,5,38.24,37.2,1,オリジナルアポジー
4,,4,エースオブゴールド,牡,3,9,36.8, , 92,8,57,,,横山琉人,(美),堀内岳志,ブラックタイド,ワイルドラッシュ,ロイヤルチャージャー系,ニアークティック系,7,18,1函B,23,未勝利,ダ,2400,良,,横山,57.0,,11,121.0,9,2.6,11,3,3,8,9,38.37,42.5,9,リバーソニック
5,,5,イーサンミラー,牡,3,6,21.4, , 95,7,57,,*,斎藤新,(美),稲垣幸雄,ウインブライト,サウスヴィグラス,,ネイティヴダンサー系,7,18,1函B,9,未勝利,芝,1800,良,,横山,57.0,,6,21.0,11,1.8,9,7,7,8,8,36.40,36.9,7,ショウナンマルチ
6,,6,ヘリオポリス,牡,3,10,51.5, , 88,10,54,▲,,和田陽希,(栗),杉山佳明,ブリックスアンドモルタル,"Street Sense",,ネイティヴダンサー系,5,30,3京B,初,未勝利,ダ,1400,良,,和田,54.0,▲,14,277.9,13,3.4,11,,,14,15,37.73,38.1,9,ニホンピロローカス
6,,7,イントゥゴールデン,牡,3,8,33.6, , 89,9,55,◇,*,古川奈穂,(美),和田雄二,ミスチヴィアスアレックス,スピルバーグ,,,5,3,2東4,3,未勝利,ダ,1400,稍,,西塚,57.0,,16,460.6,15,3.7,12,,,3,3,36.53,40.6,15,レピュニット
7,,8,ゴンフィンガー,牡,3,3,5.7, ,123,2,57,,*,西村淳也,(栗),中内田充,Curlin,"Scat Daddy",ネイティヴダンサー系,ニアークティック系,7,5,1函8,2,未勝利,ダ,1700,良,,佐々,57.0,,1,2.3,3,0.1,1,6,6,4,4,37.25,38.7,2,クッカユフラ
7,B,9,ハイランダー,牡,3,7,29.7, ,106,4,57,,*,丹内祐次,(美),古賀大生,スワーヴリチャード,メイショウサムソン,,ニアークティック系,7,18,1函B,3,未勝利,ダ,2400,良,B,吉田,57.0,,5,10.4,5,1.1,6,7,8,9,8,38.43,40.8,3,リバーソニック
8,,10,カンフージョン,牡,3,11,70.3, , 86,11,57,,,小沢大仁,(栗),吉村圭司,Frosted,"Pioneerof the Nile",,ネイティヴダンサー系,7,5,1函8,2,未勝利,ダ,1700,良,,小沢,57.0,,14,206.7,14,4.6,7,3,5,12,14,37.80,42.2,14,クッカユフラ
8,,11,ホウオウロレンシア,牝,3,4,8.9, ,104,5,55,,*,石川倭,(美),高木登,ゴールドシップ,Congrats,,ナスルーラ系,7,12,1函A,3,未勝利,ダ,1700,不,,舟山,54.0,☆,2,6.4,12,3.1,3,5,6,4,5,36.49,40.5,14,ビンバラ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010404,2026.8.2,日,札幌,1札4,4,,1勝,芝,2600,A,6,稍(暫定),曇(暫定),14,11:30,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,エナジーショット,牝,4,6,14.3, , 98,7,56,,,丹内祐次,(美),矢嶋大樹,サンダースノー,スペシャルウィーク,,ロイヤルチャージャー系,4,25,1福5,2,１勝ｸﾗｽ・牝,芝,1800,良,,丹内,56.0,,8,17.7,13,1.5,9,5,3,3,4,35.40,37.6,14,モアニ
2,,2,ワンダフルデイズ,牡,3,1,3.4, ,120,1,55,,,横山琉人,(栗),高橋義忠,ルーラーシップ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,7,18,1函B,6,１勝ｸﾗｽ,芝,2600,良,,横山,55.0,,4,11.8,2,0.2,3,4,4,4,3,37.56,35.7,1,マイネルゼウス
3,B,3,ジーティートシオー,牡,4,12,43.0, , 85,13,58,,,荻野琢真,(栗),西村真幸,バゴ,ウォーエンブレム,ナスルーラ系,ネイティヴダンサー系,7,18,1函B,10,１勝ｸﾗｽ,芝,2600,良,,荻野,58.0,,11,222.5,11,2.9,11,9,10,12,12,37.83,37.5,10,マイネルゼウス
