レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080801010501,2026.8.8,土,札幌,1札5,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ルージュエピック,牝,3,9,16.0, ,100,10,51,★,*,河原田菜,(栗),田中克典,クリソベリル,キングカメハメハ,,ネイティヴダンサー系,6,20,3阪5,3,未勝利・牝,ダ,1800,稍,,菱田,55.0,,8,29.1,9,1.5,4,13,13,9,9,37.75,40.8,10,マクノス
2,,2,セラサイト,牝,3,6,8.3, ,116,2,52,▲,*,小林美駒,(栗),茶木太樹,クリソベリル,Ghostzapper,,ニアークティック系,7,26,1札2,2,未勝利,ダ,1700,良,,舟山,54.0,☆,2,3.8,4,0.3,8,2,2,2,2,37.58,37.8,5,タイセイルビー
3,,3,ジェイストリーク,牝,3,2,6.4, ,109,4,55,,*,岩田望来,(栗),武幸四郎,エピファネイア,"Cross Traffic",,,10,26,3京9,10,未勝利・牝*,ダ,1800,重,,ルメ,55.0,,2,2.8,5,1.1,4,3,3,3,3,37.50,39.1,5,サリカリーフォリア
3,B,4,アルデバローズ,牝,3,12,93.4, , 93,13,55,,*,横山琉人,(美),矢野英一,ダノンスマッシュ,ブライアンズタイム,,ロイヤルチャージャー系,8,1,1札3,6,未勝利,ダ,1000,稍,B,丹内,55.0,,5,10.1,11,1.7,7,,,12,11,37.20,35.9,4,ドリームガッサン
4,,5,サマースプラッシュ,牝,3,13,110.6, , 95,12,55,,*,佐々木大,(美),石栗龍彦,アポロケンタッキー,アポロキングダム,,ネイティヴダンサー系,7,26,1札2,2,未勝利・牝,ダ,1700,良,,古川,53.0,◇,7,30.4,6,2.3,4,7,8,9,9,38.02,38.6,6,スリーケイ
4,,6,ルージュボニート,牝,3,1,4.0, ,117,1,55,,*,横山武史,(美),高柳瑞樹,キズナ,キングカメハメハ,,ネイティヴダンサー系,7,26,1札2,3,未勝利・牝,ダ,1700,良,,丹内,55.0,,4,7.2,2,0.0,5,2,2,1,1,37.20,37.8,2,スリーケイ
5,,7,ハスカップジャム,牝,3,14,137.7, , 88,14,54,☆,,長浜鴻緒,(美),中舘英二,フィエールマン,"Fusaichi Pegasus",,ネイティヴダンサー系,7,26,1札2,3,未勝利・牝,ダ,1700,良,,長浜,54.0,☆,9,73.1,10,3.5,6,1,1,4,5,37.53,40.7,10,スリーケイ
5,,8,サンエンジェルス,牝,3,5,8.3, ,104,6,55,,,浜中俊,(栗),谷潔,カリフォルニアクローム,ダイワメジャー,,ロイヤルチャージャー系,7,25,1札1,4,未勝利・牝,芝,1500,良,,浜中,55.0,,5,9.6,5,0.7,9,,7,7,4,35.60,35.2,5,フレッチャアズーラ
6,,9,フィーユレアル,牝,3,11,36.5, ,109,4,55,,*,斎藤新,(美),斎藤誠,リオンディーズ,ハーツクライ,,ロイヤルチャージャー系,7,12,2福6,5,未勝利,ダ,1700,稍,,上里,52.0,▲,7,39.9,3,0.6,10,6,5,6,3,36.93,39.0,3,ヒロイックヴァース
6,,10,マーゴットクリュグ,牝,3,7,10.7, ,101,9,55,,,松本大輝,(栗),小林真也,ゴールドドリーム,ワイルドラッシュ,,ニアークティック系,7,11,1函9,3,未勝利・牝,ダ,1700,重,,松本,55.0,,8,13.8,5,0.8,7,5,4,7,6,36.00,37.7,5,サラサチャチャチャ
7,,11,ルパピヨンブラン,牝,3,8,14.8, ,104,6,55,,*,川又賢治,(栗),杉山佳明,ゴールドドリーム,"Discreet Cat",,ニアークティック系,7,26,1札2,2,未勝利・牝,ダ,1700,良,,西村,55.0,,3,6.1,4,1.0,2,4,4,5,4,37.69,37.9,3,スリーケイ
7,,12,ワイルドカグラ,牝,3,10,18.7, , 98,11,55,,*,小沢大仁,(栗),渡辺薫彦,シニスターミニスター,ワイルドラッシュ,ナスルーラ系,ニアークティック系,7,26,1札2,6,未勝利・牝,ダ,1700,良,B,河原,51.0,★,5,8.9,7,2.5,3,4,4,5,7,37.69,39.4,7,スリーケイ
8,,13,シャドウルーラー,牝,3,3,6.6, ,104,6,55,,*,松山弘平,(栗),藤岡健一,ルヴァンスレーヴ,ディープインパクト,,ロイヤルチャージャー系,6,14,3阪4,4,未勝利・牝,ダ,1800,良,,高杉,55.0,,2,4.3,8,1.0,5,3,3,6,6,38.85,39.2,7,アルビオン
8,B,14,ジーティービキニ,牝,3,4,7.8, ,114,3,54,☆,*,舟山瑠泉,(栗),松下武士,キズナ,"Treasure Beach",,,7,11,1函9,10,未勝利・牝,ダ,1700,重,B,北村,55.0,,1,4.6,4,0.8,2,2,2,2,3,35.62,38.4,9,サラサチャチャチャ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080801010502,2026.8.8,土,札幌,1札5,2,,未勝利,芝,1500,A,3,良(暫定),晴(暫定),14,10:30,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ランダムナンバー,牡,2,9,26.4, , 92,9,55,,*,浜中俊,(栗),橋田宜長,サリオス,クロフネ,,ニアークティック系,6,7,3阪2,初,新馬,芝,1400,稍,,永島,53.0,◇,6,16.1,9,1.5,11,,,9,10,36.23,35.1,5,ビスケットサンド
2,,2,ショパンコンクール,牡,2,6,16.7, ,102,3,55,,*,横山琉人,(美),岩戸孝樹,ミッキーアイル,ロードカナロア,,,7,19,1函C,3,未勝利*,芝,1200,重,,丹内,55.0,,4,6.0,5,0.3,6,,,6,4,36.10,36.2,3,ステラトップガン
3,,3,アルデシンザン,牡,2,1,2.2, ,106,2,55,,,佐々木大,(美),矢野英一,レイデオロ,ローエングリン,,ニアークティック系,7,12,1函A,初,新馬,芝,1800,重,,佐々,55.0,,2,3.6,9,2.1,6,1,1,1,1,37.10,38.3,9,デアグランツ
4,,4,リアルジャパン,牡,2,3,9.3, ,102,3,55,,,吉田隼人,(栗),大橋勇樹,シスキン,"Pioneerof the Nile",,ネイティヴダンサー系,7,19,1函C,2,未勝利*,芝,1200,重,,吉田,55.0,,6,20.8,3,0.2,4,,,8,7,36.40,35.8,1,ステラトップガン
4,,5,トルネードサンダー,牝,2,7,19.9, , 93,7,55,,*,岩田康誠,(栗),安達昭夫,ヘンリーバローズ,キングカメハメハ,,ネイティヴダンサー系,7,12,1函A,初,新馬,芝,1800,重,,吉田,55.0,,8,26.8,5,0.8,9,2,3,4,4,37.40,36.4,4,デアグランツ
5,,6,アズライトティアラ,牝,2,10,30.2, , 91,10,54,☆,*,舟山瑠泉,(栗),浜田多実,ニューイヤーズデイ,アグネスタキオン,,ロイヤルチャージャー系,7,4,1函7,連,未勝利・牝*,芝,1200,良,,小沢,55.0,,6,33.5,7,1.1,5,,,7,7,35.10,34.8,3,ショウナンカノア
5,,7,チカバリエンテ,牝,2,2,3.5, ,119,1,52,▲,,小林美駒,(栗),藤野健太,シルバーステート,エンパイアメーカー,,ネイティヴダンサー系,7,5,1函8,連,未勝利*,芝,1200,良,,小林,52.0,▲,3,5.9,2,0.0,6,,,9,8,35.00,34.8,1,ライーリーアース
6,,8,サンシルヴァリー,牝,2,11,64.2, , 85,12,55,,*,川又賢治,(栗),西村真幸,オメガパフューム,フジキセキ,,ロイヤルチャージャー系,6,7,3阪2,初,新馬,芝,1400,稍,,柴田,53.0,△,11,158.2,8,1.4,9,,,9,9,36.08,35.2,7,ビスケットサンド
6,,9,ライフイズアート,牝,2,4,11.3, ,101,5,55,,*,岩田望来,(美),青木孝文,モズアスコット,スーパーホーネット,,ニアークティック系,7,25,1札1,2,未勝利*,芝,1200,良,,岩田,55.0,,5,8.5,5,0.3,6,,,1,1,34.70,35.6,7,ヌーンベルク
7,,10,ジャストワナフライ,牡,2,5,13.1, , 89,11,55,,*,斎藤新,(栗),小栗実,ブリックスアンドモルタル,ジャスタウェイ,,,7,26,1札2,初,新馬,芝,1800,良,,舟山,54.0,☆,8,78.5,8,1.7,4,5,5,6,8,37.10,35.7,7,ノヴァヴェローチェ
7,,11,ルギッドドランジュ,牝,2,8,23.7, , 94,6,55,,*,北村友一,(美),秋本大介,ジャンダルム,ドゥラメンテ,ロイヤルチャージャー系,,6,27,1函5,初,新馬,芝,1200,稍,,岩田,55.0,,5,20.9,6,0.8,7,,,2,2,34.80,35.8,6,アゴルディーノ
8,,12,ゴートゥービッツン,牝,2,13,117.4, , 93,7,52,▲,,遠藤汰月,(美),伊藤伸一,ダノンスマッシュ,ハービンジャー,,ニアークティック系,7,19,1函C,2,未勝利*,芝,1200,重,,遠藤,52.0,▲,8,132.0,6,0.3,5,,,2,2,35.70,36.6,6,ステラトップガン
8,,13,リラカリス,牝,2,12,80.2, , 79,13,51,★,*,河原田菜,(栗),新谷功一,レイデオロ,ステイゴールド,,ロイヤルチャージャー系,7,12,1函A,初,新馬,芝,1800,重,,和田,52.0,▲,10,152.0,10,3.7,3,4,3,6,10,37.55,39.0,10,デアグランツ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080801010503,2026.8.8,土,札幌,1札5,3,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,11:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ホウオウチャールズ,牡,3,12,51.0, ,101,9,57,,*,斎藤新,(美),池上昌和,スワーヴリチャード,ロージズインメイ,,ロイヤルチャージャー系,7,22,門別,8,リゲル,ダ,1200,稍,,佐々,57.0,,6,,7,2.0,,,,3,2,,----,,ロスカキック
2,,2,ジングアップ,牡,3,11,27.1, , 98,10,57,,*,池添謙一,(美),大竹正博,コントレイル,"Storm Cat",,ニアークティック系,7,26,1札2,4,未勝利,芝,2000,良,,佐々,57.0,,6,12.9,9,1.6,2,3,2,2,4,36.77,36.7,10,ミッキーテネシー
3,,3,ロスニーニョス,牡,3,9,21.5, , 94,12,57,,,古川吉洋,(栗),大根田裕,レイデオロ,アグネスタキオン,,ロイヤルチャージャー系,7,26,1札2,2,未勝利,ダ,1700,良,,古川,57.0,,9,69.1,7,2.0,7,9,9,9,8,38.02,38.7,7,タイセイルビー
3,,4,シンエンドーツダ,牡,3,4,7.5, ,119,1,57,,*,岩田康誠,(美),萱野浩二,イスラボニータ,タートルボウル,,ニアークティック系,7,26,1札2,2,未勝利,ダ,1700,良,,原田,57.0,,1,3.2,3,0.2,2,5,4,4,4,37.69,37.5,2,タイセイルビー
4,,5,フロムザムーン,牡,3,10,25.7, , 98,10,54,▲,,大久保友,(栗),畑端省吾,ルヴァンスレーヴ,マンハッタンカフェ,,ロイヤルチャージャー系,7,18,1函B,9,未勝利,ダ,1700,良,,大久,54.0,▲,14,277.1,5,1.3,12,10,10,14,12,38.24,37.5,2,ホウオウライセンス
4,B,6,ニシノモリミチ,牡,3,3,7.3, ,107,4,54,▲,*,小林美駒,(美),高木登,ダノンプレミアム,ゴールドヘイロー,,ロイヤルチャージャー系,7,19,1函C,2,未勝利,ダ,1700,不,B,横山,57.0,,1,3.7,11,2.5,6,2,2,5,7,36.27,40.5,14,ブレイズランナー
5,,7,ダディーズソード,牡,3,13,75.4, , 86,14,55,◇,*,古川奈穂,(栗),畑端省吾,フィエールマン,ダノンシャンティ,,ロイヤルチャージャー系,7,26,1札2,2,未勝利,芝,2000,良,,舟山,56.0,☆,11,113.4,11,1.9,7,8,6,7,8,36.94,36.6,9,ミッキーテネシー
5,,8,デルマバンダイサン,牡,3,6,8.9, ,107,4,57,,,松本大輝,(栗),井上智史,レイデオロ,ヴィクトワールピサ,,ロイヤルチャージャー系,7,19,1函C,10,未勝利,ダ,1700,不,,松本,57.0,,6,8.9,5,1.3,7,9,8,9,7,36.60,38.7,6,ブレイズランナー
6,,9,ヘリオポリス,牡,3,14,105.1, , 88,13,54,▲,,和田陽希,(栗),杉山佳明,ブリックスアンドモルタル,"Street Sense",,ネイティヴダンサー系,8,2,1札4,9,未勝利,ダ,1700,良,,和田,54.0,▲,11,312.3,8,2.8,10,10,11,11,11,38.67,37.7,2,ワンダーブリッツ
6,,10,リン,牡,3,1,4.1, ,104,7,57,,*,横山和生,(栗),四位洋文,キタサンブラック,Acclamation,,,6,13,3阪3,3,未勝利,芝,1600,良,,坂井,57.0,,3,6.1,9,1.0,2,,,6,6,36.42,34.5,12,フェルギナス
7,B,11,ビレッジルイーザ,牝,3,7,12.1, ,107,4,55,,*,岩田望来,(美),伊藤圭三,ノーブルミッション,"Street Cry",,ネイティヴダンサー系,7,26,1札2,2,未勝利・牝,ダ,1700,良,B,小林,52.0,▲,2,4.5,5,1.9,1,4,4,7,6,37.91,38.4,4,スリーケイ
7,,12,マルシュボヌール,牝,3,5,8.3, ,102,8,55,,*,北村友一,(栗),柴田卓,ドレフォン,オルフェーヴル,,,6,28,1函6,2,未勝利,ダ,1700,稍,,舟山,54.0,☆,7,21.7,6,1.3,5,9,9,11,11,37.80,38.0,4,ライカ
8,B,13,イトシサ,牡,3,8,12.3, ,112,2,56,☆,,舟山瑠泉,(美),田中博康,インディチャンプ,"Harlan's Holiday",,ニアークティック系,7,18,1函B,3,未勝利,ダ,1700,良,B,舟山,56.0,☆,3,6.2,3,0.8,3,3,3,4,2,37.64,38.1,4,ホウオウライセンス
8,,14,インタノン,牡,3,2,5.5, ,108,3,57,,,佐々木大,(美),堀宣行,キタサンブラック,タイキシャトル,,ロイヤルチャージャー系,6,20,1函3,3,未勝利,芝,2000,良,,佐々,57.0,,1,3.5,10,2.1,6,6,3,9,11,36.64,36.1,9,ジャケットポケット
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080801010504,2026.8.8,土,札幌,1札5,4,,1勝,芝,1500,A,3,良(暫定),晴(暫定),14,11:30,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サンウリエル,牡,5,11,35.9, ,100,10,58,,,川又賢治,(栗),宮本博,ディーマジェスティ,アドマイヤムーン,,ネイティヴダンサー系,7,26,1札2,17,１勝ｸﾗｽ,芝,1500,良,,川又,58.0,,8,21.3,6,0.5,7,,10,10,8,36.13,34.2,3,デイトナチャンプ
2,,2,アセンブリールーム,牡,4,5,10.5, ,123,1,58,,*,池添謙一,(美),中川公成,リアルスティール,ヴァーミリアン,,ネイティヴダンサー系,5,10,2東6,2,１勝ｸﾗｽ,芝,1400,良,,戸崎,58.0,,2,2.6,2,0.0,5,,,5,5,35.18,33.8,2,ウインイザナミ
3,,3,アッシュバーグ,牝,5,9,21.2, , 86,13,55,☆,*,長浜鴻緒,(美),高橋文雅,サトノダイヤモンド,"Elusive Quality",,ネイティヴダンサー系,6,21,1函4,10,１勝ｸﾗｽ,ダ,1700,良,,横山,56.0,,10,85.9,11,3.7,10,3,3,8,11,38.24,40.1,11,ナクライト
3,,4,ダノンフィオーレ,牝,4,2,3.7, ,112,3,56,,,北村友一,(栗),藤原英昭,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,7,26,1札2,18,１勝ｸﾗｽ,芝,1500,良,,北村,56.0,,5,13.5,3,0.1,8,,8,8,8,36.00,34.0,1,デイトナチャンプ
4,,5,コスモレッド,牝,3,13,86.5, ,101,9,53,,*,小沢大仁,(栗),北出成人,カリフォルニアクローム,ドゥラメンテ,,,7,26,1札2,2,１勝ｸﾗｽ,芝,1500,良,,池添,53.0,,6,13.6,7,0.5,4,,4,4,4,35.60,35.0,9,デイトナチャンプ
4,,6,ネッタイヤライ,牡,3,8,20.9, ,103,8,53,◇,*,古川奈穂,(栗),矢作芳人,コントレイル,キンシャサノキセキ,,ロイヤルチャージャー系,6,28,1函6,連,臥牛山特･1勝,芝,1800,良,,坂井,55.0,,4,10.4,6,0.8,4,9,6,1,1,35.85,36.0,9,カムアップローゼス
5,,7,ルーチェフィオーレ,牝,3,6,10.6, ,108,5,53,,,横山和生,(美),嘉藤貴行,ポエティックフレア,ディープインパクト,,ロイヤルチャージャー系,7,25,1札1,39,１勝ｸﾗｽ・牝,芝,1800,良,,横山,53.0,,2,3.0,9,1.4,5,2,2,2,2,37.10,35.7,10,ガーネットフレア
5,B,8,ブライトフレア,牡,3,10,34.7,+, 93,12,55,,*,浜中俊,(栗),佐藤悠太,ポエティックフレア,ネオユニヴァース,,ロイヤルチャージャー系,5,31,3京C,連,白百合Ｓ(L),芝,1800,良,B,小崎,57.0,,9,236.2,9,1.3,9,,,3,3,37.15,34.1,9,ロサルゴサ
6,,9,ペイシャアーサー,牡,4,14,90.2, , 95,11,55,▲,,遠藤汰月,(美),本間忍,ビッグアーサー,タイキシャトル,,ロイヤルチャージャー系,7,25,1札1,2,１勝ｸﾗｽ,芝,1200,良,,遠藤,55.0,▲,15,87.2,9,0.5,15,,,13,13,35.40,34.2,2,グランテレーズ
6,,10,フレッチャアズーラ,牝,3,1,3.6,>,109,4,53,,*,岩田望来,(栗),四位洋文,イスラボニータ,Yesbyjimminy,,,7,25,1札1,10,未勝利・牝,芝,1500,良,,横山,55.0,,1,2.9,1,-0.0,1,,2,2,2,35.20,35.1,3,(ペカリーナ)
7,,11,バルボアパーク,牝,3,4,9.0, ,106,6,52,☆,*,舟山瑠泉,(美),田中博康,サートゥルナーリア,"City Zip",,,5,17,2東8,9,１勝ｸﾗｽ・牝*,ダ,1600,良,,ルメ,55.0,,1,2.9,8,3.2,2,,,2,2,36.78,39.1,8,ジュワネング
7,,12,スタードメイソン,牝,4,12,70.6, , 84,14,53,▲,*,和田陽希,(栗),加藤公太,ブリックスアンドモルタル,Frankel,,ニアークティック系,7,4,1函7,2,恵山特別･1勝,芝,1800,良,,舟山,56.0,,9,119.0,9,1.4,8,4,4,3,4,37.00,36.0,9,ウインベラーノ
8,,13,モルニケ,牝,3,7,11.8, ,113,2,53,,*,横山武史,(美),金成貴史,インディチャンプ,"Rock of Gibraltar",,ニアークティック系,3,21,2中7,5,１勝ｸﾗｽ*,芝,1600,良,,田辺,55.0,,3,6.6,3,0.4,5,,10,8,6,35.76,34.2,1,スペルーチェ
8,,14,グロリアスマーチ,牡,3,3,7.2, ,106,6,55,,*,佐々木大,(栗),須貝尚介,モーリス,アグネスタキオン,,ロイヤルチャージャー系,5,30,2東B,4,１勝ｸﾗｽ*,芝,1400,良,,戸崎,57.0,,8,11.4,5,0.4,4,,,10,9,34.88,33.9,2,トライアンフパス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080801010505,2026.8.8,土,札幌,1札5,5,,新馬,芝,1800,A,4,良(暫定),晴(暫定),14,12:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,レイテスツドリーム,牡,2,12,117.6, ,  0,,52,▲,,和田陽希,(栗),平田修,ゴールドドリーム,サマーバード,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
