レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080901010601,2026.8.9,日,札幌,1札6,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ベイビーブラザー,牡,2,9,33.4, , 99,6,55,,,吉田隼人,(栗),安達昭夫,ホットロッドチャーリー,ハーツクライ,,ロイヤルチャージャー系,7,11,1函9,3,未勝利*,ダ,1000,稍,,吉田,55.0,,5,19.8,5,1.0,7,,,8,6,36.30,35.9,3,ラピッドテソーロ
2,,2,マーズエクレール,牡,2,2,3.9, ,102,4,55,,*,岩田康誠,(栗),佐藤悠太,アドマイヤマーズ,モーリス,,,6,20,3東5,初,新馬,芝,1600,稍,,戸崎,55.0,,3,5.4,8,2.0,4,,,5,5,38.04,35.4,9,レッチュベルク
3,,3,シンゼンノト,牡,2,6,18.1, ,107,2,52,▲,,遠藤汰月,(栗),荒川義之,ヴァンゴッホ,オレハマッテルゼ,,ロイヤルチャージャー系,7,26,1札2,2,未勝利*,ダ,1000,良,,遠藤,52.0,▲,6,18.9,3,0.8,1,,,3,3,35.70,36.6,6,クラウスーラ
4,,4,エコロヴァルド,牡,2,3,5.8, , 92,10,52,▲,*,小林美駒,(栗),牧浦充徳,デクラレーションオブウォー,Casamento,,,7,19,1函C,初,新馬,芝,1800,重,,鮫島,55.0,,9,19.5,13,3.8,7,8,10,11,14,37.35,40.2,13,テンカタイヘイ
5,,5,シャムスクッカ,牡,2,10,35.8, , 98,7,55,,,小沢大仁,(栗),高柳大輔,ベンバトル,マンハッタンカフェ,,ロイヤルチャージャー系,7,19,1函C,初,新馬,芝,1800,重,,小沢,55.0,,12,51.5,9,1.1,14,4,2,2,3,36.90,38.4,11,テンカタイヘイ
5,B,6,イチゴワタアメ,牝,2,11,44.0, , 90,12,55,,*,横山琉人,(美),中舘英二,マテラスカイ,ハービンジャー,,ニアークティック系,7,4,1函7,2,未勝利・牝*,芝,1200,良,,小林,52.0,▲,5,30.3,8,2.0,9,,,8,8,35.60,35.2,8,ショウナンカノア
6,,7,カナデ,牝,2,7,22.2, , 95,8,51,★,,河原田菜,(栗),中村直也,ホットロッドチャーリー,ドゥラメンテ,,,7,25,1札1,初,新馬,ダ,1700,良,,河原,51.0,★,5,30.7,4,5.9,6,4,5,4,4,37.58,42.1,4,レガメデルヴェント
6,,8,ヴァイタリズム,牝,2,4,7.4, ,105,3,55,,*,斎藤新,(栗),緒方努,ルヴァンスレーヴ,"Henny Hughes",,ニアークティック系,7,4,1函7,初,新馬,ダ,1000,良,,横山,55.0,,2,3.8,3,1.1,1,,,4,3,37.95,37.2,3,ダマスク
7,,9,ハイビスカス,牝,2,5,15.4, , 91,11,54,☆,*,舟山瑠泉,(美),杉浦宏昭,ウィルテイクチャージ,ヴィクトワールピサ,,ロイヤルチャージャー系,7,18,1函B,5,未勝利*,芝,1800,良,,佐々,55.0,,6,67.2,6,1.4,5,6,6,6,6,37.60,36.0,3,ロジクラウン
7,,10,テムファイア,牡,2,8,26.9, ,101,5,55,,*,古川吉洋,(美),伊藤圭三,フィレンツェファイア,メジロベイリー,,ロイヤルチャージャー系,6,14,3東4,初,新馬,ダ,1400,稍,,荻野,55.0,,10,51.0,7,2.3,6,,,12,11,37.20,37.3,3,ユイノエスポワール
8,,11,モーモーワン,牡,2,12,119.5, , 95,8,55,,*,原田和真,(美),萱野浩二,インティ,ドリームジャーニー,,ロイヤルチャージャー系,7,4,2福3,初,新馬,ダ,1700,重,,小崎,55.0,,14,120.3,11,4.1,10,6,6,5,6,37.15,42.5,14,コンテミュール
8,,12,サルトヴェローチェ,牡,2,1,2.5, ,116,1,55,,,北村友一,(栗),上村洋行,マインドユアビスケッツ,ファルブラヴ,,ニアークティック系,7,19,1函C,初,新馬,芝,1800,重,,北村,55.0,,1,3.4,5,0.7,13,2,2,2,2,36.85,38.1,8,テンカタイヘイ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080901010602,2026.8.9,日,札幌,1札6,2,,未勝利,ダート,1000,,2,稍(暫定),曇(暫定),12,10:30,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,メイショウマドンナ,牝,3,7,22.5, ,110,4,55,,*,吉田隼人,(栗),荒川義之,フィレンツェファイア,ハーツクライ,,ロイヤルチャージャー系,7,18,2小7,3,未勝利,ダ,1000,稍,,森田,52.0,▲,4,7.0,4,0.7,2,,,4,4,34.05,36.3,9,サトノロザリー
2,,2,フジコンフィデンス,牝,3,5,17.4, ,104,6,55,,*,池添謙一,(美),牧光二,ホッコータルマエ,パイロ,,ナスルーラ系,7,5,2福4,32,未勝利,ダ,1150,良,,石橋,55.0,,9,35.5,7,1.3,9,,,3,3,34.04,37.8,9,コウソクルリアン
3,,3,ケイベエ,牡,3,12,131.3, , 93,10,57,,*,原田和真,(美),杉浦宏昭,エピファネイア,"Country Reel",,ニアークティック系,7,5,2福4,11,未勝利,芝,1200,良,,木幡,57.0,,11,53.5,12,1.7,14,,,10,12,33.90,36.2,10,ゴールドパレード
4,,4,メイヨシュア,牝,3,9,37.0, , 90,11,55,,*,小沢大仁,(美),水野貴広,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,6,7,3東2,10,未勝利,芝,1600,良,,武藤,55.0,,18,712.8,15,1.9,13,,,4,4,36.06,36.3,16,コーディアリー
5,,5,スイーヴル,牝,3,1,1.7, ,124,1,55,,*,斎藤新,(栗),小椋研介,タワーオブロンドン,Pivotal,,ニアークティック系,7,12,1函A,2,未勝利,ダ,1000,不,,武豊,55.0,,1,2.0,2,0.0,1,,,6,5,35.10,35.1,3,ビタミンドロップ
5,,6,カッサンドラ,牝,3,3,8.9, ,115,2,55,,,横山琉人,(栗),高橋義忠,インディチャンプ,ファンタスティックライト,,ナスルーラ系,7,25,1札1,3,未勝利,ダ,1000,良,,横山,55.0,,1,2.3,3,0.3,4,,,3,3,35.55,35.3,3,カレンココナ
6,,7,ラブデウザ,牝,3,6,19.2, , 98,8,51,★,,河原田菜,(美),加藤和宏,リアルスティール,キングカメハメハ,,ネイティヴダンサー系,7,19,1函C,4,未勝利,ダ,1000,不,,河原,51.0,★,7,37.2,5,0.9,10,,,1,1,34.35,36.7,9,ミスチヴマリアンヌ
6,B,8,ルクスドリーム,牡,3,4,15.3, ,107,5,57,,*,北村友一,(栗),小崎憲,イスラボニータ,アグネスデジタル,,ネイティヴダンサー系,7,18,2小7,4,未勝利,ダ,1700,稍,,松山,57.0,,8,23.8,5,2.8,8,2,2,3,4,37.42,39.7,7,キープシャイニング
7,B,9,マーゴットオネイロ,牡,3,2,3.7, ,115,2,54,▲,*,小林美駒,(栗),小林真也,ゴールドドリーム,トワイニング,,ネイティヴダンサー系,7,12,1函A,4,未勝利,ダ,1000,不,B,横山,57.0,,3,5.2,4,0.4,3,,,2,2,34.20,36.1,10,ビタミンドロップ
7,B,10,ハクサンレイホウ,牡,3,10,80.2, , 94,9,57,,*,黛弘人,(美),武藤善則,ハクサンムーン,ゴールドアリュール,,ロイヤルチャージャー系,6,28,2福2,34,未勝利,ダ,1150,良,,小林,57.0,,14,358.2,10,2.0,13,,,12,10,35.45,38.1,8,サトノワーグナー
8,,11,ロングフルスペック,牝,3,8,27.2, ,102,7,55,,,古川吉洋,(栗),大根田裕,フォーウィールドライブ,アドマイヤムーン,,ネイティヴダンサー系,7,25,1札1,4,未勝利,ダ,1000,良,,古川,55.0,,4,12.6,4,1.2,5,,,3,4,35.55,36.2,4,カレンココナ
8,,12,テリオスルミ,牝,3,11,131.3, , 87,12,52,▲,,遠藤汰月,(美),高柳瑞樹,サトノダイヤモンド,タニノギムレット,,ロイヤルチャージャー系,6,20,1函3,連,未勝利,芝,1200,良,,遠藤,52.0,▲,14,84.0,14,1.1,6,,,16,16,35.10,34.6,3,グランフィエルテ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080901010603,2026.8.9,日,札幌,1札6,3,,1勝,芝,2000,A,4,稍(暫定),曇(暫定),16,11:00,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,エオアリイ,牡,4,9,20.5, ,102,5,57,☆,*,舟山瑠泉,(美),平岩大典,ドゥラメンテ,"More Than Ready",,ロイヤルチャージャー系,7,11,1函9,2,北斗特別･1勝,芝,2000,稍,B,佐々,58.0,,9,103.4,4,1.3,9,2,2,2,2,36.60,35.9,8,ハルフロンティア
