レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010801,2026.8.16,日,札幌,1札8,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,テンレッドサン,牝,3,3,4.6, ,116,2,55,,*,坂井瑠星,(栗),西園翔太,ヘニーヒューズ,メイショウサムソン,,ニアークティック系,6,28,1函6,2,未勝利,ダ,1700,稍,,丹内,55.0,,1,2.6,3,0.5,2,6,5,4,4,37.42,37.9,2,ライカ
2,,2,ルナティックブルー,牝,3,9,28.2, , 96,7,55,,,小沢大仁,(栗),今野貞一,リオンディーズ,ダノンシャンティ,,ロイヤルチャージャー系,7,25,1札1,3,未勝利,芝,1800,良,,小沢,55.0,,5,8.4,12,1.8,2,5,4,5,8,36.45,36.8,13,テンレディーゴー
3,B,3,ウォータースパウト,牝,3,4,8.1, ,  0,,55,,*,吉田隼人,(美),小笠倫弘,ルヴァンスレーヴ,ハーツクライ,,ロイヤルチャージャー系,7,11,1函9,連,未勝利・牝,ダ,1700,重,B,横山,55.0,,3,5.4,止,----,1,10,12,,,,----,,サラサチャチャチャ
3,,4,アインプロージット,牝,3,11,91.1, , 86,12,55,,*,川又賢治,(美),小笠倫弘,クリソベリル,Shamardal,,ニアークティック系,8,2,1札4,3,未勝利・牝,ダ,1700,良,,佐々,55.0,,10,70.3,14,3.9,10,8,8,10,13,37.42,41.1,13,ローゾフィア
4,,5,ルージュリヴィエラ,牝,3,1,3.2, ,120,1,55,,,横山和生,(美),嘉藤貴行,ニューイヤーズデイ,キングカメハメハ,,ネイティヴダンサー系,7,19,1函C,2,未勝利,ダ,1700,不,,横山,55.0,,4,5.7,2,0.0,4,3,3,3,3,36.16,38.2,2,ブレイズランナー
4,,6,イセッセイ,牝,3,14,142.1, , 89,10,52,▲,*,遠藤汰月,(美),伊藤伸一,エスポワールシチー,ハービンジャー,,ニアークティック系,7,11,2福5,9,未勝利・牝,ダ,1700,良,,小林,55.0,,13,200.7,13,3.2,13,15,15,14,14,38.07,39.1,12,サイモンセレーノ
5,,7,フィエスタ,牝,3,10,29.3, , 84,13,51,★,*,河原田菜,(栗),西村真幸,キタサンブラック,ヴィクトワールピサ,,ロイヤルチャージャー系,7,19,1函C,連,未勝利,芝,2000,重,,鮫島,55.0,,11,85.8,12,3.9,1,5,7,9,13,37.46,39.8,12,レイヌドプランタン
5,B,8,セントピュアベース,牝,3,7,25.9, , 99,6,54,☆,*,舟山瑠泉,(栗),藤野健太,クリソベリル,スパイキュール,,ロイヤルチャージャー系,7,4,2小3,3,未勝利・牝,ダ,1700,不,,松若,55.0,,7,27.2,10,2.4,13,7,7,4,7,36.71,39.7,14,アンティスマ
6,,9,アリディプラチノ,牝,3,13,98.7, , 92,9,52,▲,*,大久保友,(栗),畑端省吾,ホークビル,ゴールドアリュール,,ロイヤルチャージャー系,7,26,2名2,2,未勝利,芝,1200,良,,川端,52.0,▲,12,155.7,11,1.2,7,,,10,11,34.80,34.2,6,ベルセクレト
6,,10,プルーフリーディン,牝,3,2,3.3, ,115,3,52,▲,*,小林美駒,(栗),小林真也,ジャスタウェイ,ノヴェリスト,,その他のエクリプス系,7,26,1札2,4,未勝利・牝,ダ,1700,良,,鮫島,55.0,,1,2.0,3,0.8,7,9,7,2,2,37.25,38.5,5,スリーケイ
7,,11,ハピネスドリーム,牝,3,8,26.5, ,100,5,55,,*,北村友一,(美),木村哲也,シニスターミニスター,ディープインパクト,ナスルーラ系,ロイヤルチャージャー系,7,19,2福8,12,未勝利・牝,ダ,1700,良,,杉原,55.0,,9,34.1,8,1.6,14,10,10,11,10,37.25,40.2,8,アーティラリー
7,,12,フローズンクイーン,牝,3,12,93.5, , 87,11,55,,*,松本大輝,(栗),藤岡健一,ダノンプレミアム,キンシャサノキセキ,,ロイヤルチャージャー系,7,25,1札1,初,未勝利・牝,芝,1500,良,,鮫島,55.0,,10,131.9,12,2.4,6,,13,14,13,36.20,36.0,11,フレッチャアズーラ
8,,13,ストリートクイーン,牝,3,5,13.6, ,112,4,55,,*,横山武史,(栗),高橋一哉,ルヴァンスレーヴ,アドマイヤムーン,,ネイティヴダンサー系,8,2,1札4,4,未勝利・牝,ダ,1700,良,,丹内,55.0,,2,3.1,3,0.9,1,3,4,3,3,36.71,39.4,5,ローゾフィア
8,,14,マスカルポーネ,牝,3,6,19.4, , 96,7,55,,*,斎藤新,(美),水野貴広,リオンディーズ,キズナ,,,7,19,1函C,2,未勝利,ダ,1700,不,,丹内,55.0,,9,40.2,8,1.7,11,8,8,9,9,36.60,39.1,8,ブレイズランナー
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010802,2026.8.16,日,札幌,1札8,2,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,10:30,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
