レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090501020501,2026.9.5,土,札幌,2札5,1,,未勝利,ダート,1700,,4,重(暫定),曇(暫定),14,09:50,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,カセノメロス,牡,2,2,10.9, ,101,5,53,◇,*,小林美駒,(美),鈴木伸尋,スワーヴリチャード,キズナ,,,8,22,2札1,初,新馬,芝,1500,良,,横山,55.0,,3,6.6,13,2.4,4,,3,6,9,36.27,37.8,14,ツキミ
2,,2,シンゼンノト,牡,2,3,18.1, ,108,2,52,▲,,遠藤汰月,(栗),荒川義之,ヴァンゴッホ,オレハマッテルゼ,,ロイヤルチャージャー系,8,22,2札1,2,未勝利*,ダ,1700,良,,遠藤,52.0,▲,8,63.2,3,0.6,10,1,1,1,1,36.60,40.0,4,トゥザファイナル
3,,3,グリームウッド,牡,2,11,219.3, , 87,8,55,,,横山琉人,(美),手塚貴徳,ヤングマンパワー,エイシンフラッシュ,,,8,16,1札8,初,新馬,芝,1800,良,,横山,55.0,,10,68.7,11,2.2,10,5,7,10,11,38.45,37.0,10,シティオブドリーム
4,,4,ロードレスポンス,牡,2,8,65.6, , 92,7,55,,*,鮫島克駿,(美),和田勇介,ロジャーバローズ,エスポワールシチー,,,8,22,2札1,3,未勝利*,芝,1800,良,,ロイ,55.0,,5,39.7,6,1.6,5,3,3,3,3,37.35,37.2,6,ヒアカムズザサン
5,,5,ロードリバイバル,牡,2,5,26.4, , 96,6,55,,*,松本大輝,(栗),中村直也,リオンディーズ,ロードカナロア,,,8,22,2札1,初,新馬,芝,1500,良,,松山,55.0,,11,32.8,7,0.8,9,,10,11,7,36.60,35.7,2,ツキミ
5,,6,ゲームチェンジャー,牡,2,10,191.9, , 83,11,55,,,原田和真,(美),蛯名利弘,カレンブラックヒル,エピファネイア,,,8,30,2札4,2,未勝利*,芝,1200,良,,原田,55.0,,14,470.3,14,2.1,14,,,12,14,36.00,36.2,13,ギャルズマインド
6,,7,キュータンチャン,牡,2,6,28.5, ,106,3,55,,*,丹内祐次,(美),尾形和幸,ヘニーヒューズ,クロフネ,,ニアークティック系,8,16,2新8,9,未勝利*,ダ,1200,良,,菊沢,55.0,,5,9.2,5,1.0,1,,,4,5,34.80,38.5,10,ラキアーヴェ
6,,8,カリスマン,牡,2,9,112.9, , 86,9,55,,,吉田隼人,(美),武井亮,フィエールマン,シンボリクリスエス,,ロイヤルチャージャー系,8,15,1札7,4,未勝利*,芝,1800,良,,吉田,55.0,,9,176.3,9,1.4,8,10,10,10,10,37.25,36.0,4,レゾンフォルテ
7,,9,サトノフルーク,牡,2,1,1.1, ,117,1,55,,,佐々木大,(美),堀宣行,Flightline,"Giant's Causeway",,ニアークティック系,7,26,1札2,初,新馬,芝,1800,良,,佐々,55.0,,1,1.3,2,0.6,2,3,3,4,3,37.00,34.8,3,ノヴァヴェローチェ
7,,10,ラストフィールド,牝,2,12,255.9, , 83,11,52,▲,,和田陽希,(栗),谷潔,ノーブルミッション,マーベラスサンデー,,ロイヤルチャージャー系,8,22,2札1,初,新馬,芝,1500,良,,和田,52.0,▲,14,206.6,14,2.8,14,,14,14,14,36.73,37.5,13,ツキミ
8,,11,ロジアコース,牡,2,4,23.4, ,106,3,55,,*,浜中俊,(美),加藤征弘,ロジユニヴァース,ハーツクライ,,ロイヤルチャージャー系,7,19,1函C,初,新馬,芝,1800,重,,岩田,55.0,,4,6.9,7,0.9,1,2,2,2,3,36.85,38.3,10,テンカタイヘイ
8,,12,フレンドミラノ,牡,2,7,52.9, , 86,9,51,★,,河原田菜,(美),加藤和宏,イスラボニータ,キズナ,,,8,15,1札7,初,新馬,芝,1200,良,,河原,51.0,★,10,72.8,12,2.3,10,,,11,12,37.50,35.3,10,ジオパークカツキ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090501020502,2026.9.5,土,札幌,2札5,2,,未勝利,芝,1200,C,2,稍(暫定),曇(暫定),16,10:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サノノベリー,牝,2,3,6.2, , 87,10,51,★,*,河原田菜,(美),天間昭一,グレーターロンドン,"Macho Uno",,その他のエクリプス系,7,25,1札1,2,未勝利*,芝,1200,良,,舟山,54.0,☆,6,29.3,8,1.4,1,,,4,6,35.00,36.4,8,ヌーンベルク
2,,2,ゴートゥービッツン,牝,2,9,43.5, , 96,6,52,▲,,遠藤汰月,(美),伊藤伸一,ダノンスマッシュ,ハービンジャー,,ニアークティック系,8,16,1札8,連,未勝利*,芝,1200,良,,遠藤,52.0,▲,8,60.8,3,0.7,5,,,1,2,35.70,35.4,5,タイフーンナイン
3,,3,リーディンアクター,牡,2,6,10.7, , 99,4,55,,*,佐々木大,(美),堀内岳志,ゴールドドリーム,ローエングリン,,ニアークティック系,8,8,2新5,4,未勝利*,芝,1400,良,,西村,55.0,,4,9.7,10,1.3,8,,,10,10,35.63,35.5,5,グルーヴェンス
