レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090601020601,2026.9.6,日,札幌,2札6,1,,未勝利,ダート,1700,,4,稍(暫定),晴(暫定),14,09:50,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ルージュエピック,牝,3,10,28.6, , 93,11,55,,,松本大輝,(栗),田中克典,クリソベリル,キングカメハメハ,,ネイティヴダンサー系,8,29,2札3,3,１勝ｸﾗｽ,ダ,1700,稍,B,松本,53.0,,10,179.5,6,1.2,9,6,6,6,7,37.31,38.2,6,スターオブロンドン
2,B,2,テンレッドサン,牝,3,3,5.3, ,113,3,55,,*,丹内祐次,(栗),西園翔太,ヘニーヒューズ,メイショウサムソン,,ニアークティック系,8,30,2札4,2,未勝利・牝,ダ,1700,稍,B,横山,55.0,,6,12.7,2,0.6,4,7,7,6,5,36.87,38.5,4,タガノシルフィー
3,,3,エリカビアリッツ,牝,3,2,4.8, ,119,1,55,,,鮫島克駿,(美),堀宣行,キズナ,"War Front",,ニアークティック系,8,30,2札4,9,未勝利・牝,ダ,1700,稍,,鮫島,55.0,,2,3.8,3,0.6,8,7,7,8,5,37.04,38.2,3,タガノシルフィー
4,,4,ルージュリヴィエラ,牝,3,5,7.7, ,104,9,53,◇,*,小林美駒,(美),嘉藤貴行,ニューイヤーズデイ,キングカメハメハ,,ネイティヴダンサー系,8,30,2札4,2,１勝ｸﾗｽ・牝,ダ,1700,稍,,佐藤,50.0,▲,6,11.3,4,0.8,8,3,3,4,4,37.53,38.3,8,スリーケイ
4,,5,サンセリテ,牝,3,7,16.5, ,105,8,54,☆,*,長浜鴻緒,(美),鹿戸雄一,コントレイル,"Street Sense",,ネイティヴダンサー系,8,30,2札4,5,未勝利・牝,ダ,1700,稍,,武豊,55.0,,9,27.5,4,1.1,13,13,14,11,5,37.42,38.0,2,タガノシルフィー
5,B,6,ウォータースパウト,牝,3,4,7.5, ,111,4,55,,,吉田隼人,(美),小笠倫弘,ルヴァンスレーヴ,ハーツクライ,,ロイヤルチャージャー系,8,30,2札4,2,未勝利・牝,ダ,1700,稍,B,吉田,55.0,,4,10.2,5,1.2,1,10,9,8,5,37.04,38.8,5,タガノシルフィー
5,B,7,ワンダーアスク,牝,3,11,37.4, ,109,6,55,,,川又賢治,(栗),笹田和秀,オルフェーヴル,デヒア,,ニアークティック系,8,29,2札3,4,未勝利,ダ,1700,稍,B,川又,55.0,,6,10.3,4,2.0,9,11,11,9,8,37.04,38.7,3,ベルアズーロ
6,,8,クリコイーコ,牝,3,9,24.1, ,106,7,52,▲,*,遠藤汰月,(栗),荒川義之,ディーマジェスティ,キングカメハメハ,,ネイティヴダンサー系,8,30,2札4,3,未勝利,ダ,1700,稍,,吉田,55.0,,11,78.0,2,0.6,10,7,7,6,4,36.76,39.2,6,ポップアップ
6,,9,シンデレラカラー,牝,3,13,114.4, , 92,12,55,,,原田和真,(美),加藤和宏,ビーチパトロール,マンハッタンカフェ,,ロイヤルチャージャー系,8,29,2札3,10,未勝利,芝,1500,稍,,原田,55.0,,14,267.7,8,2.0,11,,8,9,9,35.33,38.3,7,ペカリーナ
7,,10,セラサイト,牝,3,1,3.9, ,114,2,55,,,横山武史,(栗),茶木太樹,クリソベリル,Ghostzapper,,ニアークティック系,8,23,2札2,2,未勝利,ダ,1700,良,,横山,55.0,,7,15.8,2,0.4,8,1,1,1,1,36.87,39.2,4,ファイアリービート
7,,11,マスカルポーネ,牝,3,6,11.4, ,111,4,55,,,斎藤新,(美),水野貴広,リオンディーズ,キズナ,,,8,16,1札8,4,未勝利・牝,ダ,1700,良,,斎藤,55.0,,7,40.2,3,0.5,7,3,3,2,2,37.20,38.8,3,プルーフリーディン
8,,12,ティンクルバレット,牝,3,8,16.7, ,101,10,53,◇,,古川奈穂,(栗),池添学,ミッキーアイル,Vindication,,ナスルーラ系,7,26,1札2,6,未勝利,芝,1200,良,,古川,53.0,◇,15,85.2,6,0.2,16,,,3,3,34.60,34.7,11,ハルヒメ
8,,13,サマースプラッシュ,牝,3,12,53.7, , 91,13,52,▲,,和田陽希,(美),石栗龍彦,アポロケンタッキー,アポロキングダム,,ネイティヴダンサー系,8,30,2札4,2,１勝ｸﾗｽ・牝,ダ,1700,稍,,和田,50.0,▲,12,371.6,8,2.7,11,6,6,6,8,38.40,38.6,9,スリーケイ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090601020602,2026.9.6,日,札幌,2札6,2,,未勝利,芝,2000,C,4,稍(暫定),晴(暫定),16,10:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マイネルリコルディ,牡,2,5,11.1, ,114,3,55,,*,丹内祐次,(美),青木孝文,ゴールドシップ,アイルハヴアナザー,,ネイティヴダンサー系,8,1,1札3,3,未勝利*,芝,1800,稍,,斎藤,55.0,,2,3.6,3,0.3,2,5,5,5,4,37.15,36.1,5,ジオ
2,,2,ロゼプレミア,牡,2,1,3.0, ,117,2,55,,,鮫島克駿,(栗),東田明士,ワールドプレミア,ゼンノロブロイ,,ロイヤルチャージャー系,8,2,1札4,初,新馬,芝,1800,良,,鮫島,55.0,,4,8.7,2,0.1,8,1,1,1,1,37.65,35.6,2,ホウオウプレマ
3,,3,ソフィーサンライズ,牝,2,8,35.4, , 90,9,55,,*,小沢大仁,(栗),矢作芳人,コントレイル,スペシャルウィーク,,ロイヤルチャージャー系,8,23,2札2,初,新馬,芝,2000,良,,吉田,55.0,,7,43.4,5,1.6,3,4,3,4,6,37.37,37.0,5,ヴァンドレスト
4,,4,アオイゲート,牝,2,3,3.5, ,107,5,55,,*,横山武史,(美),伊藤圭三,キズナ,マンハッタンカフェ,,ロイヤルチャージャー系,8,23,2札2,初,新馬,芝,2000,良,,丹内,55.0,,3,8.1,3,0.5,4,6,6,4,4,37.33,36.0,2,ヴァンドレスト
5,,5,ラヴァンドローリエ,牝,2,10,62.2, , 96,8,55,,,古川吉洋,(栗),宮徹,ダノンスマッシュ,マンハッタンカフェ,,ロイヤルチャージャー系,8,15,1札7,4,未勝利*,芝,1800,良,,古川,55.0,,5,29.9,6,0.9,6,2,2,4,5,36.70,36.6,9,レゾンフォルテ
6,,6,イッペイ,牡,2,2,3.2, ,118,1,55,,,浜中俊,(栗),松永幹夫,エフフォーリア,"Unusual Heat",,ニアークティック系,8,15,1札7,4,未勝利*,芝,1800,良,,浜中,55.0,,2,3.5,4,0.5,4,5,5,2,2,36.55,36.5,6,レゾンフォルテ
7,,7,マサノブルスカイ,牡,2,6,21.9, , 98,7,52,▲,,和田陽希,(栗),藤野健太,エピファネイア,ヴィクトワールピサ,,ロイヤルチャージャー系,8,16,1札8,初,新馬,芝,1800,良,,和田,52.0,▲,11,75.3,5,1.1,4,11,11,12,12,38.80,35.2,1,シティオブドリーム
7,,8,バトルナイト,牡,2,7,31.5, ,102,6,55,,*,横山和生,(栗),武英智,ベンバトル,リキアイサイレンス,,ロイヤルチャージャー系,8,23,2札2,初,新馬,芝,2000,良,,松山,55.0,,4,14.5,4,1.0,7,3,3,3,2,37.24,36.7,4,ヴァンドレスト
8,,9,アオイノリプー,牡,2,4,10.4, ,111,4,55,,*,佐々木大,(美),尾形和幸,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,8,9,2新6,4,未勝利*,芝,2000,良,,田辺,55.0,,2,5.7,8,1.8,2,6,7,7,7,36.86,35.8,8,ラガリーガ
8,,10,ブライトシーン,牡,2,9,47.0, , 90,9,52,▲,,遠藤汰月,(美),松尾卓哉,ウインブライト,"High Yield",,ニアークティック系,8,1,1札3,4,未勝利*,芝,1800,稍,,遠藤,52.0,▲,9,99.5,5,0.6,4,8,8,8,8,37.35,36.0,2,ジオ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090601020603,2026.9.6,日,札幌,2札6,3,,未勝利,ダート,1700,,4,稍(暫定),晴(暫定),14,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ニシノモリミチ,牡,3,8,20.2, , 96,12,57,,*,鮫島克駿,(美),高木登,ダノンプレミアム,ゴールドヘイロー,,ロイヤルチャージャー系,8,8,1札5,3,未勝利,ダ,1700,稍,B,小林,54.0,▲,5,8.2,13,4.4,10,5,9,13,13,39.00,39.1,9,インタノン
2,B,2,アオイミズホ,牡,3,6,16.0, ,113,5,57,,*,丹内祐次,(美),古賀慎明,ビーチパトロール,ダイワメジャー,,ロイヤルチャージャー系,8,23,2札2,4,未勝利,ダ,1700,良,B,横山,57.0,,1,3.4,3,1.0,1,14,14,10,9,37.53,38.6,2,ファイアリービート
3,,3,ゴンフィンガー,牡,3,5,9.7, ,116,1,57,,*,小沢大仁,(栗),中内田充,Curlin,"Scat Daddy",ネイティヴダンサー系,ニアークティック系,8,2,1札4,4,未勝利,ダ,1700,良,,西村,57.0,,2,3.2,2,1.5,2,5,4,5,4,37.69,38.2,3,ワンダーブリッツ
3,,4,シンエンドーツダ,牡,3,4,7.3, ,115,2,57,,*,斎藤新,(美),萱野浩二,イスラボニータ,タートルボウル,,ニアークティック系,8,8,1札5,2,未勝利,ダ,1700,稍,,岩田,57.0,,1,3.6,5,1.8,2,5,5,4,4,37.80,38.7,5,インタノン
4,,5,ブルーアンビエンス,牡,3,10,24.0, ,100,9,53,★,,河原田菜,(美),菊沢隆徳,レイデオロ,ディープインパクト,,ロイヤルチャージャー系,8,23,2札2,3,未勝利,ダ,1700,良,,河原,53.0,★,12,83.0,5,1.2,11,10,9,10,9,37.47,38.9,3,ファイアリービート
4,,6,ツクバヴァンガード,牡,3,7,19.6, ,113,5,56,☆,,長浜鴻緒,(美),奥平雅士,リーチザクラウン,キャプテンスティーヴ,ロイヤルチャージャー系,その他のエクリプス系,8,15,1札7,5,未勝利,ダ,1000,良,,長浜,56.0,☆,1,2.7,7,1.2,5,,,6,6,36.90,36.0,7,メイワキラリ
5,,7,ロスニーニョス,牡,3,13,83.7, , 90,13,54,▲,*,和田陽希,(栗),大根田裕,レイデオロ,アグネスタキオン,,ロイヤルチャージャー系,8,8,1札5,2,未勝利,ダ,1700,稍,,古川,57.0,,13,292.8,10,3.7,9,11,13,12,12,38.78,38.8,6,インタノン
5,B,8,マコトアディントン,牡,3,1,3.0, ,109,7,57,,,横山武史,(栗),前川恭子,オルフェーヴル,ストーミングホーム,,ネイティヴダンサー系,8,16,1札8,4,未勝利,芝,2000,良,,横山,57.0,,2,4.7,7,1.1,10,16,16,15,11,36.94,35.3,2,ウイルソン
6,,9,アメリカンダンス,牝,3,11,31.0, ,100,9,55,,*,荻野琢真,(栗),藤岡健一,"Gun Runner",Tapizar,,ナスルーラ系,8,23,2札2,9,未勝利,ダ,1700,良,,ロイ,55.0,,8,23.5,9,2.1,14,3,2,2,3,36.98,40.7,10,ファイアリービート
6,,10,イセッセイ,牝,3,14,160.4, , 90,13,52,▲,,遠藤汰月,(美),伊藤伸一,エスポワールシチー,ハービンジャー,,ニアークティック系,8,16,1札8,5,未勝利・牝,ダ,1700,良,,遠藤,52.0,▲,13,388.8,10,3.3,10,11,11,12,12,37.96,40.2,10,プルーフリーディン
7,,11,ジャストグレース,牡,3,9,23.4, ,101,8,57,,,古川吉洋,(栗),大根田裕,ホッコータルマエ,ダイワメジャー,,ロイヤルチャージャー系,8,30,2札4,2,未勝利,ダ,1700,稍,,古川,57.0,,6,12.0,6,1.0,7,10,10,9,8,37.31,38.6,2,ポップアップ
7,,12,ヘイジュード,牡,3,2,4.9, ,115,2,57,,*,佐々木大,(美),堀宣行,キタサンブラック,Congaree,,ナスルーラ系,8,9,1札6,2,未勝利,芝,2600,良,,浜中,57.0,,1,2.5,5,0.4,10,7,6,7,5,38.40,35.9,3,ドンテスタマスター
8,,13,ブラックパロット,牡,3,12,48.1, , 99,11,57,,*,横山琉人,(美),手塚貴徳,アドマイヤマーズ,"Rockport Harbor",,ネイティヴダンサー系,8,15,1札7,10,未勝利,ダ,2400,良,,舟山,56.0,☆,8,34.7,7,3.9,8,8,7,5,5,38.87,42.3,8,モロノカガヤキ
8,,14,ロードステラート,牡,3,3,6.0, ,115,2,57,,,横山和生,(栗),武英智,キタサンブラック,ダイワメジャー,,ロイヤルチャージャー系,8,29,2札3,2,未勝利,ダ,1700,稍,,横山,57.0,,3,5.2,3,1.4,8,7,7,7,5,36.93,38.3,2,ベルアズーロ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090601020604,2026.9.6,日,札幌,2札6,4,,未勝利,芝,1200,C,2,稍(暫定),晴(暫定),16,11:20,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ロジスカヤ,牝,3,7,38.9, ,108,6,54,☆,,長浜鴻緒,(美),新開幸一,シルバーステート,モーリス,,,8,23,2札2,4,未勝利,芝,1200,良,,長浜,54.0,☆,7,19.0,5,0.2,3,,,8,8,34.90,34.4,2,レッドアイスピア
1,B,2,メイショウテンジン,牡,3,3,10.0, ,116,3,53,★,*,河原田菜,(栗),高橋亮,フォーウィールドライブ,ハーツクライ,,ロイヤルチャージャー系,8,23,2札2,2,未勝利,芝,1200,良,B,古川,57.0,,4,10.1,4,0.2,5,,,1,1,34.10,35.2,10,レッドアイスピア
2,,3,グローリアスダンス,牝,3,16,205.1, , 80,16,55,,*,川又賢治,(美),粕谷昌央,ミッキーグローリー,"No Nay Never",,,7,4,1函7,5,未勝利,芝,1200,良,,長浜,54.0,☆,15,283.4,12,1.0,11,,,12,12,34.90,34.5,5,ロードクラシコ
2,,4,ブラックジャック,牡,3,6,24.3, ,102,9,57,,*,横山典弘,(栗),昆貢,ダノンスマッシュ,ジャイアントレッカー,,ニアークティック系,7,4,1函7,2,未勝利,芝,1200,良,,小林,54.0,▲,2,4.6,9,0.9,14,,,16,15,35.50,33.8,1,ロードクラシコ
3,,5,テンタイムトップ,牝,3,14,102.5, , 95,14,55,,*,落合玄太,(栗),高柳大輔,ナダル,デュランダル,,ロイヤルチャージャー系,7,12,2小6,5,未勝利・牝,芝,1200,良,B,亀田,55.0,,16,219.3,6,0.9,14,,,12,13,33.70,35.3,6,ホーリーステップ
3,,6,ドラリズム,牡,3,10,43.8, ,103,8,57,,,黛弘人,(美),武藤善則,コパノリッキー,ネオユニヴァース,,ロイヤルチャージャー系,8,30,2札4,7,１勝ｸﾗｽ,芝,1500,良,,黛弘,55.0,,7,35.8,4,0.8,12,,12,12,9,37.67,34.5,3,ネッタイヤライ
4,,7,フルムーン,牡,3,4,11.4, , 98,12,55,◇,*,小林美駒,(栗),藤岡健一,ロードカナロア,"High Chaparral",,ニアークティック系,7,4,1函7,6,未勝利,芝,1200,良,B,武豊,57.0,,1,2.5,16,4.0,3,,,15,16,35.40,37.0,16,ロードクラシコ
4,,8,リアララ,牝,3,1,1.7, ,123,2,54,,*,小沢大仁,(栗),中内田充,"Home Affairs",Zoustar,,,8,23,2札2,11,未勝利,芝,1200,良,,川田,54.0,,1,2.1,2,0.1,1,,,2,2,34.20,35.0,8,レッドアイスピア
5,B,9,エンジェルサン,牡,3,11,51.2, ,115,5,57,,*,丹内祐次,(美),矢嶋大樹,ベンバトル,トーセンホマレボシ,,ロイヤルチャージャー系,8,9,2新6,3,未勝利,芝,1200,良,B,石神,55.0,△,9,24.8,4,0.1,2,,,2,2,33.70,35.2,14,ジェムシリカ
5,B,10,ヒルノボローニャ,セ,3,12,52.6, ,104,7,57,,,古川吉洋,(栗),昆貢,アメリカンペイトリオット,ドゥラメンテ,,,8,29,2札3,9,未勝利,芝,1500,稍,B,古川,57.0,,8,17.8,3,0.8,12,,8,8,6,35.13,37.4,3,ペカリーナ
6,,11,スピットブレイク,牡,3,9,41.9, , 98,12,57,,*,斎藤新,(美),新開幸一,モズアスコット,"Storm Cat",,ニアークティック系,7,11,1函9,6,未勝利,芝,1200,稍,,池添,57.0,,9,21.8,8,0.8,8,,,13,12,34.90,35.0,2,アルサック
6,,12,ソレイユルヴァン,牝,3,15,121.8, , 91,15,55,,*,吉田隼人,(栗),辻野泰之,シスキン,ディープインパクト,,ロイヤルチャージャー系,6,13,1函1,18,未勝利,芝,1200,稍,,小沢,55.0,,12,144.1,10,1.6,15,,,13,13,35.50,34.6,4,ディーズメンフィス
7,,13,メーレスブリーゼ,牝,3,8,39.3, ,100,10,55,,*,横山琉人,(美),水野貴広,ゴールドシップ,Magician,,,8,15,2新7,13,未勝利,芝,1000,良,,武藤,55.0,,15,92.2,5,0.7,7,,,,14,34.95,33.3,5,ダイユウヴェンティ
7,,14,ルージュフィーリア,牝,3,2,4.3, ,125,1,55,,,佐々木大,(美),大竹正博,キズナ,ロードカナロア,,,8,9,2新6,4,未勝利,芝,1200,良,,佐々,55.0,,1,3.5,3,0.1,12,,,7,5,34.10,34.8,10,ジェムシリカ
8,B,15,アドマイヤパープル,牝,3,5,17.7, ,116,3,55,,*,横山武史,(美),宮田敬介,ロードカナロア,Galileo,,ニアークティック系,8,23,2札2,10,未勝利,芝,1200,良,B,岩田,55.0,,3,8.5,3,0.1,9,,,7,7,34.60,34.6,4,レッドアイスピア
8,,16,メメボス,牝,3,13,69.6, ,100,10,52,▲,*,遠藤汰月,(栗),飯田祐史,コントレイル,ノヴェリスト,,その他のエクリプス系,8,30,2札4,6,１勝ｸﾗｽ,芝,1500,良,,古川,53.0,,8,41.6,5,0.9,8,,4,4,4,37.33,35.1,7,ネッタイヤライ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026090601020605,2026.9.6,日,札幌,2札6,5,,未勝利,芝,2000,C,4,稍(暫定),晴(暫定),16,12:10,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,カタカムナ,牝,3,15,76.1, , 82,16,55,,,原田和真,(美),蛯名利弘,サトノクラウン,ディープブリランテ,,ロイヤルチャージャー系,8,22,2札1,3,未勝利,芝,2000,良,,原田,55.0,,16,506.2,15,3.9,8,4,6,8,14,36.00,40.2,15,コワンニシタガウ
1,,2,スチョウプリンセス,牝,3,16,166.1, , 85,15,52,▲,*,大久保友,(美),的場均,モズアスコット,オレハマッテルゼ,,ロイヤルチャージャー系,8,16,1札8,3,未勝利,芝,2000,良,,大野,55.0,,12,109.6,16,4.2,9,8,8,9,14,36.64,39.1,16,ウイルソン
2,B,3,ゴールドエンバー,牡,3,2,4.6, ,118,1,55,◇,*,小林美駒,(美),竹内正洋,バゴ,ステイゴールド,ナスルーラ系,ロイヤルチャージャー系,8,29,3新3,2,未勝利,芝,2200,稍,B,大野,57.0,,8,18.4,2,0.1,6,10,10,7,7,37.80,35.6,2,ヤマメホープ
2,B,4,レッドレグルス,セ,3,3,6.0, ,100,9,57,,*,横山和生,(栗),昆貢,コントレイル,ゼンノロブロイ,,ロイヤルチャージャー系,2,28,1小B,7,未勝利,芝,2000,稍,,和田,54.0,▲,8,29.9,6,0.7,6,5,7,9,9,36.81,36.6,3,ニホンピロロジャー
3,,5,ラッキーシグネチャ,牝,3,10,25.0, , 98,11,55,,*,小沢大仁,(栗),矢作芳人,キズナ,Reset,,ロイヤルチャージャー系,8,9,1札6,4,未勝利,芝,2600,良,,北村,55.0,,6,11.0,8,0.6,3,9,8,8,9,38.46,35.9,3,ドンテスタマスター
3,,6,ダイナソーコー,牡,3,13,55.3, ,100,9,57,,*,吉田隼人,(栗),藤岡健一,ハービンジャー,ゼンノロブロイ,ニアークティック系,ロイヤルチャージャー系,8,9,1札6,4,未勝利,芝,2600,良,,横山,57.0,,9,51.2,7,0.5,6,6,6,4,5,38.31,36.3,10,ドンテスタマスター
4,,7,アージュドール,牡,3,12,42.4, ,104,5,57,,*,落合玄太,(栗),森田直行,オルフェーヴル,Munnings,,ネイティヴダンサー系,8,1,2名3,3,未勝利,芝,2000,良,B,松若,57.0,,4,13.6,11,1.7,9,1,1,1,1,36.13,36.8,15,チェファルー
4,B,8,デイズインザサン,牝,3,4,7.4, ,114,2,55,,,佐々木大,(美),小野次郎,シルバーステート,ダンスインザダーク,,ロイヤルチャージャー系,8,16,1札8,2,未勝利,芝,2000,良,B,佐々,55.0,,7,13.4,2,0.1,7,5,5,4,3,36.39,35.6,3,ウイルソン
5,,9,ブライスフェアリー,牝,3,8,19.6, ,101,7,55,,*,丹内祐次,(美),堀内岳志,ウインブライト,ナリタトップロード,,その他のエクリプス系,8,22,2札1,3,未勝利,芝,2000,良,,松山,55.0,,5,11.7,7,0.8,1,9,9,8,7,36.00,37.1,6,コワンニシタガウ
5,,10,ゴコウコイコイ,牝,3,1,4.0, ,113,3,55,,,横山武史,(美),栗田徹,ゴールドシップ,ロージズインメイ,,ロイヤルチャージャー系,8,22,2札1,2,未勝利,芝,2000,良,,横山,55.0,,1,2.4,6,0.7,3,2,2,1,1,35.70,37.7,8,コワンニシタガウ
6,,11,フォーチュンローズ,牝,3,6,16.0, , 94,13,55,,*,鮫島克駿,(美),上原佑紀,ハービンジャー,タニノギムレット,ニアークティック系,ロイヤルチャージャー系,8,9,1札6,6,未勝利,芝,2600,良,,古川,55.0,,7,19.3,11,1.0,1,2,2,2,2,38.22,37.1,14,ドンテスタマスター
