レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040301,2026.9.12,土,中山,4中3,1,,未勝利,ダート,1800,,4,不(暫定),曇(暫定),16,09:45,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ゼラニウム,牡,2,6,10.7, , 91,8,55,,*,丸田恭介,(美),平岩大典,マカヒキ,ロードカナロア,,,8,23,3新2,初,新馬,芝,2000,良,,コレ,55.0,,6,18.1,10,2.0,11,8,9,10,10,40.24,35.6,9,タイヴァス
2,,2,ソラニワラエバ,牡,2,1,3.6, ,104,1,53,△,*,石神深道,(美),武井亮,オルフェーヴル,Galileo,,ニアークティック系,7,25,2新1,2,未勝利*,芝,1800,良,,今村,53.0,◇,4,11.3,7,1.2,8,,,5,4,37.65,33.8,7,レゾルーティオ
3,,3,ハイトラクション,牡,2,5,10.7, , 96,6,54,☆,*,長浜鴻緒,(美),中舘英二,フォーウィールドライブ,ディープインパクト,,ロイヤルチャージャー系,6,14,3東4,初,新馬,ダ,1400,稍,,原優,55.0,,6,17.7,12,4.6,5,,,13,13,37.65,39.0,8,ユイノエスポワール
4,,4,シャイニーヒーロー,牡,2,10,40.4, , 82,12,55,,*,小崎綾也,(美),畠山吉宏,サトノアラジン,"Rock of Gibraltar",,ニアークティック系,8,29,2札3,2,未勝利*,芝,1800,稍,,大久,52.0,▲,11,558.7,11,4.0,11,7,7,9,11,38.70,39.1,11,ロマノヴェリテ
5,,5,ハチキンキリシマ,牝,2,11,40.4, , 85,11,52,▲,*,遠藤汰月,(美),蛯名利弘,アメリカンペイトリオット,ハービンジャー,,ニアークティック系,8,22,3新1,連,未勝利*,芝,1800,良,,佐藤,52.0,▲,7,247.0,7,2.9,7,,,7,7,38.40,35.0,7,コスモイェーガー
5,,6,ナムラダックス,牡,2,8,19.0, , 97,5,55,,,杉原誠人,(美),石栗龍彦,チュウワウィザード,スウェプトオーヴァーボード,,ネイティヴダンサー系,8,22,3新1,5,未勝利*,ダ,1800,良,,杉原,55.0,,9,113.6,7,4.2,9,9,9,7,7,38.10,41.3,7,ユイノリュウギ
6,B,7,グラスクラージュ,牡,2,7,11.9, , 89,9,55,,*,木幡巧也,(美),牧光二,シャンハイボビー,ヴァーミリアン,,ネイティヴダンサー系,9,5,4阪1,9,未勝利*,ダ,1400,稍,B,富田,55.0,,10,48.8,9,2.2,4,,,9,9,36.90,39.3,6,ベルヴェール
6,,8,ヴィシーチェック,牝,2,3,5.3, , 93,7,55,,*,原優介,(美),小手川準,ニューイヤーズデイ,ディープインパクト,,ロイヤルチャージャー系,8,2,2新4,初,新馬,ダ,1800,良,,大野,55.0,,7,17.8,9,4.3,8,12,12,12,12,40.65,38.9,1,リーチツモドライチ
7,,9,サクセスボーイ,牡,2,2,4.9, , 98,4,52,▲,,佐藤翔馬,(美),相沢郁,アルアイン,オルフェーヴル,,,8,22,3新1,6,未勝利*,ダ,1800,良,,佐藤,52.0,▲,12,229.1,4,3.0,12,11,12,11,9,38.45,39.4,3,ユイノリュウギ
7,,10,マジックファイト,牡,2,12,52.9, , 86,10,55,,,柴田大知,(美),和田雄二,タニノフランケル,"Danehill Dancer",,ニアークティック系,7,4,2福3,初,新馬,芝,1800,良,,柴田,55.0,,14,228.6,14,9.8,14,14,14,14,14,38.00,42.8,14,スタースポット
