レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040601,2026.9.20,日,中山,4中6,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,イカルステソーロ,牡,2,5,21.6, ,104,8,55,,*,丹内祐次,(美),武市康男,フィエールマン,Acclamation,,,8,30,3新4,2,未勝利*,芝,2000,良,,岩田,55.0,,2,3.5,6,0.8,3,1,1,1,1,37.41,37.1,6,ニシノリリックス
2,B,2,アイビークロノス,牡,2,11,37.8, ,105,7,55,,*,木幡巧也,(美),牧光二,"Drain the Clock","Macho Uno",,その他のエクリプス系,8,16,2名8,初,新馬,ダ,1400,良,,富田,55.0,,6,19.3,6,2.0,8,,,3,3,36.53,39.2,7,パシアンジェンヌ
2,,3,コスモセイント,牡,2,14,86.8, , 89,15,54,☆,*,長浜鴻緒,(美),矢嶋大樹,クリソベリル,ジャングルポケット,,ナスルーラ系,8,29,2札3,初,新馬,ダ,1700,稍,,池添,55.0,,11,51.9,11,2.3,3,11,10,10,12,38.18,40.4,9,ユーフォナイト
3,,4,ノシェリー,牡,2,2,6.5, ,112,2,55,,,原優介,(美),鈴木慎太,ロゴタイプ,ゴールドアリュール,,ロイヤルチャージャー系,7,25,2新1,3,未勝利*,芝,1800,良,,原優,55.0,,3,6.2,3,0.4,4,,,5,4,37.60,33.1,3,レゾルーティオ
3,,5,サイモントレノ,牡,2,12,38.7, , 94,12,53,◇,*,小林美駒,(美),奥平雅士,インカンテーション,ダイワメジャー,,ロイヤルチャージャー系,9,6,4中2,初,新馬,ダ,1800,不,,内田,55.0,,10,99.5,8,4.2,12,4,3,5,6,38.40,41.3,9,エンジャムメント
4,,6,オーケーエース,牡,2,4,16.3, ,112,2,55,,*,横山琉人,(美),相沢郁,ホットロッドチャーリー,ベーカバド,,ニアークティック系,8,22,3新1,7,未勝利*,ダ,1800,良,,石川,55.0,,2,3.9,6,3.9,6,1,1,1,2,37.45,42.3,10,ユイノリュウギ
4,,7,ゴルトシェーン,牡,2,8,27.2, ,106,6,53,△,*,石神深道,(美),武井亮,ゴールドドリーム,シンボリクリスエス,,ロイヤルチャージャー系,8,30,3新4,初,新馬,ダ,1800,良,,今村,53.0,◇,5,12.4,6,2.2,5,7,7,11,9,39.80,40.1,4,ウラノグラフィア
5,,8,ウィンターブリーズ,牡,2,1,1.5, ,127,1,55,,*,ルメール,(美),田中博康,ホットロッドチャーリー,Shackleford,,,7,4,2福3,4,未勝利*,芝,1800,稍,,戸崎,55.0,,1,1.1,2,0.1,1,2,2,2,2,36.30,35.6,1,コスモハナミズキ
5,,9,リュウノタキノボリ,牡,2,3,13.0, ,104,8,55,,*,佐々木大,(美),堀内岳志,タワーオブロンドン,ディープブリランテ,,ロイヤルチャージャー系,8,29,2札3,初,新馬,ダ,1700,稍,,横山,55.0,,12,68.8,3,0.4,6,10,10,9,5,38.07,38.7,4,ユーフォナイト
6,,10,ニシノツムジカゼ,牡,2,10,36.1, ,110,4,55,,*,ミシェル,(美),西田雄一,マジェスティックウォリアー,マンハッタンカフェ,,ロイヤルチャージャー系,8,22,3新1,9,未勝利*,ダ,1800,良,,野中,55.0,,6,13.6,3,2.9,8,6,6,4,4,37.95,40.3,4,ユイノリュウギ
6,,11,ニシノハクシャ,牡,2,13,86.2, , 93,14,55,,*,野中悠太,(美),清水英克,オメガパフューム,キングヘイロー,,ニアークティック系,9,6,4中2,初,新馬,ダ,1800,不,,石神,53.0,△,11,113.8,7,3.2,9,8,8,7,6,38.80,39.5,6,エンジャムメント
7,,12,サスケソルトバーン,牡,2,6,23.8, , 96,11,52,▲,,佐藤翔馬,(美),和田雄二,アニマルキングダム,"Mizzen Mast",,ナスルーラ系,9,5,4中1,5,未勝利*,ダ,1800,重,,佐藤,52.0,▲,9,70.6,4,0.9,8,10,10,10,9,38.20,39.6,1,マイセイバー
7,,13,ミクニルミナス,牡,2,15,87.3, , 97,10,55,,*,内田博幸,(美),田中勝春,ルーラーシップ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,7,26,2新2,初,新馬,芝,1600,良,,斎藤,55.0,,5,24.5,8,3.0,4,,,5,4,38.76,35.8,9,トウシンマジック
8,,14,コーズウルルン,牡,2,7,25.5, , 94,12,55,,*,菊沢一樹,(美),伊藤圭三,ニューイヤーズデイ,ハーツクライ,,ロイヤルチャージャー系,8,30,2札4,初,新馬,芝,1800,良,,石川,55.0,,8,57.2,4,1.7,8,6,6,7,7,39.25,36.2,3,ヴァンクライ
8,,15,ラインホルト,牡,2,9,33.2, ,108,5,55,,*,津村明秀,(美),手塚貴徳,ホッコータルマエ,ヴァーミリアン,,ネイティヴダンサー系,8,2,2新4,初,新馬,ダ,1800,良,,石川,55.0,,8,20.6,3,1.3,3,5,5,5,5,38.65,39.9,5,リーチツモドライチ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040602,2026.9.20,日,中山,4中6,2,,未勝利,芝,1600,C,3,良(暫定),曇(暫定),16,10:35,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ホワイトホール,牝,2,7,16.2, ,102,4,55,,,嶋田純次,(美),清水英克,ロジャーバローズ,スウェプトオーヴァーボード,,ネイティヴダンサー系,8,29,3新3,初,新馬,芝,1400,良,,嶋田,55.0,,10,68.8,7,1.6,4,,,11,10,36.30,36.3,11,エクラドリオン
2,,2,フォンターナドーロ,牝,2,8,17.5, , 95,7,55,,,菊沢一樹,(美),菊沢隆徳,アルアイン,エリシオ,,ニアークティック系,8,8,2新5,初,新馬,芝,1800,良,,菊沢,55.0,,7,41.7,11,2.7,5,,,2,3,36.85,36.2,12,コラリオン
3,,3,セレスティナ,牝,2,2,4.1, ,111,2,55,,*,武豊,(美),高柳瑞樹,コントレイル,Ghostzapper,,ニアークティック系,8,29,3新3,初,新馬,芝,1400,良,,今村,53.0,◇,2,7.5,5,0.8,9,,,7,7,36.08,35.8,5,エクラドリオン
3,,4,ベールダウン,牝,2,5,13.2, , 96,6,53,△,,石神深道,(美),松尾卓哉,フィレンツェファイア,アドマイヤマックス,,ロイヤルチャージャー系,8,2,2新4,初,新馬,芝,1600,良,,石神,53.0,△,6,22.7,9,0.7,12,,,12,11,37.74,34.5,5,ニシノトラノスケ
4,,5,リアスハート,牝,2,6,14.7, , 95,7,55,,,武藤雅,(美),水野貴広,エフフォーリア,Bodemeister,,,8,30,3新4,初,新馬,芝,1800,良,,武藤,55.0,,5,9.1,10,3.0,6,,,5,4,37.90,36.2,11,チェスティーノ
