レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040701,2026.9.21,月,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,,,14,09:45,,定量,３上
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アドアプローズ,牡,5, , 95,11,60,,,上野翔,(美),小手川準,ジャングルポケット,キングカメハメハ,ナスルーラ系,ネイティヴダンサー系,7,18,2小7,2,障害未勝利,障芝,2860,稍,,上野,60.0,,11,77.0,6,1.3,10,9,8,6,6,,13.7,,セイウンパシュート
2,B,2,カルマンフィルター,牡,5, ,102,5,60,,,草野太郎,(美),戸田博文,スワーヴリチャード,シンボリクリスエス,,ロイヤルチャージャー系,4,12,3中6,3,障害未勝利,障ダ,2880,良,B,草野,60.0,,6,18.0,9,3.3,4,5,4,5,6,,13.9,,マオノアラシ
3,,3,コトブキヘスペラス,牡,6, , 93,12,60,,*,小野寺祐,(美),金成貴史,ハーツクライ,"Lemon Drop Kid",ロイヤルチャージャー系,ネイティヴダンサー系,7,26,2新2,7,障害未勝利,障芝,2850,不,,金子,60.0,,14,255.8,8,2.6,13,4,4,6,6,,13.3,,キャネル
3,,4,テンプーシャオン,牡,6, , 99,8,60,,*,金子光希,(美),和田勇介,ドレフォン,クロフネ,,ニアークティック系,6,27,2福1,10,１勝ｸﾗｽ,芝,1200,良,,ゴン,58.0,,10,33.8,10,0.7,6,,,2,2,33.20,35.4,13,デアリングエア
4,,5,ゴーツウキリシマ,牝,6, ,106,3,58,,*,黒岩悠,(栗),牧田和弥,ナムラタイタン,グラスワンダー,,ロイヤルチャージャー系,7,16,佐賀,2,霧島賞,ダ,1400,良,,團野,54.0,,2,,3,0.7,,2,2,1,2,,----,,アイタカ
4,B,6,シュハリ,牡,6, ,101,6,60,,*,大江原圭,(美),粕谷昌央,カレンブラックヒル,Kris,,ネイティヴダンサー系,6,28,2福2,18,障害未勝利,障芝,2750,良,B,江田,60.0,,10,78.5,6,1.6,6,3,4,3,3,,13.1,,ポワンキュルミナン
5,,7,アルシミスト,セ,5, , 98,10,58,△,,坂口智康,(美),浅利英明,オルフェーヴル,Tapizar,,ナスルーラ系,6,21,3東6,11,障害未勝利,障ダ,3000,稍,,坂口,57.0,▲,11,47.2,8,2.7,9,3,3,4,4,,13.9,,ブライトマン
5,B,8,バンデルオーラ,牡,7, ,100,7,60,,,伴啓太,(美),岩戸孝樹,トーセンラー,サクラバクシンオー,,ナスルーラ系,7,26,2新2,9,障害未勝利,障芝,2850,不,,伴啓,60.0,,7,18.9,10,3.7,8,6,6,7,7,,13.4,,キャネル
6,B,9,アバットゥータ,牡,4, ,103,4,57,▲,,井上敏樹,(栗),中竹和也,ハービンジャー,キングカメハメハ,ニアークティック系,ネイティヴダンサー系,8,1,2名3,4,障害未勝利,障芝,3000,良,,井上,57.0,▲,1,3.0,9,17.3,3,10,10,10,10,,14.4,,ソレルビュレット
6,,10,ブランフォルテ,牡,4, ,116,1,57,▲,,水沼元輝,(美),辻哲英,シルバーステート,ブライアンズタイム,,ロイヤルチャージャー系,7,19,2小8,3,障害未勝利,障芝,2860,良,,水沼,57.0,▲,4,15.6,2,0.1,4,6,6,4,4,,13.4,,バニーラビット
