場所,クラス,馬券種,レース数,回収率,的中率,平均配当,Quarter-Kelly(%),推奨賭け金(200万)
中山,新馬,三連単,418,2097.8,3.9,536.9,0.9,18600
中山,新馬,三連複,418,1563.9,18.2,86.0,4.3,86000
阪神,Ｇ１,三連複,58,1370.5,13.8,99.4,3.2,64500
小倉,新馬,三連単,179,1323.3,4.1,323.0,0.9,18900
阪神,Ｇ１,三連単,58,1299.4,3.4,376.8,0.8,15900
小倉,新馬,三連複,179,910.3,17.9,50.9,4.1,81100
札幌,Ｇ３,三連単,35,875.0,2.9,306.2,0.6,12600
阪神,Ｇ３,三連単,98,871.6,1.7,512.5,0.4,7500
札幌,Ｇ３,三連複,35,774.9,14.3,54.2,3.2,63300
京都,Ｇ１,三連単,41,768.1,2.4,314.9,0.5,10600
東京,OP(L),三連単,57,731.5,2.9,250.2,0.6,12600
東京,Ｇ１,三連単,80,729.2,1.7,437.6,0.4,7200
福島,新馬,三連複,160,725.4,13.1,55.3,2.9,57600
新潟,新馬,三連複,232,629.9,12.1,52.2,2.6,51700
小倉,Ｇ３,三連複,47,626.8,14.9,42.1,3.2,64100
新潟,新馬,三連単,232,612.5,2.3,266.4,0.5,9600
阪神,新馬,三連単,452,596.3,3.1,192.5,0.6,12900
福島,新馬,三連単,160,590.4,2.3,257.6,0.5,9500
中山,ｵｰﾌﾟﾝ,三連複,189,576.2,11.6,49.5,2.5,49000
札幌,2勝,三連単,83,556.1,1.2,461.5,0.2,4900
京都,Ｇ１,三連複,41,543.7,12.2,44.6,2.5,50900
函館,新馬,三連複,141,535.5,26.2,20.4,5.6,112200
中山,新馬,馬連,418,525.6,15.4,34.1,3.2,64300
阪神,新馬,三連複,452,521.2,15.3,34.1,3.2,63500
東京,OP(L),三連複,57,517.4,10.5,49.2,2.2,43300
京都,Ｇ２,三連単,50,514.5,4.7,110.2,0.9,18900
東京,新馬,三連複,503,507.8,17.3,29.4,3.6,71800
東京,新馬,三連単,503,503.8,3.4,146.2,0.7,13900
