組み合わせ,場所,クラス,黒字年数,データあり年数,合算ROI_train,ROI_2018,ROI_2019,ROI_2020,ROI_2021,ROI_2022,OOS_レース数,ROI_OOS,信頼度
単勝+三連複,中京,1勝,3,4,111.2,,101.7,86.9,103.3,138.5,352,82.89772727272727,75.0
単勝+三連複,福島,未勝利,4,5,118.6,135.8,139.9,141.4,121.7,55.6,273,122.50915750915752,80.0
単勝+三連複,阪神,1勝,3,4,109.5,,114.9,105.4,126.8,93.2,280,63.28571428571429,75.0
単勝+三連複,阪神,2勝,3,4,102.4,,81.6,104.8,106.6,106.3,180,72.66666666666667,75.0
単勝+三連複,阪神,3勝,3,4,137.5,,132.0,51.4,172.3,173.6,92,149.07608695652175,75.0
複勝+三連複,福島,未勝利,4,5,120.5,136.4,131.5,146.4,135.3,60.1,273,124.34065934065934,80.0
複勝+三連複,阪神,1勝,4,4,108.1,,106.5,105.3,118.3,101.6,280,68.875,100.0
複勝+三連複,阪神,3勝,3,4,128.9,,142.6,52.6,150.8,162.0,92,140.70652173913044,75.0
複勝+三連複,阪神,未勝利,3,5,103.8,71.6,93.1,114.0,104.8,129.4,415,73.20481927710844,60.0
単複+三連複,福島,未勝利,4,5,110.1,122.9,123.0,125.0,112.2,68.0,273,109.24297924297923,80.0
単複+三連複,阪神,3勝,3,4,122.5,,119.4,61.8,148.9,145.7,92,123.69565217391305,75.0
