feature,train,serve,gap,gain,gain_at_risk
prev_hosei,0.8541747380742377,0.463,-0.3911747380742377,7.4693576575609475,2.9218240252792054
斤量体重比,1.0,0.0,-1.0,1.0697785283767978,1.0697785283767978
前PCI,0.8547600009891767,0.0,-0.8547600009891767,0.8893084071631315,0.7601452549864415
前走平均1Fタイム,0.9005073652452746,0.0,-0.9005073652452746,0.8283231101745395,0.7459110615150459
前走RPCI,0.8590546767452787,0.0,-0.8590546767452787,0.8278438495263015,0.711163130550384
prev_hosei9,0.8537048791143571,0.463,-0.3907048791143571,1.5497433314381555,0.6054922809678256
前走PCI3,0.8590546767452787,0.0,-0.8590546767452787,0.5367906931179117,0.4611325553562817
前走日付,0.9060859100014014,0.0,-0.9060859100014014,0.45774840190158494,0.4147593772886848
前走レースID(新),0.9055521667092562,0.0,-0.9055521667092562,0.362059292169663,0.327863576501458
休み明け～戦目,0.6956715273713452,0.0,-0.6956715273713452,0.45028878126048705,0.31325308421766457
前走確定着順,0.9060859100014014,0.885,-0.021085910001401365,12.3166936704,0.2597086942488842
父タイプ名,1.0,0.085,-0.915,0.23761496707934915,0.21741769487760448
前走トラックコード(JV),0.9060859100014014,0.0,-0.9060859100014014,0.2386893705193873,0.2162730754947207
指定条件,1.0,0.0,-1.0,0.19327720615038493,0.19327720615038493
前走競走種別,1.0,0.0,-1.0,0.19002584690710247,0.19002584690710247
間隔,0.9060859100014014,0.789,-0.11708591000140134,1.361553119385745,0.1594186859985266
限定,1.0,0.0,-1.0,0.11489523092890502,0.11489523092890502
前好走,1.0,0.0,-1.0,0.10472974389338517,0.10472974389338517
前走場所,1.0,0.844,-0.15600000000000003,0.460627894649018,0.07185795156524682
馬主(最新/仮想),1.0,0.947,-0.05300000000000005,1.2426885923131827,0.06586249539259874
trainer_fuku90,0.9963153165777782,0.965,-0.031315316577778196,1.948816313240168,0.06102779980105442
trnH_days_ago,0.7456702909003982,0.646,-0.09967029090039814,0.587697417632718,0.058575972576865774
コース区分,1.0,0.534,-0.46599999999999997,0.11916495883530133,0.055530870817250416
芝(内・外),1.0,0.15,-0.85,0.06271421257014773,0.053307080684625564
trnH_Time4,0.7456702909003982,0.646,-0.09967029090039814,0.5196665386949132,0.051795315082925
trnH_Lap4,0.7456702909003982,0.646,-0.09967029090039814,0.5034116266291639,0.050175183268771385
前走レースID(新/馬番無),0.9055521667092562,0.0,-0.9055521667092562,0.051579841657555595,0.04670823737151982
