ラベル,レース数,点数,投資,払戻,収支,回収率,的中率,的中数
三連複×Ｇ３,133,133,425600,1037120,611520,243.7,3.8,5
馬連×ＪＧ３,10,20,24000,55320,31320,230.5,25.0,5
三連単×Ｇ３,133,399,319200,439840,120640,137.8,0.8,3
三連単×新馬,579,1737,1389600,1845520,455920,132.8,1.0,18
三連複×3勝,415,415,1328000,1665280,337280,125.4,5.3,22
三連複×OP(L),123,123,393600,472640,79040,120.1,5.7,7
三連単×OP(L),123,369,295200,349200,54000,118.3,0.8,3
馬連×新馬,579,1158,1389600,1612800,223200,116.1,7.9,92
三連単×3勝,415,1245,996000,1121840,125840,112.6,1.1,14
複勝×ＪＧ３,10,20,20000,20400,400,102.0,70.0,14
三連単×1勝,1783,5349,4279200,4321600,42400,101.0,1.1,57
馬連×Ｇ３,133,266,319200,320880,1680,100.5,6.4,17
三連複×新馬,579,579,1852800,1855360,2560,100.1,5.0,29
馬連×OP(L),123,246,295200,265440,-29760,89.9,6.5,16
複勝×3勝,415,830,830000,736700,-93300,88.8,48.9,406
馬連×3勝,415,830,996000,846960,-149040,85.0,8.0,66
三連複×1勝,1783,1783,5705600,4847360,-858240,85.0,5.6,100
複勝×2勝,905,1810,1810000,1519600,-290400,84.0,50.4,913
複勝×OP(L),123,246,246000,205900,-40100,83.7,44.7,110
複勝×1勝,1783,3566,3566000,2963400,-602600,83.1,50.4,1798
複勝×未勝利,2420,4840,4840000,4009000,-831000,82.8,56.6,2740
複勝×新馬,579,1158,1158000,952800,-205200,82.3,44.5,515
複勝×ｵｰﾌﾟﾝ,208,416,416000,342000,-74000,82.2,47.6,198
三連単×ｵｰﾌﾟﾝ,208,624,499200,409120,-90080,82.0,1.1,7
三連単×2勝,905,2715,2172000,1773120,-398880,81.6,1.0,26
三連複×未勝利,2420,2420,7744000,6285760,-1458240,81.2,7.9,190
馬連×1勝,1783,3566,4279200,3460320,-818880,80.9,9.1,326
複勝×Ｇ３,133,266,266000,213600,-52400,80.3,41.4,110
複勝×Ｇ２,71,142,142000,112200,-29800,79.0,40.8,58
馬連×2勝,905,1810,2172000,1710120,-461880,78.7,9.1,165
三連複×2勝,905,905,2896000,2268480,-627520,78.3,5.7,52
馬連×未勝利,2420,4840,5808000,4523400,-1284600,77.9,11.7,567
三連単×未勝利,2420,7260,5808000,4383440,-1424560,75.5,1.5,109
複勝×Ｇ１,48,96,96000,66700,-29300,69.5,34.4,33
三連単×ＪＧ３,10,30,24000,15760,-8240,65.7,3.3,1
三連複×ＪＧ３,10,10,32000,20480,-11520,64.0,10.0,1
馬連×ｵｰﾌﾟﾝ,208,416,499200,306120,-193080,61.3,7.7,32
馬連×Ｇ１,48,96,115200,61440,-53760,53.3,5.2,5
三連複×ｵｰﾌﾟﾝ,208,208,665600,342080,-323520,51.4,4.3,9
馬連×Ｇ２,71,142,170400,51120,-119280,30.0,4.2,6
三連単×Ｇ２,71,213,170400,31920,-138480,18.7,0.9,2
三連複×Ｇ２,71,71,227200,29440,-197760,13.0,2.8,2
三連単×Ｇ１,48,144,115200,0,-115200,0.0,0.0,0
三連複×Ｇ１,48,48,153600,0,-153600,0.0,0.0,0
