ラベル,レース数,点数,投資,払戻,収支,回収率,的中率,的中数,場所
中山,936,7488,9360000,12109700,2749700,129.4,16.4,1225,中山
中京,708,5664,7080000,7521720,441720,106.2,16.5,933,中京
東京,1031,8248,10310000,8973220,-1336780,87.0,18.1,1489,東京
小倉,528,4224,5280000,4277440,-1002560,81.0,16.3,689,小倉
阪神,648,5184,6480000,5172080,-1307920,79.8,16.7,867,阪神
福島,468,3744,4680000,3644980,-1035020,77.9,14.7,550,福島
札幌,336,2688,3360000,2406560,-953440,71.6,16.6,446,札幌
京都,1151,9208,11510000,8174880,-3335120,71.0,16.3,1498,京都
新潟,611,4888,6110000,3879060,-2230940,63.5,16.1,785,新潟
函館,288,2304,2880000,1747780,-1132220,60.7,16.6,383,函館
